subj,cdi_8mo,cdi_12mo,cdi_18mo,CDIcomp_8,CDIcomp_12,CDIcomp_18,percentile_8,percentile_12,percentile_18,quils_overall_standard,quils_vocab_standard,quils_vocab_perc,sf3_pvt_AgeCorrectedScore,sf3_pvt_percentile,sf5_pvt_AgeCorrectedScore,sf5_pvt_percentile,celf_vocab_scaled_score,celf_vocab_percentile,celf_core_lang,log_cdi_12mo,log_cdi_18mo
01,0,14,378,18,108,383,50,75,99,126,119,94.6,120,91,128,97,16,98,137,2.70805020110221,5.934894195619588
02,1,17,223,14,128,347,60,78.75,90.2,120,116,92.3,112,79,95,37,15,95,123,2.8903717578961645,5.407171771460119
03,0,0,32,21,102,310,50,25,12.916666666666668,111,105,68.5,103,58,106,66,10,50,114,0,3.4657359027997265
04,1,2,5,36,123,296,60,45,6.176470588235294,96,103,60,60,0.4,NA,NA,NA,NA,NA,1.0986122886681098,1.6094379124341003
06,0,2,29,27,74,255,50,45,12.291666666666666,109,110,80,103,58,109,73,12,75,114,1.0986122886681098,3.367295829986474
07,2,2,40,124,287,385,75,45,14.583333333333332,116,116,92.3,112,79,117,87,11,63,96,1.0986122886681098,3.6888794541139363
08,2,22,232,34,127,336,75,85.625,91.1,120,113,86.2,112,79,117,87,14,91,118,3.1354942159291497,5.44673737166631
09,0,2,138,77,219,335,50,45,75.26315789473684,97,100,50.8,60,0.4,117,87,NA,NA,NA,1.0986122886681098,4.927253685157205
10,0,6,74,7,15,209,50,55,41.666666666666664,109,103,60,94,34,NA,NA,9,37,104,1.9459101490553132,4.30406509320417
11,0,1,31,13,38,273,50,40,12.708333333333332,108,119,94.6,103,58,95,37,9,37,108,0.6931471805599453,3.4339872044851463
12,5,22,144,53,223,337,90,85.625,76.84210526315789,111,116,92.3,120,91,109,73,9,37,98,3.1354942159291497,4.969813299576001
13,0,1,36,80,195,317,50,40,13.75,100,105,68.5,103,58,97,42,10,50,106,0.6931471805599453,3.58351893845611
14,0,1,71,11,79,290,50,40,40,118,113,86.2,112,79,128,97,14,91,133,0.6931471805599453,4.2626798770413155
15,0,0,19,0,60,255,50,25,10.208333333333334,NA,NA,NA,NA,NA,97,42,5,5,86,0,2.9444389791664403
16,0,0,28,17,91,275,50,25,12.083333333333334,112,110,80,103,58,106,66,11,63,118,0,3.332204510175204
17,0,7,89,106,222,305,50,60,48.214285714285715,135,131,99.9,103,58,128,97,12,75,118,2.0794415416798357,4.48863636973214
18,0,5,147,28,102,332,50,53.333333333333336,77.63157894736842,114,110,80,103,58,95,37,13,84,112,1.791759469228055,4.990432586778736
19,0,7,245,6,86,307,50,60,92.4,126,131,99.9,120,91,117,87,16,98,131,2.0794415416798357,5.501258210544727
20,0,6,121,1,105,274,50,55,70.29411764705883,NA,NA,NA,103,58,95,37,8,25,104,1.9459101490553132,4.795790545596741
21,0,20,NA,30,139,NA,50,83.33333333333333,NA,109,107,74.6,103,58,NA,NA,NA,NA,NA,3.044522437723423,NA
