subj,cdi_8mo,cdi_12mo,cdi_18mo,CDIcomp_8,CDIcomp_12,CDIcomp_18,percentile_8,percentile_12,percentile_18,quils_overall_standard,quils_vocab_standard,quils_vocab_perc,sf3_pvt_AgeCorrectedScore,sf3_pvt_percentile,sf5_pvt_AgeCorrectedScore,sf5_pvt_percentile,celf_vocab_scaled_score,celf_vocab_percentile,celf_core_lang,log_cdi_12mo,log_cdi_18mo,mean_awc_perhr,mean_ctc_perhr,mean_cvc_perhr,sf5_awc_perhr,sf5_cvc_perhr,sf5_ctc_perhr,mean_tokens,mean_types,prop_op,propd,propi,propn,propq,propr,props
01,0,14,378,18,108,383,50,75,99,126,119,94.6,120,91,128,97,16,98,137,2.70805020110221,5.934894195619588,1140.5,31.614583333333336,121.05208333333334,722.6982504684463,156.8750272352478,34.937506065539246,616.25,165.25,0.5327001356852104,0.3610282056962022,0.05273102184159761,0.11258213890895619,0.14045540589753341,0.2019809084752354,0.1312223191804752
02,1,17,223,14,128,347,60,78.75,90.2,120,116,92.3,112,79,95,37,15,95,123,2.8903717578961645,5.407171771460119,1134.40625,26.682291666666668,84.578125,2229.1935120127628,121.25002105035088,40.87500709635541,582.1666666666666,166.83333333333334,0.5269650028686174,0.4530032812108248,0.05928684260840026,0.08213476129247964,0.25792267082681813,0.0903254101737355,0.05732703388774172
03,0,0,32,21,102,310,50,25,12.916666666666668,111,105,68.5,103,58,106,66,10,50,114,0,3.4657359027997265,923.640625,17.822916666666668,84.18229166666666,1704.9952960061278,228.75003971354857,63.625011046008865,443.8333333333333,149.16666666666666,0.4995299868396315,0.46407015948969166,0.04461541844907664,0.08734780055626018,0.18606603775289168,0.19097007006473765,0.0269305136873422
04,1,2,5,36,123,296,60,45,6.176470588235294,96,103,60,60,0.4,NA,NA,NA,NA,NA,1.0986122886681098,1.6094379124341005,1723.501180091408,46.84146858657525,136.17356033641084,NA,NA,NA,542.1666666666666,157.91666666666666,0.49108515216723025,0.44440524760618144,0.09539509573015154,0.19805284376575422,0.15208419219511646,0.02323639750756993,0.08682622319522641
06,0,2,29,27,74,255,50,45,12.291666666666666,109,110,80,103,58,109,73,12,75,114,1.0986122886681098,3.367295829986474,926.7441728518651,18.87531617657695,60.41922522021177,1219.9727118008182,236.5000410590349,47.312508213977125,601.75,157.83333333333334,0.5958362248438585,0.3716484709752016,0.05194539627895223,0.0872874444029037,0.20779703492585533,0.12505249526327838,0.15626915815380882
07,2,2,40,124,287,385,75,45,14.583333333333332,116,116,92.3,112,79,117,87,11,63,96,1.0986122886681098,3.688879454113936,1986.3413109095357,38.35254152739962,111.68812053935326,1297.4433502505815,209.7500364149369,58.87501022135594,518.5833333333334,157.08333333333334,0.5707857946328138,0.44793529305393054,0.055956621147714665,0.11108173113376706,0.19513156526338082,0.10929166967004854,0.0806031197311584
08,2,22,232,34,127,336,75,85.625,91.1,120,113,86.2,112,79,117,87,14,91,118,3.1354942159291497,5.44673737166631,1898.7239583333333,36.125,85.47916666666666,2571.0561870412216,329.57008079509455,103.0050848175278,583.5,138.16666666666666,0.5779842744817727,0.4444957233777182,0.03201220184140145,0.08439653104624403,0.2520086049719924,0.11889280075207134,0.06819413801057254
09,0,2,138,77,219,335,50,45,75.26315789473684,97,100,50.8,60,0.4,117,87,NA,NA,NA,1.0986122886681098,4.927253685157205,794.2224935211515,34.279971475901405,149.91691766527887,1167.2133276412028,218.62503795573576,72.81251264106123,511.6666666666667,144.25,0.6837300293446364,0.3131190050767078,0.06825882288736912,0.15968915238066056,0.2505496808804004,0.0675932377408768,0.1407901010339853
10,0,6,74,7,15,209,50,55,41.666666666666664,109,103,60,94,34,NA,NA,9,37,104,1.9459101490553132,4.30406509320417,1297.4403106387108,29.97462501034796,97.3337526407177,1206.212709411929,273.06254740669226,40.50000703125122,785.4166666666666,187.91666666666666,0.5050202948088015,0.46350827715179105,0.07853420917876455,0.09295882803096979,0.23453050310285722,0.08631301303960875,0.04415516949600862
11,0,1,31,13,38,273,50,40,12.708333333333332,108,119,94.6,103,58,95,37,9,37,108,0.6931471805599453,3.4339872044851463,1967.2799708365692,40.7186458542281,129.37726284327564,3142.3967955549992,127.00002204861494,59.750010373265695,615.9166666666666,177.58333333333334,0.5588514154137885,0.5136344719268097,0.045384133762208255,0.08678794954816375,0.2531067127092195,0.0728368194187361,0.02824991263486273
12,5,22,144,53,223,337,90,85.625,76.84210526315789,111,116,92.3,120,91,109,73,9,37,98,3.1354942159291497,4.969813299576001,1947.5402508828597,30.862054195181564,73.171133385043035,1724.3432444466434,430.04502053134127,93.87522881314008,762.25,175.91666666666666,0.7034437376617679,0.378473450271669,0.09395160317670948,0.12668391504003826,0.25854770363146484,0.07691848699348558,0.06542484088663285
13,0,1,36,80,195,317,50,40,13.75,100,105,68.5,103,58,97,42,10,50,106,0.6931471805599453,3.58351893845611,1129.7603542743757,25.699847549804016,84.96695483527823,379.5831908998595,155.187526942279,21.187503678386054,361,94.91666666666667,0.4748267898383372,0.4349040804927952,0.1165470016143164,0.1670582099848159,0.23530294980762997,0.0259124261482752,0.020275331952167283
14,0,1,71,11,79,290,50,40,40,118,113,86.2,112,79,128,97,14,91,133,0.6931471805599453,4.2626798770413155,1010.046875,22.911458333333332,94.59375,1226.3058379003191,321.06255574002705,73.2500127170161,510.25,150.91666666666666,0.5780611410822298,0.39680150312175017,0.09944806814305228,0.12727451499981288,0.26143903885390146,0.054944314574909045,0.060092560306574144
15,0,0,19,0,60,255,50,25,10.208333333333334,NA,NA,NA,NA,NA,97,42,5,5,86,0,2.9444389791664403,933.765625,25.057291666666668,110.43229166666667,NA,NA,NA,453,124.25,0.4491338002211574,0.4549612595241613,0.09334476108854445,0.10710923035923192,0.27146784545692587,0.04481900712342047,0.028297896447715985
16,0,0,28,17,91,275,50,25,12.083333333333334,112,110,80,103,58,106,66,11,63,118,0,3.332204510175204,1069.4947916666667,24.010416666666668,75.05729166666667,1211.213335280093,218.31253790148227,67.31251168619995,862.3333333333334,228,0.6631212531425256,0.4274923800837975,0.03999671654195507,0.12187594647569103,0.20340894613687222,0.1364458911917345,0.07078011956994969
17,0,7,89,106,222,305,50,60,48.214285714285715,135,131,99.9,103,58,128,97,12,75,118,2.0794415416798357,4.48863636973214,1090.4739583333333,33.744791666666664,88.375,2631.153581797497,171.8125298285642,70.68751227213755,806.0833333333334,199.08333333333334,0.5669568822553898,0.5083358441990237,0.04293771815122159,0.09869714492471214,0.26783085585566,0.0585273385480637,0.023671098321318872
18,0,5,147,28,102,332,50,53.333333333333336,77.63157894736842,114,110,80,103,58,95,37,13,84,112,1.791759469228055,4.990432586778736,1865.198374335776,40.78315255117958,116.95405555244687,1621.4809065071015,351.0625609483613,69.12501200087014,532.8333333333334,143.58333333333334,0.47775689223057644,0.4869757736174838,0.05506742070542588,0.1197091009969559,0.2551953700908271,0.020574258347409276,0.06247807624189806
19,0,7,245,6,86,307,50,60,92.4,126,131,99.9,120,91,117,87,16,98,131,2.0794415416798357,5.501258210544727,2219.607900535702,67.70950677322254,147.97589100641756,2321.212277988243,176.00003055556087,62.18751079644285,1031.6666666666667,237.08333333333334,0.7364842991259307,0.4585731478415029,0.027772134974441327,0.08053774886958974,0.22566389121923647,0.15789492903107671,0.049558148064152915
20,0,6,121,1,105,274,50,55,70.29411764705883,NA,NA,NA,103,58,95,37,8,25,104,1.9459101490553132,4.795790545596741,1245.4322916666667,27.291666666666664,75.42708333333334,1372.8271133380406,85.68751487630468,23.062504003906945,476,116.91666666666667,0.597124824684432,0.39598511254755503,0.1603793466842476,0.13550717483639257,0.20634935555905531,0.03883873750637143,0.06294027286637806
21,0,20,NA,30,139,NA,50,83.33333333333333,NA,109,107,74.6,103,58,NA,NA,NA,NA,NA,3.044522437723423,NA,1274.1820899482552,40.859458854260645,159.06840867786573,NA,NA,NA,325.3333333333333,104.16666666666667,0.5280841241343934,0.37178554659411095,0.07902028141523172,0.13128196051563695,0.24136352639061157,0.05787266969621149,0.11867601538819732
22,0,3,118,11,94,296,50,50,69.23076923076923,121,113,86.2,112,79,106,66,10,50,118,1.3862943611198906,4.770684624465665,906.2462274748401,23.568988007334422,135.60879762153027,1034.0214295176092,255.00004427084104,39.68750689019217,313.75,108.66666666666667,0.6805666933974873,0.3384343051277038,0.027491315582915676,0.15239837247104807,0.2911331460088836,0.15336525449179936,0.0371776063176495
23,0,0,5,16,52,104,50,25,6.176470588235294,106,100,50.8,103,58,106,66,10,50,100,0,1.6094379124341005,930.0052083333334,20.942708333333332,95.08333333333333,NA,NA,NA,260.3333333333333,88.75,0.33547971667739857,0.5183581954037049,0.14219206879041815,0.09325915521689054,0.16552954942031234,0.021784790205836697,0.058876240962837466
25,0,14,118,36,189,317,50,75,69.23076923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221,4.770684624465665,742.9977095336931,21.14495193912207,117.42366847107557,1477.3965064924491,149.9375260308205,58.06251008029689,304.5833333333333,96.16666666666667,0.5825349028196003,0.48613720417776224,0.047316809844379665,0.07269940420547184,0.26496274755271915,0.06677418668743014,0.06210964753223696
26,0,7,NA,89,261,NA,50,60,NA,94,103,60,103,58,NA,NA,NA,NA,NA,2.0794415416798357,NA,804.603054277363,19.54192803293396,70.3186136192626,NA,NA,NA,410.5833333333333,121.83333333333333,0.48952187182095624,0.4937881004335176,0.0825866964027891,0.09473354396721162,0.22314804621232492,0.04662336378180129,0.059120249202355445
27,0,1,31,30,109,332,50,40,12.708333333333332,111,116,92.3,112,79,117,87,10,50,106,0.6931471805599453,3.4339872044851463,1498.8541666666667,41.979166666666664,114.89583333333333,1240.9433404415522,420.25007296008215,80.062513899742,766,161.75,0.6745277868762966,0.397039424406354,0.03740048320057077,0.10472556636415176,0.2892564069249781,0.10123278410062067,0.07034533500332474
28,0,4,NA,18,105,NA,50,51.666666666666664,NA,126,116,92.3,112,79,117,87,13,84,119,1.6094379124341005,NA,916.9321976535881,17.031452091264786,52.218314270613064,1216.9258362718467,176.1250305772623,56.87500987413366,515.9166666666666,151.75,0.6800905709202653,0.24728098260076528,0.07706834966086162,0.1252805663763827,0.2560657570086184,0.19417160516593734,0.10013273918743464
29,1,4,103,92,215,322,60,51.666666666666664,58.888888888888886,126,116,92.3,103,58,128,97,10,50,114,1.6094379124341005,4.634728988229636,1431.3079250994033,43.70440974369919,142.70120481346527,1284.083347931137,148.2500257378517,38.250006640626154,708.4166666666666,183.58333333333334,0.664017083877091,0.46644174421070184,0.06902731002209098,0.14773738467557462,0.26377073006494806,0.018821503876896382,0.03420132714978809
30,0,4,NA,19,128,NA,50,51.666666666666664,NA,114,113,86.2,103,58,117,87,12,75,121,1.6094379124341005,NA,1349.7000996150102,20.65159731636945,52.047986299405565,1572.8214826814806,166.81827843381225,45.46410104066162,636,152.41666666666666,0.6035929714135851,0.48422038877385,0.04757763096297868,0.0855647760924715,0.27612973852093575,0.054271162918936765,0.052236302730827314
31,0,0,78,10,98,337,50,25,43.888888888888886,128,125,96.2,120,91,117,87,11,63,112,0,4.356708826689592,1219.5,28.953125,93.59375,1705.5802961076904,287.5000499132031,84.37501464844004,508.8333333333333,144.58333333333334,0.558418116179849,0.4861631617267506,0.03735533752919992,0.12016607509054715,0.16895522818908545,0.12232877920318082,0.06503141826123605
32,0,2,28,4,180,300,50,45,12.083333333333334,106,110,80,86,18,84,15,10,50,96,1.0986122886681098,3.332204510175204,1022.953125,15.442708333333334,55.44791666666667,1398.2528474324265,260.0938276240907,59.82843093723597,390.8333333333333,112.25,0.5420042643923241,0.5461436993602872,0.05317284500830803,0.16060323914649072,0.14299628204146458,0.021300862875537157,0.07578307156791238
33,0,2,38,8,53,308,50,45,14.166666666666668,109,110,80,112,79,128,97,12,75,108,1.0986122886681098,3.6375861597263857,1975.1747080685323,69.79810396065872,199.36758787012468,2700.907343907525,370.75006436633066,119.1250206814272,1072.4166666666667,286.9166666666667,0.6980600750938674,0.36005673401747396,0.022431456569529596,0.05886778254621056,0.32149251151710495,0.175822434487044,0.061329080862636956
34,0,2,2,0,7,24,50,45,5.294117647058823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0986122886681098,0.6931471805599453,548.3504491389004,18.66708094275661,104.39802037752247,NA,NA,NA,139,55.833333333333336,0.5045482110369921,0.4191146949983744,0.10137280012521753,0.17694845988702773,0.14572758616643078,0.013580246913580249,0.14325621190936935
35,0,2,6,5,76,204,50,45,6.470588235294118,NA,NA,NA,103,58,106,66,12,75,112,1.0986122886681098,1.791759469228055,1317.6058856758434,36.63608869829953,130.75819684058482,1234.3358132694088,342.7851051028107,68.84926509211418,494.9166666666667,135.91666666666666,0.6813353566009105,0.41292726354153814,0.04572308991035611,0.0984802170535562,0.14974309426817944,0.12627281832177373,0.16685351690459635
36,0,0,5,20,59,147,50,25,6.176470588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.6094379124341005,1380.3625776783856,27.78438266017138,110.61573250886002,NA,NA,NA,449.0833333333333,154.91666666666666,0.5050185873605948,0.4917957952039042,0.06792808450812472,0.09785407845002696,0.22489684360966045,0.06750828916497492,0.05001690906330874
37,0,0,34,46,178,352,50,25,13.333333333333332,NA,NA,NA,103,58,106,66,9,37,96,0,3.5263605246161616,746.4322916666666,25.677083333333332,101.42708333333333,1050.6970574126838,200.8125348632873,49.81250864800498,375.9166666666667,119.33333333333333,0.5544202576632608,0.4610915110665788,0.11798815843773638,0.11331682865716275,0.192910467689347,0.06194663092654554,0.05274640322262952
38,0,NA,68,60,NA,334,50,NA,32.5,114,113,86.2,103,58,117,87,14,91,125,NA,4.219507705176107,1974.0917522717523,63.71685665855466,179.25450934147187,1963.8403409445036,281.81254892578977,81.81251420356149,473.1666666666667,143.16666666666666,0.4895870102364984,0.5194225744930527,0.08185253866309951,0.08517116238968478,0.25221118674166665,0.020909667843459497,0.04043286986903689
39,0,NA,NA,35,NA,NA,50,NA,NA,90,87,22.1,94,34,NA,NA,NA,NA,NA,NA,NA,1222.930706739885,13.67595026033512,47.83051763182232,NA,NA,NA,363.5833333333333,126,0.4709288858003243,0.4754980796690368,0.12654050474034687,0.09378509549100796,0.2041758097445473,0.04167637076711573,0.058324139587945335
40,NA,0,NA,NA,51,NA,NA,25,NA,NA,NA,NA,NA,NA,106,66,11,63,106,0,NA,906.140601027218,33.137759468552545,142.3838515025827,1420.125246549522,244.0000423611185,54.06250938585232,311.5833333333333,101.75,0.45985401459854014,0.46994306732479646,0.05578943955449241,0.07557086363450877,0.21281910096642076,0.1113990464160889,0.07447848210369269
41,0,2,NA,0,11,NA,50,45,NA,118,107,74.6,103,58,117,87,10,50,106,1.0986122886681098,NA,1185.4322916666667,33.552083333333336,114.13020833333333,1245.7058412683753,271.0000470486193,58.25001011284898,786,182.16666666666666,0.6329923273657289,0.32150753348540695,0.08135866934136217,0.08036909341356945,0.15866590284992552,0.20936562379647727,0.14873317711325865
42,0,3,NA,0,35,NA,50,50,NA,111,105,68.5,94,34,95,37,7,16,96,1.3862943611198906,NA,1189.8072916666667,37.1875,123.27083333333333,1449.4390016387156,358.0000621527886,78.75001367187738,744.8333333333334,174.41666666666666,0.6271300448430494,0.33384607083181744,0.09276371765792442,0.07577051782182735,0.1545414222417435,0.17715959932605782,0.1659186721206295
43,0,1,2,1,67,372,50,40,5.294117647058823,91,93,31.5,77,6,106,66,10,50,102,0.6931471805599453,0.6931471805599453,1402.7898159402737,35.40192433708181,103.45198519007046,2320.27867728557,434.0587560207604,90.16570486294036,535.25,161.58333333333334,0.6912636505460218,0.4322995856009437,0.07502962599036485,0.07278383526044226,0.2436966073916675,0.11397285822910595,0.06221748752747573
44,1,2,35,15,48,152,60,45,13.541666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0986122886681098,3.5553480614894135,641.2835110544607,17.463995609388043,110.76711495628918,NA,NA,NA,283.25,78.41666666666667,0.4785185185185185,0.510708169503361,0.10714131406671214,0.09308112502845085,0.17154693090571144,0.010704709234120998,0.10681775126164358
45,3,16,12,191,274,338,80,77.5,8.235294117647058,NA,NA,NA,NA,NA,106,66,9,37,96,2.833213344056216,2.4849066497880004,657.729468800152,15.038639612452279,74.97720172153454,NA,NA,NA,295.6666666666667,95.5,0.5863145939806927,0.4618571843351673,0.1410251171915973,0.07777833637749637,0.15515346021888407,0.08135458630343487,0.08283131557342006
46,0,NA,29,0,NA,70,50,NA,12.291666666666666,102,100,50.8,68,2,NA,NA,NA,NA,NA,NA,3.367295829986474,1133.6649678080826,39.49277081850163,149.41788908572948,NA,NA,NA,345.6666666666667,103.08333333333333,0.6993226898887276,0.44827993215188994,0.08104330754688724,0.14856781847928074,0.1968490421425757,0.05460037930857124,0.07065952037079512
