"jj","psi_mean","psi_median"
1,16.372151267,16.3719395
2,17.6449111393333,17.6424245
3,19.512153305,19.506718
4,18.8387027933333,18.836341
5,13.4553427058333,13.4553515
6,19.5118493708333,19.5101435
7,16.8975641465,16.8965075
8,14.7129764111667,14.7123135
9,17.087547982,17.085069
10,17.8580560731667,17.854991
11,16.0462096991667,16.0458625
12,18.513396855,18.5132995
13,15.0184654971667,15.0178775
14,16.673742081,16.670819
15,9.98609544465,9.98767665
16,12.2917101558333,12.290986
17,18.3739105535,18.3724795
18,18.7452035673333,18.7440025
19,17.5342411165,17.531541
20,18.9361470373333,18.9350425
21,13.9265775191667,13.9258015
22,12.0890609343333,12.0904605
23,15.5171002465,15.5169745
24,14.0670574536667,14.0672625
25,15.2055195638333,15.206234
26,14.180100039,14.177869
27,13.0841963125,13.0832225
28,14.7984875016667,14.8003825
29,16.7245472296667,16.725822
30,13.927113577,13.924961
31,14.489768459,14.4905005
32,17.6009469636667,17.5995215
33,9.9402501434,9.9416389
34,16.7943386498333,16.7938285
35,16.1511329833333,16.15205
36,15.9006686275,15.900401
37,13.7549124586667,13.7529555
38,18.6013153678333,18.6027035
39,13.2437276815,13.2447755
40,12.4661230506667,12.4650175
41,16.6924043531667,16.6897975
42,18.624685635,18.6214805
43,14.4661729698333,14.4655705
44,15.6853255701667,15.6847655
45,17.243257365,17.2431405
46,12.5285353528333,12.5271845
47,18.4802356915,18.478081
48,16.489728558,16.4886085
49,15.9981137193333,16.000892
50,17.2423765295,17.2405345
51,15.4665082675,15.466576
52,15.7003706075,15.7013625
53,18.6286646315,18.6279735
54,16.5632068418333,16.563546
55,15.6303384976667,15.630528
56,16.7887646766667,16.7875135
57,14.156923819,14.1577385
58,12.3870064606667,12.388292
59,13.433132923,13.432147
60,18.8078857471667,18.8082565
61,17.2705272793333,17.269841
62,17.2505378143333,17.2499415
63,14.4639577631667,14.462673
64,15.223254846,15.22168
65,15.7944213785,15.794091
66,17.558544771,17.5602725
67,15.4796459856667,15.479688
68,12.1142816915,12.1127945
69,17.2723254863333,17.269705
70,12.5191554695,12.5189105
71,13.9635914575,13.964589
72,18.0157795835,18.0154665
73,12.2391362823333,12.2383615
74,14.5568715415,14.556991
75,14.1018938478333,14.100953
76,15.2075701081667,15.2052545
77,17.1437198426667,17.1433675
78,19.5515960126667,19.5493845
79,18.6084470323333,18.490125
80,15.1702743008333,15.1687945
81,18.7480430791667,18.745525
82,17.0178819026667,17.0172005
83,17.443681942,17.446948
84,14.403857864,14.404157
85,17.073734632,17.0727945
86,18.614092103,18.6127415
87,16.936915246,16.937493
88,16.5814748228333,16.5845025
89,16.4703179168333,16.46996
90,15.7616805258333,15.7600575
91,17.3567962171667,17.3571555
92,17.6416757953333,17.6424275
93,16.5859674666667,16.584289
94,16.0301476465,16.030171
95,16.3530611585,16.3521195
96,9.08689613436667,9.08679025
97,12.7480286333333,12.747918
98,14.7569843718333,14.756651
99,16.2516230998333,16.250324
100,14.6282886778333,14.627412
101,16.8570821738333,16.8572215
102,17.0633134621667,17.062716
103,12.2052458898333,12.205242
104,10.816496493,10.816328
105,18.0666894173333,18.0660335
106,12.0016763981667,12.0017315
107,16.6724615835,16.672086
108,16.0312113426667,16.0314315
109,17.422054484,17.420883
110,13.4094957903333,13.408381
111,14.8865534,14.886906
112,14.3281008515,14.3266915
113,16.2341793445,16.233229
114,16.5935147066667,16.59216
115,12.632482057,12.631988
116,17.5932319811667,17.593589
117,16.8103097811667,16.808641
118,17.1232189473333,17.1217495
119,13.7302718135,13.730329
120,15.905795421,15.903697
121,12.2077539778333,12.207586
122,16.4527871433333,16.451305
123,16.9071706638333,16.907153
124,14.5611616673333,14.559884
125,16.0288284325,16.0281595
126,16.4901297465,16.490394
127,15.033216435,15.035268
128,16.0442117193333,16.043523
129,17.4656263693333,17.4631335
130,14.6023954653333,14.603292
131,16.2689065796667,16.267355
132,14.1831441515,14.182202
133,14.5043420895,14.504967
134,16.5690012705,16.567798
135,17.0789572805,17.0758605
136,19.0716927403333,19.0707095
137,15.9008090405,15.9002495
138,17.016815279,17.017899
139,16.3394910186667,16.342028
140,16.0815252021667,16.079854
141,14.4605919706667,14.4608245
142,15.3995397323333,15.399834
143,14.7802621976667,14.780703
144,15.4682274751667,15.468563
145,14.7514464793333,14.7519125
146,16.5270397721667,16.524962
147,16.7348010896667,16.733061
148,16.9823958468333,16.9813185
149,14.0170016253333,14.0164155
150,14.31345656,14.3141365
151,19.0089626351667,19.008278
152,15.6049346205,15.604988
153,17.1020907291667,17.1026685
154,17.854370052,17.8521305
155,15.9638927593333,15.9616175
156,14.6024320398333,14.601461
157,15.3762445141667,15.3745205
158,14.5430817635,14.542825
159,18.1829484683333,18.1832915
160,15.9622402448333,15.9622605
161,16.7191290105,16.7193135
162,13.6068333771667,13.607127
163,16.0770190761667,16.076684
164,15.008106397,15.008376
165,13.7176061028333,13.7155285
166,15.2717419195,15.2714615
167,12.8460909296667,12.8466555
168,17.1841186013333,17.1833095
169,16.3424034815,16.341457
170,10.2253103214833,10.2264415
171,16.1870576923333,16.18819
172,12.946450902,12.946146
173,19.1044407155,19.1018975
174,15.508803094,15.509786
175,11.96341395,11.96183
176,15.8421774091667,15.8421445
177,16.5088130141667,16.5090945
178,15.5793886355,15.577215
179,15.1461017316667,15.144502
180,18.2623317795,18.263288
181,19.2106919585,19.205896
182,14.912892454,14.911341
183,18.8130042506667,18.809518
184,19.3156388108333,19.3158515
185,16.0815576896667,16.082319
186,18.4503179425,18.448593
187,16.5286124096667,16.529154
188,16.8174280181667,16.814081
189,18.7115899125,18.7131815
190,15.5463387875,15.5480915
191,20.001021561,19.9998155
192,14.6672384018333,14.668503
193,12.251800157,12.251559
194,19.0706285543333,19.067673
195,15.1060109028333,15.1067335
196,17.3744458075,17.3754145
197,11.8859737223333,11.883494
198,15.6362464501667,15.6363345
