"jj","psi_mean","psi_median","psi_sd","psi_q025","psi_q975"
1,14.527524473,14.5253215,0.0977639038065278,14.339105475,14.7193854
2,15.191617303,15.192846,0.107734721244583,14.981740275,15.3993366
3,16.235595976,16.2295895,0.148078533385816,15.941840675,16.53556005
4,15.851151719,15.8474765,0.137504518585815,15.57817215,16.1214949
5,13.438600404,13.4379085,0.0761211117541128,13.2941463,13.582843325
6,16.229484704,16.2261425,0.155167826979594,15.917200975,16.545341125
7,14.793671032,14.7945725,0.1028698581157,14.5977589,14.997254125
8,14.03681991,14.034615,0.0821064073983744,13.877072875,14.19730005
9,15.132794272,15.1298675,0.101639381796492,14.9289321,15.335935875
10,15.304744659,15.300997,0.120600151375185,15.063883125,15.545609375
11,14.3604244885,14.359743,0.0977131185861591,14.174780925,14.550857175
12,15.8610229495,15.8597,0.126695635222403,15.621276075,16.1130242
13,14.1805511675,14.17744,0.0819443543777583,14.02514045,14.345365825
14,14.9286705505,14.931411,0.0922241664144429,14.75123425,15.1118344
15,11.4680253435,11.4672445,0.0983433557843588,11.282613125,11.65583535
16,12.823277097,12.823212,0.076305270318647,12.677094475,12.9703912
17,15.58475362,15.5860585,0.125303374072575,15.343100825,15.83304935
18,15.7952808125,15.794264,0.126630328358551,15.55224185,16.0456893
19,15.12719765,15.127851,0.114230462744396,14.906036375,15.35488305
20,15.9036266555,15.900387,0.134833118971426,15.647212875,16.17183735
21,13.6713898385,13.6735295,0.0775467111900861,13.50945905,13.819739775
22,12.717134659,12.7173265,0.0806722805228915,12.5620383,12.8710798
23,14.107472867,14.1052655,0.0934423984605454,13.930835675,14.294350475
24,13.7401375225,13.7384715,0.0806392478586023,13.583074825,13.89383325
25,14.2687480155,14.264975,0.0878835452817358,14.10594425,14.44344835
26,13.7977967975,13.798942,0.079310466697526,13.640863525,13.9480432
27,13.2529817415,13.2519975,0.0770534283287271,13.101775875,13.404048625
28,14.080810534,14.081159,0.0811793961117436,13.9190505,14.24287915
29,14.6947527815,14.6942705,0.0952581133747179,14.513678575,14.8833353
30,13.6730043895,13.6733525,0.082616223408329,13.5107919,13.832374425
31,13.937778287,13.936333,0.0793367767184467,13.78472355,14.094395575
32,15.1698587045,15.167362,0.107504347732852,14.963968475,15.388547125
33,11.4241248675,11.422603,0.102242976584949,11.2202557,11.61485265
34,14.7428233305,14.7437675,0.0994414833357804,14.550382925,14.9419289
35,14.6866325765,14.6874025,0.0878993887091307,14.5178647,14.85615165
36,14.2930784065,14.290955,0.0956484101545698,14.09897385,14.4945183
37,13.5877133295,13.587164,0.0759065003803292,13.4417378,13.73323855
38,15.9052394855,15.9025455,0.126750930510373,15.671778625,16.1537166
39,13.3286913645,13.3293745,0.0787361159514501,13.175731075,13.480097075
