dataset_name,lab_subject_id,lwl_age,lwl_log_rt
seedlings_zhu,01,8,6.98323374015804
seedlings_zhu,01,10,6.85306440649174
seedlings_zhu,01,12,6.74976389976894
seedlings_zhu,01,14,6.6112940414466
seedlings_zhu,01,16,6.26094627934434
seedlings_zhu,01,18,6.56556673536482
seedlings_zhu,02,8,6.53542267690985
seedlings_zhu,02,10,6.87357782718055
seedlings_zhu,02,12,6.9119132891308
seedlings_zhu,02,14,5.99769509685862
seedlings_zhu,02,16,6.48971138866711
seedlings_zhu,02,18,6.33071071061192
seedlings_zhu,03,8,7.34018683532012
seedlings_zhu,03,10,6.6520024441023
seedlings_zhu,03,12,6.62207120919303
seedlings_zhu,03,14,7.03614849375054
seedlings_zhu,03,16,6.96271683705611
seedlings_zhu,03,18,6.72906349023876
seedlings_zhu,04,8,6.63134279878859
seedlings_zhu,04,10,7.0985822288198
seedlings_zhu,04,12,6.63282489045552
seedlings_zhu,04,14,6.87768259472585
seedlings_zhu,04,16,6.61773714673281
seedlings_zhu,04,18,6.51193104791065
seedlings_zhu,06,8,6.80903930604298
seedlings_zhu,06,10,6.61338421837956
seedlings_zhu,06,12,6.8119049533253
seedlings_zhu,06,14,6.80940715596436
seedlings_zhu,06,16,6.54911411758986
seedlings_zhu,06,18,6.14418563412565
seedlings_zhu,07,8,6.87729607149743
seedlings_zhu,07,10,6.9634264763526
seedlings_zhu,07,12,6.88959130835447
seedlings_zhu,07,14,6.81161141842923
seedlings_zhu,07,16,6.29341927884648
seedlings_zhu,07,18,6.83848175587131
seedlings_zhu,08,8,7.23543900957027
seedlings_zhu,08,10,6.80406004264337
seedlings_zhu,08,12,6.55307833770608
seedlings_zhu,08,14,6.61859062657013
seedlings_zhu,08,16,6.22935595505675
seedlings_zhu,08,18,6.38881993708792
seedlings_zhu,09,8,6.9169132167669
seedlings_zhu,09,12,6.70318811324086
seedlings_zhu,09,14,6.62332716591681
seedlings_zhu,09,16,6.35766894126284
seedlings_zhu,09,18,6.30870542180131
seedlings_zhu,10,8,6.67540278858262
seedlings_zhu,10,10,6.72194191864604
seedlings_zhu,10,12,6.93488394637039
seedlings_zhu,10,14,7.02349177746473
seedlings_zhu,10,16,6.70416922688346
seedlings_zhu,10,18,6.67802759979091
seedlings_zhu,11,10,6.09672505776548
seedlings_zhu,11,12,6.78287209683545
seedlings_zhu,11,16,6.4377516497364
seedlings_zhu,11,18,6.67930923271811
seedlings_zhu,12,8,6.4085287910595
seedlings_zhu,12,10,7.08058750975498
seedlings_zhu,12,12,6.80100490903526
seedlings_zhu,12,14,6.25205208620432
seedlings_zhu,12,16,6.5786099808243
seedlings_zhu,12,18,6.29710931993394
seedlings_zhu,13,8,6.99759598298193
seedlings_zhu,13,10,6.38237987420142
seedlings_zhu,13,12,6.21660610108487
seedlings_zhu,13,14,6.16541785423142
seedlings_zhu,13,16,6.47105746844287
seedlings_zhu,13,18,6.49223983502047
seedlings_zhu,14,8,6.93016887381904
seedlings_zhu,14,10,6.55369595893387
seedlings_zhu,14,12,6.9073551989608
seedlings_zhu,14,14,6.76247256962317
seedlings_zhu,14,16,6.55195906972209
seedlings_zhu,14,18,6.34680526803358
seedlings_zhu,15,8,6.72743172485086
seedlings_zhu,15,10,7.03585528160945
seedlings_zhu,15,12,6.66249392241431
seedlings_zhu,15,14,6.75751361565159
seedlings_zhu,15,16,6.79182629274419
seedlings_zhu,15,18,6.6443104308944
seedlings_zhu,16,8,6.5692008761566
seedlings_zhu,16,10,5.91620206260744
seedlings_zhu,16,12,6.58225595251185
seedlings_zhu,16,14,6.40742988985001
seedlings_zhu,16,16,6.46925031679577
seedlings_zhu,16,18,6.50890461079157
seedlings_zhu,17,8,6.38744032919503
seedlings_zhu,17,10,6.16908758312038
seedlings_zhu,17,12,6.77422388635761
seedlings_zhu,17,14,6.81714653011138
seedlings_zhu,17,16,6.65829627120069
seedlings_zhu,17,18,6.53917298844269
seedlings_zhu,18,8,6.56385552653213
seedlings_zhu,18,12,7.05272104923232
seedlings_zhu,18,14,6.67594931708927
seedlings_zhu,18,16,6.49869279899285
seedlings_zhu,18,18,6.5752026234841
seedlings_zhu,19,8,6.3297209055227
seedlings_zhu,19,10,6.70026974852463
seedlings_zhu,19,12,6.60947175465299
seedlings_zhu,19,14,6.30789603284575
seedlings_zhu,19,16,6.20321005346982
seedlings_zhu,19,18,6.20607176739991
seedlings_zhu,20,8,7.00142775484477
seedlings_zhu,20,10,7.20191631753163
seedlings_zhu,20,12,5.92157841964382
seedlings_zhu,20,14,6.82790005373267
seedlings_zhu,20,16,6.80332026084525
seedlings_zhu,20,18,6.55286445683691
seedlings_zhu,21,8,7.17191280638696
seedlings_zhu,21,10,6.39325624984984
seedlings_zhu,21,12,7.01683387400837
seedlings_zhu,21,14,6.63463335786169
seedlings_zhu,21,16,6.71151918058785
seedlings_zhu,21,18,6.55179436577706
seedlings_zhu,22,8,6.57786135772105
seedlings_zhu,22,10,6.7286286130847
seedlings_zhu,22,12,6.8596149036542
seedlings_zhu,22,14,7.07114882589057
seedlings_zhu,22,16,6.70004753579777
seedlings_zhu,22,18,6.71828825402731
seedlings_zhu,23,8,6.85751406254539
seedlings_zhu,23,10,6.87212810133899
seedlings_zhu,23,14,7.32712329225929
seedlings_zhu,23,16,7.36518012602101
seedlings_zhu,23,18,7.0604763659998
seedlings_zhu,25,10,6.55535689181067
seedlings_zhu,25,12,6.56526497003536
seedlings_zhu,25,14,6.99655077776527
seedlings_zhu,25,16,6.55357721524199
seedlings_zhu,25,18,6.48023626134256
seedlings_zhu,26,8,5.8406416573734
seedlings_zhu,26,10,6.38772071613084
seedlings_zhu,26,12,6.91025215918072
seedlings_zhu,26,14,6.68461172766793
seedlings_zhu,26,16,6.65450391110924
seedlings_zhu,26,18,6.6965402985332
seedlings_zhu,27,8,6.4281052726846
