"dataset","language","n_kids","est","lo","hi","p"
"AM2018","English",66,1.32910200586191,0.179237133055123,2.47896687866869,0.0234808912789204
"FMW2013","English",87,0.713733301043353,-0.178215765027476,1.60568236711418,0.116791902134118
"babyview","English",22,1.05689326976776,-0.583013478796472,2.69680001833199,0.206521562389369
"seedlings","English",44,0.500403880790293,-0.850958537863386,1.85176629944397,0.467973744766013
"SLENA(ES)","Spanish",29,-2.34822165241023,-5.99717106895086,1.30072776413039,0.207191450304895
