"spec","n_kids","channel","term","est","lo","hi","p"
"SLENA-proc",29,"processing","level",-0.204344719171375,-1.06933543425226,0.660645995909508,0.643343693299273
"SLENA-proc",29,"processing","acceleration",-1.88900393240899,-5.91480185552407,2.1367939907061,0.357739763801505
