step,epoch,word,n_occurrences,mean_nll,sum_nll
1,0.0021413276231263384,a,50,12.364514,618.225713
1,0.0021413276231263384,about,50,10.921996,546.099815
1,0.0021413276231263384,above,50,11.182054,559.102715
1,0.0021413276231263384,after,50,10.732310,536.615486
1,0.0021413276231263384,airplane,50,11.199913,559.995646
1,0.0021413276231263384,all,50,11.051034,552.551713
1,0.0021413276231263384,alligator,50,11.335210,566.760489
1,0.0021413276231263384,am,50,11.542493,577.124657
1,0.0021413276231263384,and,50,9.779453,488.972653
1,0.0021413276231263384,animal,50,11.424029,571.201464
1,0.0021413276231263384,ankle,5,11.210592,56.052958
1,0.0021413276231263384,another,50,11.516149,575.807460
1,0.0021413276231263384,any,50,10.795262,539.763108
1,0.0021413276231263384,apple,50,10.272588,513.629405
1,0.0021413276231263384,are,50,10.255676,512.783777
1,0.0021413276231263384,arm,50,10.514933,525.746635
1,0.0021413276231263384,around,50,10.961168,548.058380
1,0.0021413276231263384,asleep,50,11.243252,562.162578
1,0.0021413276231263384,at,50,11.209405,560.470268
1,0.0021413276231263384,aunt,42,11.366534,477.394423
1,0.0021413276231263384,awake,50,10.903484,545.174216
1,0.0021413276231263384,away,50,10.879059,543.952933
1,0.0021413276231263384,baby,50,11.063273,553.163660
1,0.0021413276231263384,babysitter,11,11.011426,121.125689
1,0.0021413276231263384,back,50,11.058558,552.927903
1,0.0021413276231263384,backyard,19,10.862079,206.379503
1,0.0021413276231263384,bad,50,11.308303,565.415130
1,0.0021413276231263384,ball,50,11.468190,573.409492
1,0.0021413276231263384,balloon,50,10.680524,534.026207
1,0.0021413276231263384,banana,50,10.703705,535.185238
1,0.0021413276231263384,basement,26,11.496886,298.919032
1,0.0021413276231263384,basket,50,10.329278,516.463913
1,0.0021413276231263384,bat,50,11.093768,554.688393
1,0.0021413276231263384,bath,50,10.499079,524.953975
1,0.0021413276231263384,bathroom,50,10.453034,522.651683
1,0.0021413276231263384,bathtub,31,11.760898,364.587828
1,0.0021413276231263384,be,50,12.569389,628.469469
1,0.0021413276231263384,beach,50,10.448949,522.447462
1,0.0021413276231263384,beads,50,11.057406,552.870317
1,0.0021413276231263384,beans,50,11.326820,566.340999
1,0.0021413276231263384,bear,50,11.157024,557.851204
1,0.0021413276231263384,because,50,11.452230,572.611517
1,0.0021413276231263384,bed,50,11.061796,553.089791
1,0.0021413276231263384,bedroom,50,10.554297,527.714873
1,0.0021413276231263384,bee,50,10.580838,529.041924
1,0.0021413276231263384,before,50,10.377871,518.893572
1,0.0021413276231263384,behind,50,11.407158,570.357879
1,0.0021413276231263384,belly,50,11.983774,599.188718
1,0.0021413276231263384,belt,50,11.061919,553.095931
1,0.0021413276231263384,bench,50,11.276595,563.829762
1,0.0021413276231263384,beside,50,10.398993,519.949631
1,0.0021413276231263384,better,50,10.730726,536.536305
1,0.0021413276231263384,bib,50,11.602309,580.115469
1,0.0021413276231263384,bicycle,50,10.667796,533.389784
1,0.0021413276231263384,big,50,11.031718,551.585889
1,0.0021413276231263384,bird,50,10.366952,518.347580
1,0.0021413276231263384,bite,50,10.527978,526.398896
1,0.0021413276231263384,black,50,11.737270,586.863495
1,0.0021413276231263384,blanket,50,11.449816,572.490795
1,0.0021413276231263384,block,50,10.677225,533.861226
1,0.0021413276231263384,blow,50,11.490541,574.527039
1,0.0021413276231263384,blue,50,10.130476,506.523781
1,0.0021413276231263384,boat,50,11.168139,558.406965
1,0.0021413276231263384,book,50,10.280997,514.049849
1,0.0021413276231263384,boots,50,11.325808,566.290404
1,0.0021413276231263384,bottle,50,10.643025,532.151265
1,0.0021413276231263384,bowl,50,11.631791,581.589566
1,0.0021413276231263384,box,50,11.923806,596.190292
1,0.0021413276231263384,boy,50,11.468179,573.408926
1,0.0021413276231263384,bread,50,11.224471,561.223547
1,0.0021413276231263384,break,50,12.062386,603.119312
1,0.0021413276231263384,breakfast,50,11.224181,561.209067
1,0.0021413276231263384,bring,50,11.928231,596.411545
1,0.0021413276231263384,broken,50,10.974168,548.708417
1,0.0021413276231263384,broom,50,11.146859,557.342942
1,0.0021413276231263384,brother,50,10.428176,521.408808
1,0.0021413276231263384,brown,50,11.413171,570.658562
1,0.0021413276231263384,brush,50,11.503112,575.155588
1,0.0021413276231263384,bubbles,50,11.189425,559.471231
1,0.0021413276231263384,bucket,50,10.596679,529.833968
1,0.0021413276231263384,bug,50,9.857236,492.861779
1,0.0021413276231263384,build,50,11.061906,553.095323
1,0.0021413276231263384,bump,50,10.759483,537.974164
1,0.0021413276231263384,bunny,50,10.474284,523.714178
1,0.0021413276231263384,bus,50,11.409207,570.460334
1,0.0021413276231263384,but,50,11.094911,554.745572
1,0.0021413276231263384,butter,50,10.757408,537.870387
1,0.0021413276231263384,butterfly,50,10.752563,537.628145
1,0.0021413276231263384,button,50,10.289219,514.460962
1,0.0021413276231263384,buy,50,11.641617,582.080870
1,0.0021413276231263384,by,50,11.404709,570.235431
1,0.0021413276231263384,bye,50,11.050839,552.541929
1,0.0021413276231263384,cake,50,10.185238,509.261893
1,0.0021413276231263384,call,50,11.336138,566.806876
1,0.0021413276231263384,camera,50,11.060982,553.049116
1,0.0021413276231263384,camping,31,11.472119,355.635695
1,0.0021413276231263384,can,50,11.059255,552.962762
1,0.0021413276231263384,candy,50,10.952505,547.625246
1,0.0021413276231263384,car,50,11.638331,581.916563
1,0.0021413276231263384,careful,50,10.557667,527.883355
1,0.0021413276231263384,carrots,50,11.349885,567.494230
1,0.0021413276231263384,carry,50,11.160383,558.019175
1,0.0021413276231263384,cat,50,10.243594,512.179697
1,0.0021413276231263384,catch,50,11.971033,598.551636
