step,epoch,word,n_occurrences,mean_nll,sum_nll
1,0.0007127583749109052,a,50,10.889033,544.451647
1,0.0007127583749109052,about,50,10.354167,517.708345
1,0.0007127583749109052,above,50,11.389234,569.461678
1,0.0007127583749109052,after,50,10.426527,521.326332
1,0.0007127583749109052,airplane,50,11.010604,550.530197
1,0.0007127583749109052,all,50,10.594564,529.728206
1,0.0007127583749109052,alligator,50,10.686744,534.337218
1,0.0007127583749109052,am,50,11.131236,556.561804
1,0.0007127583749109052,and,50,9.439293,471.964652
1,0.0007127583749109052,animal,50,11.469317,573.465826
1,0.0007127583749109052,ankle,5,11.030641,55.153205
1,0.0007127583749109052,another,50,10.476467,523.823340
1,0.0007127583749109052,any,50,10.459626,522.981284
1,0.0007127583749109052,apple,50,10.706738,535.336877
1,0.0007127583749109052,are,50,11.046324,552.316191
1,0.0007127583749109052,arm,50,11.452006,572.600313
1,0.0007127583749109052,around,50,10.593905,529.695234
1,0.0007127583749109052,asleep,50,11.585625,579.281225
1,0.0007127583749109052,at,50,10.488974,524.448725
1,0.0007127583749109052,aunt,42,11.164641,468.914937
1,0.0007127583749109052,awake,50,11.572281,578.614056
1,0.0007127583749109052,away,50,11.669822,583.491119
1,0.0007127583749109052,baby,50,9.776978,488.848898
1,0.0007127583749109052,babysitter,11,11.566443,127.230878
1,0.0007127583749109052,back,50,11.660861,583.043030
1,0.0007127583749109052,backyard,19,11.112481,211.137141
1,0.0007127583749109052,bad,50,10.707378,535.368900
1,0.0007127583749109052,ball,50,10.584864,529.243191
1,0.0007127583749109052,balloon,50,11.341533,567.076631
1,0.0007127583749109052,banana,50,11.275797,563.789842
1,0.0007127583749109052,basement,26,11.847864,308.044452
1,0.0007127583749109052,basket,50,10.998578,549.928895
1,0.0007127583749109052,bat,50,11.077713,553.885646
1,0.0007127583749109052,bath,50,11.029999,551.499960
1,0.0007127583749109052,bathroom,50,11.790966,589.548301
1,0.0007127583749109052,bathtub,31,11.010291,341.319017
1,0.0007127583749109052,be,50,11.782303,589.115129
1,0.0007127583749109052,beach,50,11.169645,558.482251
1,0.0007127583749109052,beads,50,11.731666,586.583282
1,0.0007127583749109052,beans,50,10.546306,527.315281
1,0.0007127583749109052,bear,50,11.109167,555.458356
1,0.0007127583749109052,because,50,10.722182,536.109101
1,0.0007127583749109052,bed,50,10.507385,525.369252
1,0.0007127583749109052,bedroom,50,10.746215,537.310729
1,0.0007127583749109052,bee,50,10.174190,508.709492
1,0.0007127583749109052,before,50,10.871602,543.580105
1,0.0007127583749109052,behind,50,10.034094,501.704713
1,0.0007127583749109052,belly,50,11.090586,554.529320
1,0.0007127583749109052,belt,50,11.216342,560.817076
1,0.0007127583749109052,bench,50,11.823802,591.190115
1,0.0007127583749109052,beside,50,10.633625,531.681246
1,0.0007127583749109052,better,50,10.199214,509.960693
1,0.0007127583749109052,bib,50,10.803778,540.188907
1,0.0007127583749109052,bicycle,50,10.933865,546.693242
1,0.0007127583749109052,big,50,10.826326,541.316279
1,0.0007127583749109052,bird,50,11.304074,565.203678
1,0.0007127583749109052,bite,50,10.237586,511.879302
1,0.0007127583749109052,black,50,11.221942,561.097110
1,0.0007127583749109052,blanket,50,11.225454,561.272704
1,0.0007127583749109052,block,50,10.606394,530.319682
1,0.0007127583749109052,blow,50,11.323071,566.153550
1,0.0007127583749109052,blue,50,10.554552,527.727621
1,0.0007127583749109052,boat,50,11.805484,590.274182
1,0.0007127583749109052,book,50,11.487915,574.395754
1,0.0007127583749109052,boots,50,10.347891,517.394526
1,0.0007127583749109052,bottle,50,11.736266,586.813311
1,0.0007127583749109052,bowl,50,11.681790,584.089492
1,0.0007127583749109052,box,50,10.032504,501.625222
1,0.0007127583749109052,boy,50,11.176157,558.807848
1,0.0007127583749109052,bread,50,10.079071,503.953555
1,0.0007127583749109052,break,50,11.157927,557.896361
1,0.0007127583749109052,breakfast,50,10.811702,540.585086
1,0.0007127583749109052,bring,50,10.695315,534.765739
1,0.0007127583749109052,broken,50,10.296333,514.816663
1,0.0007127583749109052,broom,50,11.277952,563.897577
1,0.0007127583749109052,brother,50,11.185351,559.267537
1,0.0007127583749109052,brown,50,11.193857,559.692840
1,0.0007127583749109052,brush,50,10.548028,527.401378
1,0.0007127583749109052,bubbles,50,10.948277,547.413852
1,0.0007127583749109052,bucket,50,10.578473,528.923642
1,0.0007127583749109052,bug,50,11.407277,570.363841
1,0.0007127583749109052,build,50,11.432922,571.646080
1,0.0007127583749109052,bump,50,10.963483,548.174126
1,0.0007127583749109052,bunny,50,10.783339,539.166929
1,0.0007127583749109052,bus,50,10.536315,526.815727
1,0.0007127583749109052,but,50,9.866577,493.328865
1,0.0007127583749109052,butter,50,11.296020,564.801014
1,0.0007127583749109052,butterfly,50,12.017100,600.855007
1,0.0007127583749109052,button,50,11.419985,570.999266
1,0.0007127583749109052,buy,50,11.710374,585.518716
1,0.0007127583749109052,by,50,11.056765,552.838245
1,0.0007127583749109052,bye,50,10.518253,525.912667
1,0.0007127583749109052,cake,50,11.524717,576.235834
1,0.0007127583749109052,call,50,10.831674,541.583687
1,0.0007127583749109052,camera,50,11.401476,570.073825
1,0.0007127583749109052,camping,31,11.210721,347.532351
1,0.0007127583749109052,can,50,9.338170,466.908484
1,0.0007127583749109052,candy,50,11.439968,571.998397
1,0.0007127583749109052,car,50,10.869923,543.496160
1,0.0007127583749109052,careful,50,10.817558,540.877921
1,0.0007127583749109052,carrots,50,10.126619,506.330973
1,0.0007127583749109052,carry,50,11.047318,552.365912
1,0.0007127583749109052,cat,50,11.018857,550.942829
1,0.0007127583749109052,catch,50,10.808117,540.405854
1,0.0007127583749109052,cereal,50,11.048746,552.437319
1,0.0007127583749109052,chair,50,11.201775,560.088751
1,0.0007127583749109052,chalk,40,10.314248,412.569937
1,0.0007127583749109052,chase,49,10.201887,499.892457
1,0.0007127583749109052,cheek,35,11.334570,396.709942
