"dataset","publication","kids","cdi_admins","rt_obs","input_kids","ages","vocab","rt","input"
"adams_marchman_2018","Adams, Marchman et al. (2018)",67,167,440,66,"13--27","Y","Y","Y"
"fernald_marchman_2012","Fernald \& Marchman (2012)",119,382,419,0,"14--30","Y","Y","--"
"fmw_2013","Fernald, Marchman \& Weisleder (2013)",105,181,134,87,"16--30","Y","Y","Y"
"fernald_totlot","Fernald, Perfors \& Marchman (2006)",56,160,125,0,"18--25","Y","Y","--"
"BabyView","BabyView (Long et al.)",22,116,0,22,"9--32","Y","--","Y"
"SEEDLingS","SEEDLingS; LWL from Zhu et al. (submitted)",44,514,256,44,"6--18","Y","Y","Y"
"Total","",413,1520,1374,219,"","","",""
