"","SubNum","Sex","MotherEd","HI","TotalDur_TypDay","FreqAWChr","FreqCVC_TypDay","acc18known_3001800","rtmsec18known_3001800","acc24_300","RT24_D300"
"1",5623,"F",10,19,184.97,843.055630642807,1.57,0.378481983,1733,0.679,830.5
"2",5624,"F",4,8,402.7,257.164142041222,1.35,0.430785756,650,0.543,986.167
"3",5634,"F",12,13,789.86,880.409186438103,1.79,0.619065664,875,0.487,1161.167
"4",5793,"F",9,13.5,253.75,1544.27586206897,2.16,0.663086921,815.6470588,0.743,724.938
"5",5794,"F",11,18,722.25,1424.54828660436,3.49,0.676345122,820.3888889,0.578,635.846
"6",5799,"M",9,16,633.92,1508.9916708733,3.07,0.488156362,1046.6,0.592,933.25
"7",5808,"M",9,21,486.77,1601.78318302278,1.01,0.686751964,866.75,0.703,683.125
"8",5813,"M",9,21,415.56,539.127923765521,1.73,0.529849128,983.2857143,0.715,645.545
"9",5814,"M",9,21,403.15,1211.45975443383,1.95,0.578400508,1220,0.585,933.333
"10",5816,"F",12,27,200.05,437.590602349413,3.97,0.547473731,1196.333333,0.554,913.4
"11",5827,"M",12,22,549.79,906.782589716073,1.91,0.659328156,747.6428571,0.567,702.833
"12",5831,"F",9,18.5,302.47,1598.83624822296,3.31,0.772208719,735.3333333,0.668,670.389
"13",5836,"F",8,15,602.81,1306.68038021931,3,0.48394532,1224.875,0.548,760.438
"14",5853,"F",13,22,265.48,955.552207322585,2.69,0.729803095,806.6,0.662,683.25
"15",5857,"M",12,32,670.78,1312.47204746713,2.76,0.623576924,1166.5,0.644,662.765
"16",5874,"M",12,18,250.15,201.718968618829,1.62,0.550034881,1286.8,0.618,1041.235
"17",5922,"M",12,13,286.75,795.536181342633,2.08,0.532515709,1074,0.711,900.167
"18",5969,"F",13,18,374.61,1929.04620805638,3.14,0.706923089,864.2307692,0.632,711
"19",5972,"F",12,19.5,418.87,1439.44421897009,1.48,0.613595523,820.875,0.734,649.929
"20",5975,"F",12,16,342,561.929824561404,2.05,0.638205999,1000.25,0.433,926.6
"21",5976,"M",7,16,329.5,734.112291350531,2.13,0.396280113,1252.571429,0.594,925.167
"22",6213,"F",9,27,520.72,624.52,2.88,0.236263736,NA,0.49,880.2
"23",6230,"F",13,45,516.69,2874.06,3.5,0.644881471,885.2222222,0.822,597.867
"24",6231,"F",16,22,585.54,884.31,2.32,0.666687543,792.1538462,0.629,761.111
"25",6239,"M",9,18,428.49,1116.85,3.87,0.517299238,1149.75,0.63,654.545
"26",6251,"F",6,17,453.45,705.79,2.08,0.460328106,1187.625,0.617,622.167
"27",6275,"F",6,13,296.71,590.68,2.79,0.558805763,1199.666667,0.514,1027.273
"28",6281,"F",16,50,484.15,1584.8,5.27,0.768260946,823.8571429,0.734,681
"29",6282,"F",16,32.5,362.1,1066.94,3.97,0.648273442,999.875,0.767,719.588
