step,epoch,word,n_occurrences,mean_nll,sum_nll
1,0.00026695141484249865,a,50,12.258291,612.914548
1,0.00026695141484249865,about,50,11.003396,550.169811
1,0.00026695141484249865,above,50,11.016123,550.806133
1,0.00026695141484249865,after,50,10.757499,537.874959
1,0.00026695141484249865,airplane,50,11.204378,560.218887
1,0.00026695141484249865,all,50,11.076806,553.840322
1,0.00026695141484249865,alligator,50,11.446865,572.343257
1,0.00026695141484249865,am,50,11.553974,577.698723
1,0.00026695141484249865,and,50,9.373998,468.699907
1,0.00026695141484249865,animal,50,11.500610,575.030484
1,0.00026695141484249865,ankle,5,11.276464,56.382318
1,0.00026695141484249865,another,50,11.486678,574.333876
1,0.00026695141484249865,any,50,10.654921,532.746052
1,0.00026695141484249865,apple,50,10.195682,509.784108
1,0.00026695141484249865,are,50,10.312481,515.624043
1,0.00026695141484249865,arm,50,10.437020,521.851000
1,0.00026695141484249865,around,50,10.982514,549.125703
1,0.00026695141484249865,asleep,50,11.179671,558.983571
1,0.00026695141484249865,at,50,11.184508,559.225375
1,0.00026695141484249865,aunt,42,11.324302,475.620675
1,0.00026695141484249865,awake,50,10.983797,549.189857
1,0.00026695141484249865,away,50,10.770568,538.528412
1,0.00026695141484249865,baby,50,11.071339,553.566969
1,0.00026695141484249865,babysitter,11,10.972560,120.698163
1,0.00026695141484249865,back,50,10.997728,549.886396
1,0.00026695141484249865,backyard,19,11.008880,209.168714
1,0.00026695141484249865,bad,50,11.295674,564.783707
1,0.00026695141484249865,ball,50,11.396234,569.811707
1,0.00026695141484249865,balloon,50,10.571223,528.561170
1,0.00026695141484249865,banana,50,10.807690,540.384501
1,0.00026695141484249865,basement,26,11.633986,302.483636
1,0.00026695141484249865,basket,50,10.459236,522.961780
1,0.00026695141484249865,bat,50,11.088035,554.401726
1,0.00026695141484249865,bath,50,10.674690,533.734501
1,0.00026695141484249865,bathroom,50,10.416915,520.845765
1,0.00026695141484249865,bathtub,31,11.759268,364.537320
1,0.00026695141484249865,be,50,12.445531,622.276528
1,0.00026695141484249865,beach,50,10.367811,518.390530
1,0.00026695141484249865,beads,50,11.078331,553.916556
1,0.00026695141484249865,beans,50,11.354952,567.747580
1,0.00026695141484249865,bear,50,11.013711,550.685532
1,0.00026695141484249865,because,50,11.423587,571.179355
1,0.00026695141484249865,bed,50,11.052704,552.635200
1,0.00026695141484249865,bedroom,50,10.513160,525.657989
1,0.00026695141484249865,bee,50,10.600346,530.017311
1,0.00026695141484249865,before,50,10.423087,521.154362
1,0.00026695141484249865,behind,50,11.371715,568.585739
1,0.00026695141484249865,belly,50,11.906501,595.325036
1,0.00026695141484249865,belt,50,10.983558,549.177894
1,0.00026695141484249865,bench,50,11.255244,562.762193
1,0.00026695141484249865,beside,50,10.250861,512.543059
1,0.00026695141484249865,better,50,10.950359,547.517954
1,0.00026695141484249865,bib,50,11.568457,578.422831
1,0.00026695141484249865,bicycle,50,10.770665,538.533228
1,0.00026695141484249865,big,50,11.028297,551.414861
1,0.00026695141484249865,bird,50,10.429904,521.495212
1,0.00026695141484249865,bite,50,10.597134,529.856717
1,0.00026695141484249865,black,50,11.667781,583.389033
1,0.00026695141484249865,blanket,50,11.358860,567.942988
1,0.00026695141484249865,block,50,10.682765,534.138267
1,0.00026695141484249865,blow,50,11.467368,573.368408
1,0.00026695141484249865,blue,50,10.137129,506.856465
1,0.00026695141484249865,boat,50,11.197283,559.864149
1,0.00026695141484249865,book,50,10.404441,520.222041
1,0.00026695141484249865,boots,50,11.363930,568.196516
1,0.00026695141484249865,bottle,50,10.615554,530.777680
1,0.00026695141484249865,bowl,50,11.545936,577.296803
1,0.00026695141484249865,box,50,11.821371,591.068563
1,0.00026695141484249865,boy,50,11.379837,568.991851
1,0.00026695141484249865,bread,50,11.208129,560.406465
1,0.00026695141484249865,break,50,11.941531,597.076554
1,0.00026695141484249865,breakfast,50,11.194679,559.733970
1,0.00026695141484249865,bring,50,12.052342,602.617109
1,0.00026695141484249865,broken,50,10.927847,546.392344
1,0.00026695141484249865,broom,50,11.203665,560.183273
1,0.00026695141484249865,brother,50,10.567925,528.396255
1,0.00026695141484249865,brown,50,11.422897,571.144849
1,0.00026695141484249865,brush,50,11.414655,570.732760
1,0.00026695141484249865,bubbles,50,11.169404,558.470178
1,0.00026695141484249865,bucket,50,10.572439,528.621959
1,0.00026695141484249865,bug,50,9.743718,487.185902
1,0.00026695141484249865,build,50,11.096172,554.808618
1,0.00026695141484249865,bump,50,10.779430,538.971493
1,0.00026695141484249865,bunny,50,10.521904,526.095179
