step,epoch,word,n_occurrences,mean_nll,sum_nll
1,0.004219409282700422,a,50,12.258773,612.938649
1,0.004219409282700422,about,50,11.003348,550.167377
1,0.004219409282700422,above,50,11.016440,550.821991
1,0.004219409282700422,after,50,10.757683,537.884171
1,0.004219409282700422,airplane,50,11.204241,560.212051
1,0.004219409282700422,all,50,11.076401,553.820031
1,0.004219409282700422,alligator,50,11.446963,572.348136
1,0.004219409282700422,am,50,11.554961,577.748070
1,0.004219409282700422,and,50,9.372898,468.644921
1,0.004219409282700422,animal,50,11.501133,575.056668
1,0.004219409282700422,ankle,5,11.275893,56.379466
1,0.004219409282700422,another,50,11.487186,574.359310
1,0.004219409282700422,any,50,10.654730,532.736481
1,0.004219409282700422,apple,50,10.195616,509.780811
1,0.004219409282700422,are,50,10.312798,515.639900
1,0.004219409282700422,arm,50,10.436799,521.839954
1,0.004219409282700422,around,50,10.982616,549.130824
1,0.004219409282700422,asleep,50,11.180202,559.010096
1,0.004219409282700422,at,50,11.184671,559.233549
1,0.004219409282700422,aunt,42,11.324451,475.626934
1,0.004219409282700422,awake,50,10.983840,549.192012
1,0.004219409282700422,away,50,10.770479,538.523969
1,0.004219409282700422,baby,50,11.071355,553.567750
1,0.004219409282700422,babysitter,11,10.973918,120.713093
1,0.004219409282700422,back,50,10.997667,549.883359
1,0.004219409282700422,backyard,19,11.009223,209.175233
1,0.004219409282700422,bad,50,11.296031,564.801555
1,0.004219409282700422,ball,50,11.396212,569.810596
1,0.004219409282700422,balloon,50,10.571310,528.565505
1,0.004219409282700422,banana,50,10.807291,540.364555
1,0.004219409282700422,basement,26,11.633746,302.477397
1,0.004219409282700422,basket,50,10.459613,522.980655
1,0.004219409282700422,bat,50,11.087701,554.385049
1,0.004219409282700422,bath,50,10.674698,533.734923
1,0.004219409282700422,bathroom,50,10.417269,520.863452
1,0.004219409282700422,bathtub,31,11.759104,364.532226
1,0.004219409282700422,be,50,12.445197,622.259838
1,0.004219409282700422,beach,50,10.368333,518.416633
1,0.004219409282700422,beads,50,11.078500,553.924980
1,0.004219409282700422,beans,50,11.354810,567.740505
1,0.004219409282700422,bear,50,11.013913,550.695665
1,0.004219409282700422,because,50,11.423096,571.154799
1,0.004219409282700422,bed,50,11.052332,552.616623
1,0.004219409282700422,bedroom,50,10.513114,525.655686
1,0.004219409282700422,bee,50,10.600469,530.023468
1,0.004219409282700422,before,50,10.422943,521.147153
1,0.004219409282700422,behind,50,11.371747,568.587351
