term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,predictor,n,language
(Intercept),0.25835428169637553,0.07166328343137776,3.6051136554992835,3.5280502817906686e-4,0.1174561847003264,0.3992523786924247,xi,sex,389,English
sexMale,-0.3042255796044841,0.09823954231944061,-3.0967731772940166,0.0020989770664365773,-0.49737559869098613,-0.11107556051798209,xi,sex,389,English
(Intercept),0.09815265739240416,0.1433014627567009,0.6849382797930613,0.49482362011536607,-0.1858372063776108,0.3821425211624191,xi,birth_order_2,112,English
birth_order_2Later,-0.28618884291526864,0.2144739906636484,-1.3343755204522119,0.18483654251941878,-0.7112259515328696,0.13884826570233227,xi,birth_order_2,112,English
(Intercept),-0.0778448614039074,0.20884034263553514,-0.3727481980804878,0.7099204340365738,-0.4908667942102027,0.3351770714023879,xi,caregiver_ed_3,138,English
caregiver_ed_3College,0.003940337760241726,0.26843693867671065,0.014678820953874877,0.9883100869305557,-0.5269453227864331,0.5348259983069166,xi,caregiver_ed_3,138,English
caregiver_ed_3Graduate+,-0.22130363232864075,0.25439728142934465,-0.8699135112027713,0.3858917863653113,-0.7244231711621139,0.2818159065048324,xi,caregiver_ed_3,138,English
(Intercept),0.22688592633566587,0.0620679325912291,3.6554452011460654,2.8401891216663213e-4,0.10493863958149219,0.34883321308983956,xi,sex,500,Norwegian
sexMale,-0.448391158766136,0.0872553412541044,-5.138839093647395,3.976716730921457e-7,-0.6198251292001888,-0.2769571883320832,xi,sex,500,Norwegian
(Intercept),0.11801652183950023,0.07131844995275152,1.6547824850047383,0.09864049615788163,-0.022128280462781785,0.2581613241417823,xi,birth_order_2,469,Norwegian
birth_order_2Later,-0.20940368127982148,0.09364915539760023,-2.2360445258771384,0.02582045782050771,-0.3934295873064852,-0.025377775253157764,xi,birth_order_2,469,Norwegian
(Intercept),0.007994402248070864,0.11054202606648812,0.07232002644191125,0.9423763215436359,-0.20919289021489365,0.22518169471103536,xi,caregiver_ed_3,500,Norwegian
caregiver_ed_3College,-0.04824903580734572,0.12695818576345946,-0.3800387940108116,0.7040789693361182,-0.297689955276209,0.20119188366151755,xi,caregiver_ed_3,500,Norwegian
caregiver_ed_3Graduate+,0.052191311046289074,0.13580558137234566,0.384309028530965,0.7009137919784646,-0.21463251667944797,0.31901513877202614,xi,caregiver_ed_3,500,Norwegian
(Intercept),-0.04446643410044046,0.06786831482955381,-0.6551869486094443,0.5127366481289819,-0.17790319485072903,0.08897032664984811,zeta,sex,389,English
sexMale,-0.05364005991459505,0.09303721330646947,-0.576544137644169,0.5645826187484254,-0.23656171347306676,0.12928159364387665,zeta,sex,389,English
(Intercept),-0.3112952724225241,0.12424800147386575,-2.505434845871559,0.01369472476358046,-0.5575256481177631,-0.06506489672728516,zeta,birth_order_2,112,English
birth_order_2Later,0.42309564687444806,0.18595738100263584,2.2752291121396837,0.02483008297430489,0.05457176524716245,0.7916195285017337,zeta,birth_order_2,112,English
(Intercept),-0.5294471671883652,0.18860537953713766,-2.8071689603324037,0.0057386102112993165,-0.9024505697447387,-0.15644376463199167,zeta,caregiver_ed_3,138,English
caregiver_ed_3College,0.5199350141008097,0.24242754087635582,2.144702752093623,0.03376726813087222,0.04048793871953987,0.9993820894820795,zeta,caregiver_ed_3,138,English
caregiver_ed_3Graduate+,0.4441579785664906,0.22974821440957272,1.933238000164341,0.05530013943372945,-0.010213290780827111,0.8985292479138083,zeta,caregiver_ed_3,138,English
(Intercept),0.003583553523820131,0.0636919282053072,0.056263856736582955,0.9551541774198633,-0.12155446072150068,0.12872156776914095,zeta,sex,500,Norwegian
sexMale,-0.007082121588577351,0.08953836061024739,-0.07909594882360202,0.9369880778414333,-0.1830016291505131,0.1688373859733584,zeta,sex,500,Norwegian
(Intercept),-0.034325083888097234,0.07167434928540165,-0.47890332078799125,0.63223156020912,-0.1751692485804313,0.10651908080423683,zeta,birth_order_2,469,Norwegian
birth_order_2Later,0.07005454593444098,0.09411649129639409,0.7443386910145576,0.4570459710226311,-0.11488970166005848,0.25499879352894045,zeta,birth_order_2,469,Norwegian
(Intercept),0.041725632163195955,0.11059926734501936,0.37726861275699936,0.706135036285648,-0.1755741250224057,0.25902538934879765,zeta,caregiver_ed_3,500,Norwegian
caregiver_ed_3College,-0.0717500001978751,0.1270239277181866,-0.56485420886259,0.5724277894744763,-0.32132008608114643,0.1778200856853962,zeta,caregiver_ed_3,500,Norwegian
caregiver_ed_3Graduate+,-0.015050099569838514,0.13587590471800928,-0.11076356474735392,0.9118485524616602,-0.2820120949914746,0.25191189585179763,zeta,caregiver_ed_3,500,Norwegian
