Parameter,EN M_best (I=500),NO M_best (I=500),BabyView (IO),SEEDLingS (IO),Peekbank (proc)
I (kids),500,500,20,44,62
J (items),671,674,200,200,200
N (obs),1106805,2056872,16459,102800,20600
delta,"10.31 [10.25, 10.37]","11.47 [11.40, 11.53]","6.42 [5.98, 6.87]","8.19 [7.82, 8.57]","2.51 [1.60, 3.38]"
sigma_alpha,"1.81 [1.69, 1.94]","2.05 [1.93, 2.18]","1.13 [0.82, 1.56]","1.39 [1.12, 1.74]","1.67 [1.35, 2.03]"
sigma_zeta,"3.81 [3.58, 4.07]","4.79 [4.49, 5.13]","2.57 [1.92, 3.39]","3.97 [3.32, 4.70]","6.42 [5.34, 7.54]"
pi_alpha,"0.92 [0.91, 0.93]","0.94 [0.93, 0.94]","0.83 [0.66, 0.93]","0.94 [0.89, 0.97]","0.90 [0.86, 0.94]"
"rho(xi, zeta)","-0.09 [-0.18, -0.01]","-0.13 [-0.21, -0.04]",--,--,--
mu_r,--,--,"6.40 [5.69, 7.10]","7.00 [6.97, 7.03]",--
sigma_r,--,--,"0.49 [0.36, 0.70]","0.35 [0.28, 0.45]",--
gamma_rt,--,--,--,--,"0.08 [0.04, 0.12]"
