term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,n,language
(Intercept),0.38236718683942433,0.2735970559432365,1.3975559258896209,0.16513743614681234,-0.16000706699147588,0.9247414406703245,xi,112,English
sexMale,-0.41250945374144815,0.2153654105372791,-1.9153932505333489,0.05811186226739577,-0.8394462621016108,0.014427354618714416,xi,112,English
birth_order_2Later,-0.29798106035410915,0.21408111833086196,-1.3919072484177701,0.16683702105072457,-0.7223719092018241,0.1264097884936058,xi,112,English
caregiver_ed_3College,-0.09481240496343744,0.27695162963462505,-0.34234283108758357,0.7327644527262693,-0.6438367098941752,0.45421189996730027,xi,112,English
caregiver_ed_3Graduate+,-0.018211380315326518,0.27775882603956775,-0.06556544241993678,0.9478461477064248,-0.5688358579756881,0.5324130973450351,xi,112,English
(Intercept),0.3392527311239766,0.13664454898340067,2.4827388552849508,0.013390140324094992,0.07073392530884998,0.6077715369391032,xi,469,Norwegian
sexMale,-0.45993685937787865,0.09027341173166613,-5.094931614471617,5.085477098073231e-7,-0.637332217592928,-0.2825415011628293,xi,469,Norwegian
birth_order_2Later,-0.2034735122043742,0.09216948276134579,-2.2076017582872596,0.027760614079584602,-0.38459482020972285,-0.02235220419902556,xi,469,Norwegian
caregiver_ed_3College,-0.025278789409226874,0.12871672080072827,-0.1963908748760157,0.8443902230607108,-0.2782187011363259,0.22766112231787214,xi,469,Norwegian
caregiver_ed_3Graduate+,0.07864878096607306,0.13821607707827385,0.5690277327255718,0.5696126473493792,-0.19295821863709497,0.3502557805692411,xi,469,Norwegian
(Intercept),-0.5972281491616414,0.2343328502282067,-2.54863177988074,0.0122332591106224,-1.0617656945399092,-0.13269060378337355,zeta,112,English
sexMale,-0.15684901884529773,0.18445809044903963,-0.8503233361218738,0.3970441020305543,-0.5225156698458373,0.2088176321552419,zeta,112,English
birth_order_2Later,0.4175016276136217,0.18335810838885971,2.2769739025023004,0.02477696024048731,0.05401556275667435,0.780987692470569,zeta,112,English
caregiver_ed_3College,0.48259114919691976,0.23720600546627596,2.0344811601556634,0.04437618842617032,0.012357908654770211,0.9528243897390694,zeta,112,English
caregiver_ed_3Graduate+,0.5140738321060476,0.23789736025301542,2.160905995591145,0.03293289168000143,0.0424700613317745,0.9856776028803207,zeta,112,English
(Intercept),0.004003799242139326,0.1411678655970924,0.028361973351404068,0.9773856471275446,-0.27340372979296557,0.28141132827724424,zeta,469,Norwegian
sexMale,-0.018715799510025985,0.09326171405399356,-0.20068041532231046,0.8410364067820828,-0.20198344005888003,0.16455184103882808,zeta,469,Norwegian
birth_order_2Later,0.06681915469188723,0.09522055033595071,0.7017303980720591,0.4831991301485796,-0.1202977750026493,0.2539360843864238,zeta,469,Norwegian
caregiver_ed_3College,-0.05605730668320461,0.13297760413628365,-0.42155449443767706,0.6735454492341985,-0.3173702366791838,0.20525562331277455,zeta,469,Norwegian
caregiver_ed_3Graduate+,0.0073802077196743684,0.14279141566571651,0.051685233914564505,0.9588017459482503,-0.27321774295208856,0.28797815839143726,zeta,469,Norwegian
