short,item_definition,status
Talk_baabaa,baa baa,manual_disambig
Talk_choochoo,choo choo,manual_disambig
Talk_cockadoodledoo,cock-a-doodle-doo,manual_disambig
Talk_grr,grrr,manual_disambig
Talk_meow,meow,auto_exact
Talk_moo,moo,auto_exact
Talk_ouch,ouch,auto_exact
Talk_quackquack,quack quack,manual_disambig
Talk_uhoh,uh oh,manual_disambig
Talk_vroom,vroom,auto_exact
Talk_woofwoof,woof woof,manual_disambig
Talk_yumyum,yum yum,manual_disambig
Talk_animal,animal,auto_exact
Talk_bear,bear,auto_exact
Talk_bee,bee,auto_exact
Talk_bird,bird,auto_exact
Talk_bug,bug,auto_exact
Talk_bunny,bunny,auto_exact
Talk_butterfly,butterfly,auto_exact
Talk_cat,cat,auto_exact
Talk_chicken_animal,chicken (animal),manual_disambig
Talk_cow,cow,auto_exact
Talk_deer,deer,auto_exact
Talk_dog,dog,auto_exact
Talk_donkey,donkey,auto_exact
Talk_duck,duck,auto_exact
Talk_elephant,elephant,auto_exact
Talk_fish_animal,fish (animal),manual_disambig
Talk_frog,frog,auto_exact
Talk_giraffe,giraffe,auto_exact
Talk_goose,goose,auto_exact
Talk_horse,horse,auto_exact
Talk_kitty,kitty,auto_exact
Talk_lamb,lamb,auto_exact
Talk_lion,lion,auto_exact
Talk_monkey,monkey,auto_exact
Talk_mouse,mouse,auto_exact
Talk_owl,owl,auto_exact
Talk_penguin,penguin,auto_exact
Talk_pig,pig,auto_exact
Talk_pony,pony,auto_exact
Talk_puppy,puppy,auto_exact
Talk_sheep,sheep,auto_exact
Talk_squirrel,squirrel,auto_exact
Talk_teddybear,teddy bear,manual_disambig
Talk_tiger,tiger,auto_exact
Talk_turkey,turkey,auto_exact
Talk_turtle,turtle,auto_exact
Talk_airplane,airplane,auto_exact
Talk_bicycle,bicycle,auto_exact
Talk_bus,bus,auto_exact
Talk_car,car,auto_exact
Talk_firetruck,fire truck,manual_disambig
Talk_motorcycle,motorcycle,auto_exact
Talk_stroller,stroller,auto_exact
Talk_train,train,auto_exact
Talk_truck,truck,auto_exact
Talk_ball,ball,auto_exact
Talk_balloon,balloon,auto_exact
Talk_block,block,auto_exact
Talk_book,book,auto_exact
Talk_bubbles,bubbles,auto_exact
Talk_doll,doll,auto_exact
Talk_pen,pen,auto_exact
Talk_toy,toy (object),manual_disambig
Talk_apple,apple,auto_exact
Talk_banana,banana,auto_exact
Talk_bread,bread,auto_exact
Talk_butter,butter,auto_exact
Talk_cake,cake,auto_exact
Talk_candy,candy,auto_exact
Talk_carrots,carrots,auto_exact
Talk_cereal,cereal,auto_exact
Talk_cheerios,cheerios,auto_exact
Talk_cheese,cheese,auto_exact
Talk_chicken_food,chicken (food),manual_disambig
Talk_coffee,coffee,auto_exact
Talk_cookie,cookie,auto_exact
Talk_cracker,cracker,auto_exact
Talk_drink_beverage,drink (beverage),manual_disambig
Talk_egg,egg,auto_exact
Talk_fish_food,fish (food),manual_disambig
Talk_food,food,auto_exact
Talk_icecream,ice cream,manual_disambig
Talk_juice,juice,auto_exact
Talk_meat,meat,auto_exact
Talk_milk,milk,auto_exact
Talk_noodles,noodles,auto_exact
Talk_orange,orange (food),manual_disambig
Talk_peas,peas,auto_exact
Talk_pizza,pizza,auto_exact
Talk_raisin,raisin,auto_exact
Talk_spaghetti,spaghetti,auto_exact
Talk_toast,toast,auto_exact
Talk_water_food,water (beverage),manual_disambig
Talk_beads,beads,auto_exact
Talk_bib,bib,auto_exact
Talk_boots,boots,auto_exact
Talk_button,button,auto_exact
Talk_coat,coat,auto_exact
Talk_diaper,diaper,auto_exact
Talk_dress,dress (object),manual_disambig
Talk_hat,hat,auto_exact
Talk_jacket,jacket,auto_exact
Talk_jeans,jeans,auto_exact
Talk_necklace,necklace,auto_exact
Talk_pajamas,pajamas,auto_exact
Talk_pants,pants,auto_exact
Talk_shirt,shirt,auto_exact
Talk_shoe,shoe,auto_exact
Talk_shorts,shorts,auto_exact
Talk_sock,sock,auto_exact
Talk_sweater,sweater,auto_exact
Talk_zipper,zipper,auto_exact
Talk_arm,arm,auto_exact
Talk_bellybutton,belly button,manual_disambig
Talk_cheek,cheek,auto_exact
Talk_ear,ear,auto_exact
Talk_eye,eye,auto_exact
Talk_face,face,auto_exact
Talk_foot,foot,auto_exact
Talk_finger,finger,auto_exact
Talk_hair,hair,auto_exact
Talk_hand,hand,auto_exact
Talk_head,head,auto_exact
Talk_knee,knee,auto_exact
Talk_leg,leg,auto_exact
Talk_mouth,mouth,auto_exact
Talk_nose,nose,auto_exact
