subj_month,subj,month,duration,duration_hrs,awc_perhr,cvc_perhr,ctc_perhr,awc_outlier,ctc_outlier,cvc_outlier
01_06,01,6,57600,16,881.0625,75.8125,23.5625,FALSE,FALSE,FALSE
01_07,01,7,57600,16,874.3125,54.0625,18.375,FALSE,FALSE,FALSE
01_08,01,8,57600,16,889.1875,76,18.375,FALSE,FALSE,FALSE
01_09,01,9,57600,16,886.125,88.4375,19.3125,FALSE,FALSE,FALSE
01_10,01,10,57600,16,1585.5625,111.4375,34.75,FALSE,FALSE,FALSE
01_11,01,11,57600,16,1348.5625,116.5625,34.75,FALSE,FALSE,FALSE
01_12,01,12,57600,16,1931,118.4375,37.9375,FALSE,FALSE,FALSE
01_13,01,13,57600,16,1108.25,165.4375,40.8125,FALSE,FALSE,FALSE
01_14,01,14,57600,16,947.1875,133.75,30,FALSE,FALSE,FALSE
01_15,01,15,57600,16,1564.875,206,64.625,FALSE,FALSE,FALSE
01_16,01,16,57600,16,896.5625,162,30.4375,FALSE,FALSE,FALSE
01_17,01,17,57600,16,773.3125,144.6875,26.4375,FALSE,FALSE,FALSE
02_06,02,6,57600,16,1320.8125,66.5,23.3125,FALSE,FALSE,FALSE
02_07,02,7,57600,16,1334.4375,75.6875,30.5,FALSE,FALSE,FALSE
02_08,02,8,57600,16,1257.1875,116.5,35.9375,FALSE,FALSE,FALSE
02_09,02,9,57600,16,1652.875,126.6875,40.875,FALSE,FALSE,FALSE
02_10,02,10,57600,16,987.5,85.3125,18.125,FALSE,FALSE,FALSE
02_11,02,11,57600,16,1391.4375,111.75,31.125,FALSE,FALSE,FALSE
02_12,02,12,57600,16,870.625,47.9375,17.375,FALSE,FALSE,FALSE
02_13,02,13,57600,16,969.625,83,28.9375,FALSE,FALSE,FALSE
02_14,02,14,57600,16,838.3125,53.3125,16.5,FALSE,FALSE,FALSE
02_15,02,15,57600,16,1186.625,68.0625,26.0625,FALSE,FALSE,FALSE
02_16,02,16,57600,16,1170.75,91.3125,30.5625,FALSE,FALSE,FALSE
02_17,02,17,57600,16,632.6875,88.875,20.875,FALSE,FALSE,FALSE
03_06,03,6,57600,16,1211.9375,76.0625,23.375,FALSE,FALSE,FALSE
03_07,03,7,57600,16,842.3125,45.6875,10.8125,FALSE,FALSE,FALSE
03_08,03,8,57600,16,690.125,38.6875,8.625,FALSE,FALSE,FALSE
03_09,03,9,57600,16,911.3125,55.1875,16.4375,FALSE,FALSE,FALSE
03_10,03,10,57600,16,957.875,54.0625,13.5625,FALSE,FALSE,FALSE
03_11,03,11,57600,16,1449.875,80.8125,20.5,FALSE,FALSE,FALSE
03_12,03,12,57600,16,920.25,42.9375,10.4375,FALSE,FALSE,FALSE
03_13,03,13,57600,16,670.5,129.5,16.9375,FALSE,FALSE,FALSE
03_14,03,14,57600,16,863.375,119.0625,21.8125,FALSE,FALSE,FALSE
03_15,03,15,57600,16,577.4375,123.875,19.3125,FALSE,FALSE,FALSE
03_16,03,16,57600,16,746.9375,120.75,22.125,FALSE,FALSE,FALSE
03_17,03,17,57600,16,1241.75,123.5625,29.9375,FALSE,FALSE,FALSE
04_06,04,6,42691,11.858611111111111,1730.0508303857955,113.5883441474784,42.33210746995854,FALSE,FALSE,FALSE
04_07,04,7,44725,12.42361111111111,1779.9977641140301,72.92565679150364,30.506428172163222,FALSE,FALSE,FALSE
04_08,04,8,48146,13.373888888888889,1758.3516803057366,145.6569600797574,48.826486104764676,FALSE,FALSE,FALSE
04_09,04,9,38565,10.7125,2147.6779463243874,214.98249708284715,74.49241540256709,FALSE,TRUE,FALSE
04_10,04,10,46409,12.891388888888889,1662.7378310241547,162.43401064448707,54.29981253636148,FALSE,FALSE,FALSE
04_11,04,11,35311,9.80861111111111,1971.5329500722155,177.19124352184872,63.515618362549915,FALSE,FALSE,FALSE
