dataset_name,lab_subject_id,lwl_age,cdi_age,cdi_age_diff,n_produces
adams_marchman_2018,11003,17,21,4,236
adams_marchman_2018,11003,17,21,4,236
adams_marchman_2018,11003,19,21,2,236
adams_marchman_2018,11003,19,21,2,236
adams_marchman_2018,11009,16,22,6,359
adams_marchman_2018,11009,16,22,6,359
adams_marchman_2018,11009,18,22,4,359
adams_marchman_2018,11009,18,22,4,359
adams_marchman_2018,11011,15,21,6,94
adams_marchman_2018,11011,16,21,5,94
adams_marchman_2018,11011,18,21,3,94
adams_marchman_2018,11011,18,21,3,94
adams_marchman_2018,11014,15,21,6,236
adams_marchman_2018,11014,15,21,6,236
adams_marchman_2018,11014,17,21,4,236
adams_marchman_2018,11014,17,21,4,236
adams_marchman_2018,11035,15,23,8,333
adams_marchman_2018,11035,16,23,7,333
adams_marchman_2018,11035,19,23,4,333
adams_marchman_2018,11035,19,23,4,333
adams_marchman_2018,11036,16,21,5,447
adams_marchman_2018,11036,16,21,5,447
adams_marchman_2018,11036,18,21,3,447
adams_marchman_2018,11036,19,21,2,447
adams_marchman_2018,11037,15,21,6,381
adams_marchman_2018,11037,15,21,6,381
adams_marchman_2018,11037,18,21,3,381
adams_marchman_2018,11037,18,21,3,381
adams_marchman_2018,11070,15,22,7,264
adams_marchman_2018,11070,16,22,6,264
adams_marchman_2018,11070,19,22,3,264
adams_marchman_2018,11070,19,22,3,264
adams_marchman_2018,11136,17,24,7,165
adams_marchman_2018,11136,17,24,7,165
adams_marchman_2018,11136,19,24,5,165
adams_marchman_2018,11136,19,24,5,165
adams_marchman_2018,11141,16,24,8,259
adams_marchman_2018,11141,16,24,8,259
adams_marchman_2018,11141,18,24,6,259
adams_marchman_2018,11141,18,24,6,259
adams_marchman_2018,11200,15,22,7,286
adams_marchman_2018,11200,16,22,6,286
adams_marchman_2018,11200,17,22,5,286
adams_marchman_2018,11200,18,22,4,286
adams_marchman_2018,11327,15,21,6,95
adams_marchman_2018,11327,16,21,5,95
adams_marchman_2018,11327,18,21,3,95
adams_marchman_2018,11327,18,21,3,95
adams_marchman_2018,11417,16,21,5,59
adams_marchman_2018,11417,16,21,5,59
adams_marchman_2018,11417,18,21,3,59
adams_marchman_2018,11417,18,21,3,59
adams_marchman_2018,11611,16,22,6,44
adams_marchman_2018,11611,16,22,6,44
adams_marchman_2018,11611,18,22,4,44
adams_marchman_2018,11611,19,22,3,44
adams_marchman_2018,11655,16,21,5,249
adams_marchman_2018,11655,16,21,5,249
adams_marchman_2018,11655,18,21,3,249
adams_marchman_2018,11655,19,21,2,249
adams_marchman_2018,11743,16,22,6,43
adams_marchman_2018,11743,16,22,6,43
adams_marchman_2018,11743,18,22,4,43
adams_marchman_2018,11743,18,22,4,43
adams_marchman_2018,12095,16,23,7,210
adams_marchman_2018,12095,16,23,7,210
adams_marchman_2018,12095,19,23,4,210
adams_marchman_2018,12095,19,23,4,210
adams_marchman_2018,12297,16,22,6,289
adams_marchman_2018,12297,16,22,6,289
adams_marchman_2018,12297,18,22,4,289
adams_marchman_2018,12297,18,22,4,289
adams_marchman_2018,12316,15,23,8,414
adams_marchman_2018,12316,15,23,8,414
adams_marchman_2018,12316,18,23,5,414
adams_marchman_2018,12316,18,23,5,414
adams_marchman_2018,12390,16,23,7,37
adams_marchman_2018,12390,16,23,7,37
adams_marchman_2018,12390,18,23,5,37
adams_marchman_2018,12390,18,23,5,37
adams_marchman_2018,12398,16,21,5,317
adams_marchman_2018,12398,16,21,5,317
adams_marchman_2018,12398,18,21,3,317
