"jj","delta_j"
1,11.389273
2,9.83725795
3,8.2067396
4,5.64274775
5,8.84808045
6,11.2524925
7,9.37261585
8,10.557754
9,8.2419165
10,0.17754863
11,9.10064235
12,7.0898636
13,3.44498805
14,5.21935635
15,10.531346
16,4.9534442
17,9.22622525
18,6.2316893
19,5.6962145
20,3.78911765
21,4.18263915
22,5.91207595
23,6.17827855
24,6.42336635
25,2.55499505
26,8.86673575
27,2.23867155
28,5.4277434
29,5.9899949
30,5.33289895
31,3.7747717
32,5.75246705
33,2.15480105
34,5.3231472
35,3.4042446
36,0.755272015
37,5.76290435
38,10.4274825
39,6.56490835
40,2.87107095
41,4.60866925
42,4.8885835
43,5.0895246
44,8.61588395
45,6.02841175
46,5.3263385
47,6.213034
48,5.4264942
49,6.68012125
50,5.4874208
51,5.01181605
52,5.063631
53,5.8787014
54,6.43216905
55,6.31365065
56,8.05201615
57,8.2297964
58,6.0236807
59,6.76090925
60,6.2621756
61,7.7351884
62,5.11488135
63,7.3563202
64,5.1936672
65,5.26590875
66,8.6067476
67,3.48829155
68,4.2958607
69,3.7336237
70,10.7268265
71,5.67542835
72,5.5857329
73,5.80494385
74,4.4689797
75,5.69199035
76,7.6715109
77,3.00798705
78,2.78591215
79,6.4934321
80,6.6459975
81,-1.31042765
82,5.0309424
83,6.0693768
84,9.72541365
85,5.58521075
86,5.32849895
87,6.23375525
88,10.2367525
89,9.6879859
90,6.2736559
91,3.59855485
92,5.46641105
93,7.1423304
94,10.680181
95,10.5347175
96,11.193301
97,5.7420022
98,9.3748359
99,11.5819035
100,11.2971815
101,5.2218423
102,5.83593975
103,8.8891117
104,7.64598865
105,4.9399444
106,5.1025892
107,5.7118222
108,5.9619457
109,8.65683175
110,2.59466925
111,2.6396945
112,6.53089015
113,7.46143445
114,5.28752825
115,8.89318555
116,6.9510576
117,5.6726762
118,6.97858995
119,7.85283255
120,2.7261191
121,2.3281604
122,5.75552795
123,6.5875034
124,3.31013995
125,4.0262634
126,11.700589
127,8.73478285
128,5.7670192
129,9.3167804
130,7.9665203
131,5.5891665
132,4.1134889
133,5.98747955
134,2.9148577
135,7.86953595
136,7.85092535
137,8.1674356
138,5.44388805
139,4.27213515
140,5.8475174
141,4.83132095
142,5.2963099
143,5.4460555
144,6.1574846
145,3.657918
146,7.74170675
147,4.49528095
148,6.2910018
149,5.50037865
150,3.70215645
151,8.19062645
152,6.31966455
153,6.0360551
154,5.4384018
155,4.1036995
156,5.3801364
157,4.51004265
158,4.9570475
159,4.0622431
160,5.06723105
161,6.95023445
162,5.44140615
163,6.3367096
164,4.0233195
165,6.00567215
166,5.38861
167,9.6632796
168,10.9088055
169,9.66967955
170,6.82211665
171,9.8876527
172,4.90280255
173,9.00587675
174,9.1037434
175,2.90880045
176,6.93208615
177,4.59936665
178,4.3957151
179,6.9933418
180,3.6638034
181,6.31059445
182,5.4017169
183,3.9849295
184,2.9929295
185,7.95307205
186,6.17958215
187,3.65940085
188,11.0543545
189,5.232088
190,10.4597595
191,10.4784805
192,9.79258715
193,9.9002042
194,10.5084795
195,6.37639235
196,-0.303662025
197,6.07375555
198,7.6304644
199,8.4424231
200,6.66610325
