"jj","delta_j_mean","delta_j_median"
1,16.698729931,16.69695
2,17.977100775,17.9765425
3,19.846079209,19.8402885
4,19.1705685245,19.1673055
5,13.79465775575,13.79542
6,19.84561669925,19.8438315
7,17.22719891375,17.227162
8,15.054301145,15.053563
9,17.412192861,17.412457
10,18.19019814975,18.1882305
11,16.38552908225,16.387134
12,18.84871884375,18.8503095
13,15.3595611515,15.3591525
14,17.0194318155,17.0181625
15,10.32523627235,10.327005
16,12.63494977975,12.635567
17,18.7021449035,18.7029795
18,19.0734333605,19.0712695
19,17.863370113,17.860606
20,19.26613160675,19.267423
21,14.26561872775,14.264179
22,12.42758747575,12.4289575
23,15.85419884125,15.855401
24,14.40842670525,14.405732
25,15.54070448925,15.5428095
26,14.50993861425,14.508607
27,13.421407489,13.4232215
28,15.1401502925,15.1389065
29,17.066723934,17.066138
30,14.26596381725,14.264523
31,14.83075859375,14.8303525
32,17.933075582,17.933741
33,10.29338137195,10.294003
34,17.124047383,17.1238495
35,16.488900357,16.4887635
36,16.24062245375,16.2389385
37,14.0893949985,14.087427
38,18.934261814,18.931045
39,13.58209542725,13.580785
40,12.80949384175,12.810879
41,17.041932168,17.042099
42,18.956721287,18.9567465
43,14.8039548195,14.803777
44,16.0273598835,16.026474
45,17.5810803515,17.579339
46,12.86906144775,12.870451
47,18.81456298175,18.8103375
48,16.832013987,16.831859
49,16.33481059575,16.332546
50,17.5775978935,17.576508
51,15.807720335,15.806749
52,16.0260080985,16.023535
53,18.95567594575,18.953868
54,16.90747533325,16.905637
55,15.967615183,15.967201
56,17.13178836575,17.132199
57,14.48233121775,14.483611
58,12.72003578375,12.7185175
59,13.75658846525,13.754772
60,19.1385446715,19.135527
61,17.620502326,17.622615
62,17.5978907855,17.598803
63,14.8035920045,14.8045565
64,15.552313778,15.5509645
65,16.130581637,16.1322005
66,17.906846063,17.907808
67,15.821427634,15.822364
68,12.46085568175,12.4603395
69,17.620494011,17.6211505
70,12.8570772565,12.8571485
71,14.304502662,14.3035645
72,18.34938552125,18.3477545
73,12.5591196935,12.5623795
74,14.898488083,14.897721
75,14.4298752245,14.4273335
76,15.5400608865,15.540111
77,17.496301331,17.4933915
78,19.8838655645,19.884652
79,18.71367952275,18.5599775
80,15.49918839575,15.4979715
81,19.07656997525,19.07748
82,17.347238603,17.345735
83,17.79413581825,17.7931695
84,14.73521376275,14.7345725
85,17.413690807,17.4130235
86,18.985420079,18.98335
87,17.2687939415,17.2695475
88,16.92882978525,16.9265115
89,16.79374875475,16.793317
90,16.097186695,16.0972295
91,17.7111311065,17.7105115
92,17.97629400425,17.9735985
93,16.9295609765,16.9310715
94,16.3704066265,16.3699715
95,16.70002357025,16.70002
96,9.4504236231,9.4516097
97,13.072686421,13.071949
98,15.09511626125,15.094377
99,16.5850250235,16.582311
100,14.9700227295,14.9699515
101,17.18293331675,17.180458
102,17.410378286,17.410795
103,12.54701575925,12.5467525
104,11.15754237,11.156769
105,18.39471171475,18.39421
106,12.34015232975,12.3414495
107,16.99955646975,16.9979795
108,16.368752653,16.3681525
109,17.748190123,17.745351
110,13.7439572845,13.743121
111,15.22713581175,15.2264025
112,14.6658684165,14.665445
113,16.58055737075,16.579646
114,16.927694473,16.9250155
115,12.97609755025,12.978158
116,17.92879989225,17.9277175
117,17.15398461125,17.151452
118,17.4721644095,17.470683
119,14.07103501925,14.0696795
120,16.2484854185,16.2488115
121,12.545707255,12.5452825
122,16.7966474585,16.797544
123,17.25429892225,17.2525735
124,14.89654388825,14.8964975
125,16.3663117745,16.366607
126,16.83661896275,16.8360875
127,15.37364041475,15.373171
128,16.38656098625,16.3870385
129,17.798408337,17.798637
130,14.94133695125,14.9410965
131,16.60637660025,16.6055715
132,14.509188201,14.508904
133,14.84391610775,14.8415945
134,16.91037977675,16.9074075
135,17.42944355125,17.4281695
136,19.399457272,19.3947695
137,16.24325289225,16.242889
138,17.37006531,17.3693685
139,16.6820710045,16.681833
140,16.42222851425,16.419399
141,14.78964681775,14.789402
142,15.74266112425,15.744324
143,15.12207777425,15.1222965
144,15.801852715,15.8031945
145,15.083376969,15.0811535
146,16.87086089,16.8699435
147,17.08491450275,17.0849535
148,17.327397591,17.325746
149,14.3562462315,14.355884
150,14.64369285425,14.640309
151,19.3357643705,19.33667
152,15.935436228,15.9336335
153,17.43139153125,17.433116
154,18.2147368455,18.2122135
155,16.300441746,16.2998225
156,14.9287349865,14.928779
157,15.71053300125,15.7109035
158,14.8713446375,14.869375
159,18.5404700125,18.5380965
160,16.296358759,16.2970975
161,17.043843236,17.041317
162,13.9501981205,13.951188
163,16.4035284885,16.403767
164,15.351440434,15.3515405
165,14.0580380225,14.057864
166,15.6174847335,15.6164985
167,13.187811032,13.1880075
168,17.5130219705,17.513611
169,16.6812505775,16.680125
170,10.57934878425,10.580861
171,16.526820765,16.527824
172,13.276845558,13.27495
173,19.439609606,19.436682
174,15.85353582975,15.852837
175,12.30624444725,12.3080795
176,16.1813262685,16.180248
177,16.85162545225,16.8487095
178,15.91733208575,15.917638
179,15.47942910825,15.479482
180,18.59432538575,18.5910955
181,19.542840912,19.542964
182,15.241599867,15.2429645
183,19.14433235,19.14249
184,19.647561202,19.6437375
185,16.423944975,16.424166
186,18.78717239025,18.784977
187,16.87358210025,16.872613
188,17.14657673125,17.147385
189,19.04292884275,19.0406405
190,15.88702556875,15.886122
191,20.328181989,20.3241145
192,14.995691506,14.996896
193,12.58836472125,12.587024
194,19.40160049275,19.4003805
195,15.43356806675,15.434443
196,17.70469759475,17.706701
197,12.228181064,12.225525
198,15.9852736465,15.984705
