"jj","delta_j_mean","delta_j_median"
1,15.82550071625,15.8181165
2,16.64100224025,16.6254635
3,17.86981492825,17.843408
4,14.80732056375,14.8075925
5,16.01602486575,16.008999
6,15.48706441975,15.4815265
7,14.3373098495,14.330678
8,17.495448521,17.4848075
9,17.874115325,17.85166
10,14.7232083305,14.711794
11,16.22438433575,16.207827
12,10.00039160775,9.9957718
13,15.0639646985,15.065771
14,18.9792650465,18.932878
15,17.8719517095,17.850892
16,13.28694620275,13.288485
17,19.9569806105,19.853034
18,14.222462736,14.2194445
19,11.489325701625,11.49072
20,13.96206657275,13.965436
21,14.97496236775,14.9693395
22,14.0674329185,14.0665695
23,13.176369935,13.1672285
24,12.75181440625,12.739257
25,12.46987815575,12.4636085
26,14.11246797325,14.1068215
27,15.74352249225,15.73335
28,15.951396109,15.929936
29,14.8303677325,14.825814
30,16.06600857875,16.0488875
31,13.01031542325,13.003264
32,19.00818418825,18.924216
33,16.23867704825,16.228019
34,18.33062054575,18.301957
35,9.354164313025,9.351029
36,17.83034123625,17.8109105
37,16.41861459575,16.3979875
38,14.0011812735,14.0160735
39,15.1027202245,15.1060375
40,15.43812288975,15.433195
41,16.8465819665,16.837009
42,13.769851061,13.7795435
43,20.412905534,20.2262215
44,14.0735114255,14.0610245
45,14.97972162225,14.9867775
46,14.23235572325,14.223587
47,19.9851013605,19.857226
48,19.0482389785,18.950634
49,12.38795970975,12.3941345
50,15.54256371675,15.546838
51,9.248797360825,9.248038
52,14.069016899,14.0616955
53,17.82864498825,17.7958705
54,14.18575879975,14.1853565
55,14.94511927475,14.9499575
56,17.87254011825,17.846064
57,16.36602090425,16.3629845
58,19.039536754,18.9720165
59,15.7121283725,15.7035445
60,16.4410695595,16.439161
61,14.17743643125,14.1722475
62,16.08226980425,16.074642
63,14.828212394,14.8211825
64,16.56989967025,16.5572745
65,18.97031902425,18.893707
66,14.80319999625,14.812702
67,13.58463664975,13.584214
68,18.31740007825,18.273051
69,14.8021848625,14.805511
70,15.21323107475,15.206087
71,11.453842947375,11.451521
72,13.73195123475,13.7418325
73,12.3641213495,12.370457
74,16.0880038795,16.086947
75,13.0084362835,12.9931455
76,10.999170617225,11.0039665
77,15.7044096115,15.7048935
78,12.4528667345,12.4424115
79,17.4953157465,17.4814735
80,9.452878802225,9.45684145
81,12.239253615,12.2406885
82,14.290745707,14.2868995
83,14.19289391925,14.195721
84,18.97151106325,18.9010855
85,13.57958938,13.579638
86,16.0649508945,16.0465305
87,16.0937045135,16.092067
88,16.70446818425,16.695945
89,14.47219044575,14.4787205
90,16.05277723225,16.0339455
91,17.8180608005,17.7999545
92,14.58872692,14.5883485
93,15.2183925025,15.2174845
94,13.34624312,13.34637
95,9.24461830765,9.2513399
96,11.448274953525,11.460905
97,13.004094376,13.003672
98,15.935634985,15.919102
99,17.89496122575,17.881498
100,14.013883548,13.995984
101,15.36737521875,15.375847
102,17.872706849,17.847234
103,19.003700382,18.924698
104,12.91394054,12.911795
105,16.23449423525,16.222104
106,19.060937618,19.002255
107,13.9663842325,13.963986
108,14.426616845,14.4202075
109,16.63331601625,16.627388
110,13.3651929435,13.3591625
111,17.50873101425,17.48599
112,13.2598165685,13.2595535
113,15.530740747,15.515437
114,13.1907910485,13.1975835
115,14.0012060915,14.0015275
116,12.44421254175,12.44271
117,15.87776673,15.875032
118,17.5748142305,17.5666775
119,15.7786812475,15.7850855
120,17.45240873575,17.4332885
121,16.867736836,16.8586575
122,15.1109216385,15.107419
123,13.45295673525,13.46373
124,14.78198569275,14.7763205
125,11.7717561245,11.765791
126,17.44631546325,17.429694
