"jj","delta_j_mean","delta_j_median"
1,20.86509219325,20.8598475
2,16.191003379,16.190636
3,21.030572031,21.02777
4,19.60913565125,19.604563
5,20.74142159075,20.74135
6,16.64228067225,16.6411795
7,22.59673543025,22.5883955
8,20.284601003,20.282284
9,20.040353513,20.03728
10,14.81592501975,14.815876
11,16.11600177475,16.114526
12,16.07379134225,16.0710955
13,18.53204075425,18.5301925
14,17.85669643975,17.8578575
15,18.61922128275,18.621031
16,19.72474385525,19.7251695
17,19.44910536775,19.448049
18,17.764504613,17.765718
19,17.870442203,17.868732
20,20.454356937,20.453903
21,19.077376395,19.078485
22,18.2109332835,18.2092925
23,18.9240173625,18.921521
24,21.2446225245,21.2437175
25,21.6375555615,21.6336165
26,17.711409942,17.712576
27,20.8754088695,20.874392
28,19.74176375175,19.7426
29,19.886383413,19.885918
30,20.11762907775,20.114824
31,18.27107965975,18.2720085
32,21.5058601165,21.5029565
33,15.0171024925,15.0180875
34,18.6882386505,18.687125
35,18.86784828925,18.8682265
36,19.34301803875,19.3416855
37,21.00062523925,20.998402
38,17.65624477225,17.6540375
39,18.581337981,18.5798275
40,18.2893077575,18.2894835
41,19.964175183,19.963573
42,18.53811924825,18.536902
43,17.732854248,17.7311085
44,17.7208177525,17.718351
45,19.065611,19.065001
46,17.35629105625,17.357745
47,20.66388318975,20.6601315
48,13.18040236875,13.1799245
49,21.3447244445,21.343246
50,21.10659163075,21.1055595
51,17.65337687225,17.6550375
52,18.05401870375,18.0546945
53,21.2262671635,21.221608
54,18.063124835,18.0630315
55,20.4337237865,20.436474
56,19.86624443775,19.8633025
57,17.89632984025,17.898377
58,18.56114314,18.561706
59,19.3169833445,19.314516
60,21.2884801455,21.286563
61,19.722186969,19.7196945
62,23.69122189225,23.683295
63,18.33731193825,18.3372205
64,18.81728899525,18.8143355
65,18.3638612985,18.365094
66,20.9835895615,20.9830545
67,18.81248304,18.81104
68,19.17054058825,19.1722985
69,21.24196375175,21.242369
70,18.48674267575,18.4835635
71,15.9912583325,15.989923
72,16.58712163575,16.586567
73,17.54321167075,17.541216
74,18.914234935,18.9125705
75,22.129883039,22.1281085
76,17.7254099965,17.7233615
77,16.63751431925,16.638448
78,18.932292176,18.9293705
79,21.61158366325,21.610404
80,22.23755677725,22.230981
81,19.4836893385,19.4854375
82,18.353739352,18.351169
83,23.160233137,23.147881
84,17.46825124,17.467318
85,17.85532940475,17.855524
86,20.39340808225,20.3909075
87,21.77460314025,21.770787
88,18.97575266425,18.976411
89,19.6289171235,19.629877
90,20.503058901,20.5003145
91,18.780587976,18.7808915
