"jj","psi_mean","psi_median"
1,16.31721589,16.318284
2,17.550188099,17.552078
3,19.342889155,19.33217
4,18.7075511655,18.713329
5,13.5000635215,13.5001835
6,19.342406098,19.3403505
7,16.8243854915,16.825685
8,14.713757096,14.711676
9,17.0139050165,17.013847
10,17.7553692465,17.7564095
11,16.002639371,15.9995935
12,18.3950393525,18.390922
13,15.0098405695,15.0114955
14,16.6100088015,16.609897
15,10.2555353697,10.258768
16,12.3972396665,12.3958685
17,18.25481498,18.2521245
18,18.605734299,18.6136955
19,17.4446371135,17.4442955
20,18.7944224325,18.7911435
21,13.9559128545,13.95431
22,12.211258971,12.212318
23,15.4918883975,15.489871
24,14.090216997,14.0885905
25,15.185238557,15.184608
26,14.2037024395,14.205176
27,13.149551957,13.151272
28,14.7929046575,14.793025
29,16.656760783,16.6567665
30,13.9614997865,13.959951
31,14.499336569,14.4982975
32,17.509485333,17.5151285
33,10.2154257851,10.2160145
34,16.7303444005,16.7273645
35,16.10561504,16.106352
36,15.864368323,15.859935
37,13.7872723325,13.785898
38,18.477028341,18.4754145
39,13.2954698485,13.293552
40,12.5650848465,12.5647025
41,16.623207607,16.62105
42,18.495948277,18.4882955
43,14.475948965,14.4781585
44,15.654493613,15.6525035
45,17.1579855725,17.1548305
46,12.6193091295,12.620334
47,18.3515145915,18.346179
48,16.4285387885,16.428931
49,15.954270358,15.9548555
50,17.160128449,17.156125
51,15.4408462505,15.4423545
52,15.663667401,15.6637595
53,18.493382939,18.4880115
54,16.4962014355,16.5009425
55,15.597460457,15.5933615
56,16.725875356,16.725636
57,14.177005073,14.175214
58,12.483815587,12.4831015
59,13.4791283565,13.4772205
60,18.6725183715,18.6705905
61,17.1893462765,17.1884335
62,17.1634915645,17.1648575
63,14.4713740665,14.4761575
64,15.2001274495,15.199847
65,15.7556871265,15.7502215
66,17.4602825285,17.4596825
67,15.455082343,15.453704
68,12.235428581,12.235772
69,17.1887489185,17.1924345
70,12.608575249,12.6056485
71,13.988643914,13.989319
72,17.915771657,17.9128215
73,12.3470793595,12.346118
74,14.564660124,14.5643255
75,14.126373436,14.1278775
76,15.190827301,15.1886
77,17.0695383185,17.069803
78,19.391560766,19.392926
79,18.498843085,18.381447
80,15.1554512905,15.159978
81,18.611004078,18.6131395
82,16.9441196025,16.948422
83,17.357412631,17.352599
84,14.416691521,14.4162335
85,17.0017154615,17.0011655
86,18.4838205655,18.478637
87,16.8611055405,16.8610895
88,16.5227025725,16.52053
89,16.4046219385,16.407148
90,15.7271135085,15.721927
91,17.274986117,17.271036
92,17.548182763,17.5528075
93,16.523504776,16.5267025
94,15.986104514,15.985844
95,16.2967976305,16.297384
96,9.4261336218,9.43092735
97,12.8268103775,12.827622
98,14.7563828845,14.7533995
99,16.1957763595,16.19824
100,14.6296228005,14.6314225
101,16.7895951625,16.7885665
102,16.9795208135,16.9762075
103,12.3168178255,12.3196475
104,11.016152189,11.021026
105,17.955262235,17.9516325
106,12.125330405,12.1251575
107,16.6088567985,16.608131
108,15.9844048995,15.9818195
109,17.337942712,17.338643
110,13.457938009,13.459033
111,14.8763228965,14.8761575
112,14.339401142,14.341748
113,16.182455139,16.1833855
114,16.5280640555,16.5245005
115,12.7209996725,12.7207865
116,17.5050837545,17.506102
117,16.7407276915,16.7420795
118,17.0445622635,17.0457885
119,13.76869081,13.7671355
120,15.8672981695,15.869197
121,12.3134407335,12.3128735
122,16.390179235,16.388206
123,16.8342770145,16.831354
124,14.5641244935,14.563796
125,15.9879687405,15.988723
126,16.4357596445,16.4319035
127,15.0208784185,15.02144
128,15.998969139,15.9986785
129,17.377060111,17.373171
130,14.6040596,14.6029325
131,16.2138860565,16.21095
132,14.205962488,14.204836
133,14.5109871175,14.5085885
134,16.4999299595,16.502533
135,17.0020273145,16.999973
136,18.9215151165,18.9213595
137,15.8623861345,15.857556
138,16.9478864485,16.943845
139,16.289326993,16.287436
140,16.0331475165,16.0284635
141,14.468989774,14.469983
142,15.3782892005,15.376716
143,14.77753653,14.7785875
144,15.4426155375,15.442301
145,14.7487727435,14.7502105
146,16.465559828,16.467755
147,16.672485112,16.6718115
148,16.904148302,16.9028105
149,14.03962448,14.0381015
150,14.3280723605,14.328908
151,18.862480189,18.867442
152,15.574673345,15.5792045
153,17.024474894,17.0257625
154,17.754403624,17.757158
155,15.9216943435,15.919186
156,14.606449629,14.605187
157,15.3520218565,15.3523925
158,14.548218994,14.5462645
159,18.0682874975,18.0676425
160,15.919417901,15.9174465
161,16.6515401485,16.6478255
162,13.6477316095,13.647338
163,16.0337063605,16.0305515
164,14.9986024495,15.001915
165,13.752792507,13.754184
166,15.2548302525,15.2544525
167,12.92559637,12.9237445
168,17.10175358,17.101182
169,16.2886531335,16.288395
170,10.47805003,10.477113
171,16.13235181,16.13278
172,13.019598956,13.0161945
173,18.961686173,18.9568315
174,15.483148486,15.4841235
175,12.091404575,12.0885025
176,15.8055535525,15.8069855
177,16.452699889,16.4514625
178,15.5421077585,15.5408375
179,15.134433012,15.1325245
180,18.1540106715,18.152068
181,19.06048796,19.060897
182,14.9010001785,14.900074
183,18.6807724315,18.6807335
184,19.16347131,19.162319
185,16.0387647565,16.0346485
186,18.3351089345,18.337033
187,16.4678373505,16.467634
188,16.7488512055,16.7495195
189,18.5824674735,18.5828095
190,15.512130689,15.513348
191,19.79962797,19.797948
192,14.670719924,14.6686035
193,12.358445889,12.358013
194,18.9314556765,18.930117
195,15.0911731245,15.088816
196,17.292862251,17.290885
197,12.0163628905,12.0173245
198,15.6077154375,15.606981
