"jj","delta_j_mean","delta_j_median"
1,16.3952512485,16.394136
2,13.44591087275,13.4450145
3,16.51605514025,16.5133745
4,15.523212727,15.521467
5,16.313356842,16.31113
6,13.7143418475,13.714605
7,17.7408913735,17.7416345
8,15.98969804325,15.990612
9,15.81877356525,15.817418
10,12.62273794575,12.621266
11,13.40567864475,13.4060335
12,13.36011449925,13.36079
13,14.86397222175,14.8624345
14,14.4593608105,14.4598265
15,14.921524981,14.9209885
16,15.617561428,15.6177175
17,15.438393956,15.439302
18,14.41143939575,14.410815
19,14.462847881,14.460596
20,16.1050525745,16.1046325
21,15.21194501925,15.2112325
22,14.68560942875,14.686666
23,15.10992035825,15.1090715
24,16.67556041825,16.67063
25,16.97610695375,16.9749955
26,14.36695443875,14.3663915
27,16.4017966425,16.398438
28,15.62434979875,15.6231615
29,15.67071408925,15.669776
30,15.87675254325,15.8772435
31,14.71214669925,14.713052
32,16.87232050825,16.8706145
33,12.7390803395,12.738065
34,14.9539359015,14.9532745
35,15.069517899,15.069284
36,15.36563145175,15.365249
37,16.49153665225,16.4912675
38,14.3461343105,14.347412
39,14.89821095475,14.901047
40,14.72610099775,14.724964
41,15.76567818825,15.765036
42,14.86690582075,14.868651
43,14.3898995085,14.389764
44,14.368488396,14.3695145
45,15.190635898,15.187973
46,14.15462777875,14.155112
47,16.246507816,16.2443675
48,11.647518264,11.649014
49,16.7529438105,16.7498375
50,16.56308519625,16.559392
51,14.332982683,14.3322375
52,14.5711259055,14.5708985
53,16.6663219145,16.6603095
54,14.59306774225,14.593203
55,16.0884959265,16.087403
56,15.70711769275,15.7060805
57,14.4984275015,14.499485
58,14.8885518515,14.887718
59,15.35294087375,15.351664
60,16.7124850805,16.7074745
61,15.60626145125,15.6059765
62,18.60274960225,18.5895495
63,14.75132284325,14.7515095
64,15.04460603925,15.043425
65,14.76616485925,14.766862
66,16.481397352,16.480256
67,15.03785883525,15.0394
68,15.256662747,15.256577
69,16.68002242475,16.6747325
70,14.83617269975,14.837101
71,13.3131369275,13.3131395
72,13.6819274595,13.681972
73,14.28305036025,14.2833775
74,15.09500361125,15.094819
75,17.36612278425,17.3642295
76,14.3847539345,14.3846035
77,13.717388806,13.719274
78,15.1221012395,15.1215645
79,16.96286532325,16.9559235
80,17.45883018225,17.456122
81,15.4543502345,15.4539775
82,14.7639325925,14.762408
83,18.20041241625,18.1856465
84,14.22081430225,14.2192205
85,14.44712628425,14.447238
86,16.0646512895,16.063895
87,17.0948241445,17.0919415
88,15.1403584015,15.1410625
89,15.5496896305,15.5470975
90,16.13935300575,16.138302
91,15.018414055,15.0195385
92,15.4473506335,15.4469315
93,15.3323579495,15.3334405
94,17.74580351,17.7407755
95,16.45860276025,16.4569935
96,15.1274426365,15.1252435
97,14.42008710525,14.421119
98,14.956305074,14.954462
99,17.74110406,17.7344405
100,16.72376716925,16.722345
101,13.88337932775,13.8822455
102,15.42194274725,15.421697
103,11.63220757525,11.633061
104,17.526853525,17.5217755
105,13.987356365,13.987154
106,15.9184415705,15.9172215
107,13.9300198545,13.928715
108,15.7363672315,15.734658
109,16.00612787475,16.004216
110,16.36292581725,16.361555
111,14.08436871775,14.0847595
112,16.55801620475,16.5553825
113,15.08192138375,15.0810575
114,13.47396275125,13.47288
115,13.197784601,13.1985335
116,16.52956269875,16.528346
117,13.87748215925,13.877348
118,17.2042818795,17.202596
119,16.91019578375,16.90635
120,15.09140287575,15.088475
121,19.150758388,19.1333645
122,15.06617602275,15.0641595
123,17.82318221775,17.8197245
124,14.30526597475,14.3056445
125,15.17624881025,15.1758615
126,14.03826340575,14.039126
127,15.55114972075,15.5502915
128,15.8394879915,15.838947
129,17.15074787975,17.149583
130,13.1821582125,13.1817305
131,18.256551113,18.245152
132,16.6008751195,16.5996715
133,17.3536949235,17.345808
134,15.433964399,15.432663
135,15.24935967725,15.248145
136,16.4677853055,16.467586
137,14.61616421675,14.6157745
138,16.8301836115,16.827163
139,16.884005566,16.8795815
140,14.45351831575,14.4527235
141,16.0478647275,16.0483405
142,15.331765856,15.3315675
143,14.0399192815,14.040179
144,16.771257767,16.766853
145,15.40986703325,15.41102
146,15.950046672,15.950281
147,17.35391194375,17.349088
148,15.496251272,15.493495
149,17.37087919325,17.3681585
150,17.12008182725,17.1163135
151,14.986543216,14.9863555
152,14.55959523775,14.558916
153,16.19742352975,16.197936
154,16.874098741,16.8677355
155,15.323003621,15.321699
156,16.729630712,16.724769
157,14.9303810165,14.929456
158,14.8161006165,14.8156465
159,15.897732268,15.8949365
160,14.8472538,14.846839
161,14.71465238175,14.713411
162,13.9746269735,13.974378
163,15.5459708895,15.545583
164,16.67870992225,16.6793525
165,14.753696271,14.7541955
166,14.17938118125,14.1794145
167,15.86068595675,15.8597045
168,16.045894422,16.0452435
169,15.98911312975,15.9882545
170,16.89187975875,16.8907715
171,14.45743159375,14.457198
172,15.6443841335,15.6425875
173,15.95557138525,15.953887
174,15.388564001,15.3880555
175,15.77650416125,15.7757845
176,14.643166234,14.6424785
177,15.2856737975,15.287204
178,17.536229719,17.528243
179,17.8280364585,17.8200755
180,15.193813263,15.193823
181,17.3559097425,17.354214
182,14.8121993135,14.813669
183,15.303423196,15.302178
184,15.53077298075,15.5293955
185,14.22506689125,14.2240375
186,15.084471935,15.0836275
187,14.03139509625,14.0308175
188,15.0575127775,15.0574135
189,14.55308467775,14.5526795
190,15.934401287,15.9338135
191,18.9971284125,18.9823555
192,15.13439150425,15.136176
193,15.91672322325,15.91611
194,18.41526651825,18.410009
195,14.995598315,14.9958855
196,13.599247171,13.5990775
197,13.9854427435,13.983668
198,15.4716134115,15.4717825
199,16.01961815425,16.018764
200,13.3825885585,13.3822575
