"jj","delta_j_mean","delta_j_median"
1,20.8623259405,20.8633975
2,16.19073647325,16.190082
3,21.02538282425,21.022902
4,19.6115590755,19.609141
5,20.744888267,20.743005
6,16.642281977,16.6401765
7,22.5945387645,22.5832055
8,20.28612782875,20.285478
9,20.03562998675,20.0368785
10,14.81422529475,14.816995
11,16.11295899225,16.110988
12,16.0760906455,16.075598
13,18.52750153075,18.523467
14,17.8559055145,17.854355
15,18.621938046,18.6211565
16,19.72189962,19.7205575
17,19.445676623,19.4427725
18,17.7629912245,17.761907
19,17.87046238075,17.86999
20,20.4528986295,20.451706
21,19.071501581,19.071588
22,18.216160384,18.2175255
23,18.92238387925,18.919741
24,21.23828490675,21.234326
25,21.636733496,21.632479
26,17.7143617735,17.711406
27,20.86891694425,20.8660115
28,19.73718658075,19.7358465
29,19.8838620775,19.878469
30,20.11578679275,20.1142685
31,18.26710452925,18.2666895
32,21.5031288695,21.4998065
33,15.0142938205,15.011668
34,18.6853793885,18.686549
35,18.8647537455,18.8634075
36,19.342905393,19.3442025
37,20.99513561875,20.993282
38,17.65331848525,17.6543885
39,18.57991615375,18.580152
40,18.2929053875,18.2941265
41,19.961323884,19.9620445
42,18.53862340025,18.5382415
43,17.73345338375,17.734114
44,17.71895867025,17.7171445
45,19.0627731925,19.063784
46,17.3530363455,17.3508895
47,20.66232823725,20.6607405
48,13.1819203365,13.1821885
49,21.3409272705,21.3377815
50,21.1059643825,21.104844
51,17.6511781885,17.6513415
52,18.0470455235,18.043703
53,21.22773410525,21.224051
54,18.065452268,18.0637445
55,20.436071431,20.4387325
56,19.86527015575,19.8647045
57,17.89800398,17.8959605
58,18.5593345125,18.559283
59,19.3113369815,19.3111445
60,21.28622563475,21.285564
61,19.719661343,19.717864
62,23.68304851325,23.674674
63,18.33504153625,18.3341865
64,18.8138452675,18.8118
65,18.36203366625,18.3626705
66,20.98212937225,20.983847
67,18.809346477,18.8069625
68,19.1680233635,19.169589
69,21.24194291825,21.2406865
70,18.4853798795,18.4866925
71,15.988166458,15.9881295
72,16.58774827225,16.5841125
73,17.53921072525,17.540891
74,18.91157036525,18.9114795
75,22.12862105,22.1245905
76,17.72209746125,17.7207775
77,16.635713953,16.637508
78,18.930707114,18.928832
79,21.61649549875,21.6150985
80,22.23711220475,22.231745
81,19.4820731265,19.4790565
82,18.35218222675,18.3523865
83,23.1586056165,23.151873
84,17.46614137025,17.464451
85,17.85189206125,17.8520085
86,20.38780329625,20.386158
87,21.77329980425,21.772199
88,18.97367849575,18.9730865
89,19.62452707475,19.623073
90,20.501169731,20.497383
91,18.775260456,18.773001
92,19.479592257,19.478904
93,19.3075307115,19.3047715
94,22.579471548,22.5729325
95,20.94729077225,20.9472245
96,18.95054826175,18.947448
97,17.8127434635,17.810519
98,18.68185612725,18.6811735
99,22.584273897,22.5768965
100,21.2984655965,21.299178
101,16.89360438025,16.890518
102,19.4222485295,19.423623
103,13.155097554,13.1562745
104,22.34694351475,22.336612
105,17.0389274415,17.040357
106,20.18208932425,20.181167
107,16.99143754975,16.9912705
108,19.9295174315,19.9263865
109,20.31808214775,20.315386
110,20.81795358675,20.8168525
111,17.25087012925,17.2478645
112,21.09285830575,21.0924205
113,18.90354401625,18.902279
114,16.233569169,16.233694
115,15.769915186,15.7692655
116,21.04686967775,21.047382
117,16.88010876075,16.8800045
118,21.91637731725,21.9134525
119,21.55166002025,21.5507835
120,18.88350689975,18.8825205
121,24.44298244025,24.416343
122,18.839033402,18.8368385
123,22.6886630815,22.6808815
124,17.589218916,17.587541
125,19.0212394825,19.0219625
126,17.15665777525,17.153055
127,19.63941727875,19.6356125
128,20.068914051,20.068201
129,21.859942369,21.854665
130,15.79102672825,15.7908475
131,23.27078949325,23.2699035
132,21.140222319,21.1389755
133,22.1207636545,22.120275
134,19.448444464,19.4486285
135,19.152644396,19.150292
136,20.96547006775,20.965093
137,18.09285397975,18.093681
138,21.45143435625,21.4532325
139,21.51817212275,21.521217
140,17.853262328,17.8520005
141,20.383972851,20.3819165
142,19.2818183815,19.279726
143,17.14829404125,17.1490215
144,21.366271696,21.364322
145,19.40379842575,19.399335
146,20.220833546,20.219134
147,22.11376604525,22.112097
148,19.542903152,19.5417915
149,22.13933103475,22.1358125
150,21.8249352595,21.82021
151,18.733157329,18.734324
152,18.02005072525,18.021674
153,20.59714865125,20.594993
154,21.5086715015,21.507562
155,19.26763925475,19.267251
156,21.317704188,21.314526
157,18.641822844,18.6438845
158,18.538762329,18.5334025
159,20.1555133195,20.153478
160,18.50238878825,18.500155
161,18.29689225975,18.296531
162,17.0404540185,17.041174
163,19.63049732,19.6300195
164,21.25090940525,21.2479495
165,18.34587101325,18.3449995
166,17.404787213,17.400803
167,20.100124886,20.1050135
168,20.37903855075,20.3779955
169,20.2858456915,20.2803365
170,21.52482781825,21.523112
171,17.83184656475,17.830074
172,19.77016269975,19.770259
173,20.23321507775,20.2305575
174,19.37543220675,19.3757105
175,19.9737089495,19.9744975
176,18.1777543265,18.1769755
177,19.2077533035,19.211809
178,22.327873999,22.324085
179,22.7030857375,22.7004535
180,19.072402761,19.0716575
181,22.12500054725,22.119089
182,18.426768525,18.425156
183,19.2395638195,19.238821
184,19.59884683325,19.5994
185,17.45721475,17.455374
186,18.88442179325,18.881833
187,17.11637233625,17.1161955
188,18.8496340885,18.848468
189,18.00961640225,18.0076265
190,20.199094425,20.2012915
191,24.16203344175,24.1437895
192,18.9782701815,18.9791485
193,20.176979868,20.1746925
194,23.414989786,23.3991035
195,18.742324743,18.743193
196,16.41965257225,16.41725
197,17.04187223075,17.041732
198,19.50715453475,19.504804
199,20.339209286,20.3351075
200,16.06871572825,16.068265
