SubjectID1,Sex,Study,AGE18M,AGE24M,AWCHr18M,CTCHr18M,CVCHr18M,AWCHr24M,CTCHr24M,CVCHr24M
4943,M,ELENA,18,24,1127.384615,48.1025641,192.9230769,1104.45287,47.82647033,230.8791112
6117,F,ELENA,18,24,1739.142857,116.5714286,350,2741.715023,92.49946271,230.8188266
6135,M,ELENA,17,24,1613.795918,43.83673469,204.1632653,1987.176471,72.70588235,225.1764706
6152,M,ELENA,18,25,779.792695,22.83316881,103.1490622,1180.873292,33.75301366,147.5488883
6229,M,ELENA,17,24,916.4745763,53.38983051,234.5084746,1449.333333,67.11111111,410.6666667
6296,F,ELENA,18,24,2109.875241,131.4661914,400.6838104,2250.562303,142.4201529,509.0418354
6316,F,ELENA,18,24,1372.594876,86.87147869,278.7286064,NA,NA,NA
6342,M,ELENA,18,24,1016.842105,40.84210526,179.7894737,1037.561723,57.00664056,291.367274
6356,F,ELENA,18,24,2330.039917,113.3775222,345.9332772,1874.59904,126.2508568,453.3516107
6357,M,ELENA,18,24,1174.197409,24.93053478,111.6487838,NA,NA,NA
6358,M,ELENA,18,24,2547.136364,137.0454545,284.5909091,2344.125242,139.4448031,362.6291156
6367,F,ELENA,18,24,1556.762984,102.2943266,369.4345781,NA,NA,NA
6368,F,ELENA,18,24,1346.533333,69.46666667,220.5333333,2169.410197,94.70176608,372.0093302
6377,F,ELENA,18,25,920.0425532,21.06382979,68.42553191,1418.403523,91.3176019,308.366264
6378,F,ELENA,18,24,NA,NA,NA,2062.535036,95.17284335,267.5801931
6403,M,ELENA,18,24,1758.987997,85.64651765,251.505786,2122.989474,76.29473684,253.2631579
6408,F,ELENA,18,24,1462.046512,101.8604651,366.6976744,1472.874843,100.9959222,450.1411543
6414,M,ELENA,18,24,1207.658367,61.92877403,226.0636621,912.1124874,41.94174757,216.2972882
6429,M,ELENA,18,24,2084.865699,64.1309046,147.6011115,3025.940672,183.4352044,429.4510178
6433,M,ELENA,18,24,603.3134328,39.67164179,170.5970149,1551.444444,130.7777778,492.4444444
6440,F,ELENA,18,24,2478.207739,98.270359,279.5999635,1459.606783,102.059262,333.6004473
6446,M,ELENA,18,24,663.6642499,34.2163971,149.1634133,764.3350275,35.64147008,269.1618438
6516,M,ELENA,18,25,1322.454905,30.67824404,108.2932337,1877.60032,75.24284207,296.9112671
6517,F,ELENA,18,24,1615.765609,55.94698291,157.0980119,2163.623293,51.76132279,116.4629763
6592,F,ELENA,18,24,3954.133545,87.99682035,221.0651828,1869.593112,75.97501266,243.1200405
6613,F,ELENA,18,24,1973.598589,105.6322566,366.2397285,2287.506773,143.1994702,440.5081582
6927,M,ELENA,18,24,1946.654144,52.08969242,111.6811458,1774.938084,88.93421299,330.4876272
6953,M,ELENA,18,24,639.1883323,37.45892662,155.4389808,997.0384615,67.03846154,363.3461538
20001,F,TLO,18,24,2332.45609,114.3585879,383.9777404,1596.818245,113.3845234,415.1363281
20002,F,TLO,18,24,1512.839317,70.43563923,245.4903678,NA,NA,NA
20003,F,TLO,19,25,1607.868896,23.76755253,102.7916485,928.5790314,34.85136471,209.6555919
20004,M,TLO,18,24,NA,NA,NA,1085.419355,59.35483871,198.1935484
20007,F,TLO,19,24,1087.235116,28.00201816,136.074672,1008.007039,28.15662121,138.1434228
20034,F,TLO,19,25,1485.033708,26.42696629,106.5168539,1896.179775,120.2247191,393.258427
20037,F,TLO,18,23,1139.559988,34.63772367,170.4429451,526.0014238,20.8775372,128.8281562
20038,M,TLO,18,23,1066.294157,36.31025665,193.3137608,677.966557,39.08401048,297.0384796
20041,F,TLO,18,25,1412.411368,35.1239435,116.0928016,1586.235155,55.7538718,191.7008126
20047,F,TLO,18,23,1055.94216,27.11251695,101.5815635,NA,NA,NA
20048,F,TLO,19,25,124.5661912,8.712218732,141.9906287,1161.674279,75.46526689,305.6650078
20050,F,TLO,21,NA,NA,NA,NA,2215.785855,101.3163065,306.6011788
20053,F,TLO,20,23,1526.90601,75.51432029,310.6091166,NA,NA,NA
20056,F,TLO,18,24,3495.84705,112.9273234,246.4801215,4326.992936,193.8193744,391.9525732
20057,F,TLO,17,25,NA,NA,NA,NA,NA,NA
20071,M,TLO,17,25,2251.124724,57.77995589,162.0485175,1711.255543,86.30261799,348.8550082
20073,F,TLO,18,23,1464.485697,47.6567255,126.5368229,1617.673469,75.18367347,233.755102
20086,M,TLO,19,24,1158.486042,82.74019524,403.9595821,1850.796517,91.21355972,293.5608818
20100,M,TLO,18,25,3115.059527,131.3095859,356.7044538,1956.899325,115.7928594,294.113863
20108,F,TLO,18,24,1680.371134,70.1443299,303.8350515,988.5551528,52.78353185,429.375971
20112,F,TLO,18,26,NA,33.33722423,206.7468192,1569.171285,141.2037634,421.91004
20113,F,TLO,18,23,813.1201121,NA,NA,983.3700926,46.44905161,234.3625937
20114,M,TLO,18,23,1578.605748,76.43927842,230.3535978,1243.7943,83.60729905,351.8021415
20115,M,TLO,18,NA,1197.914754,91.00327869,408.0393443,NA,NA,NA
20117,M,TLO,18,24,1562.318074,27.41465996,94.20481609,1410.77057,46.93948629,170.0478886
20120,M,TLO,17,23,NA,NA,NA,NA,NA,NA
20121,M,TLO,18,24,475.0407543,13.3233467,102.9387144,752.1492095,34.01679842,223.4436759
20122,M,TLO,19,24,1077.209914,48.168458,190.8313227,1000.407807,60.64666472,221.2642004
20127,F,TLO,18,24,680.5072804,37.95209018,238.6096759,1211.647856,75.81941309,301.2460497
20128,M,TLO,18,24,1370.376311,63.73843307,211.8692165,789.8947368,49.05263158,292.2105263
20129,F,TLO,19,24,2711.464286,27.42857143,69.32142857,1844.237288,37.11864407,102.3050847
20132,M,TLO,18,24,2410.060999,63.5431538,186.0506165,1054.69486,58.31675913,253.4282424
20135,M,TLO,18,24,2206.231579,57.6,247.2,NA,NA,NA
20136,M,TLO,19,24,1453.203025,50.47484201,255.3579445,1525.215901,78.15940405,287.8765904
20147,F,TLO,17,24,1317.039534,23.9963224,96.53692921,NA,NA,NA
20149,M,TLO,18,24,1470.624279,64.02737437,250.3799785,1538.212279,113.4268675,407.0460891
20157,M,TLO,20,24,1076.16871,27.34261375,169.7901517,1210.988419,26.90546728,132.1034204
20161,F,TLO,17,23,1340.81463,55.86034913,197.3399834,1607.393402,78.34844685,173.6446074
20162,F,TLO,19,25,1990.203092,104.322522,310.5668384,1128.039945,48.63912277,138.6919914
20166,F,TLO,19,23,825.5615961,56.12883373,320.4020925,1345.824363,73.35758296,363.7146463
20167,F,TLO,18,24,738.3384245,29.89287097,139.7065783,1507.708525,86.65173277,289.6824351
20169,F,TLO,19,23,1144.39034,73.41416386,245.7727377,1316.88378,93.58876117,352.2860792
20171,F,TLO,17,NA,3651.283606,64.59552026,141.3027006,NA,NA,NA
20176,M,TLO,17,23,3001.854545,98.07272727,230.6181818,2334.961736,102.4635706,292.2004403
20177,M,TLO,17,23,1039.337757,44.45508654,199.9863173,951.2552766,79.18240391,380.3154854
20190,M,TLO,18,24,679.310882,37.01049877,182.1365152,241.3462057,10.87319994,129.5075778
20191,F,TLO,18,24,1190.4,24.8,88.8,421.6551724,4.965517241,64.13793103
20192,M,TLO,18,24,696.1860465,26.41860465,175.627907,924.8223635,44.34367988,277.421466
20196,F,TLO,18,24,731.2837757,9.078899964,35.45094272,2687.625521,118.3222617,354.4106288
20200,F,TLO,18,25,1166.793025,54.58680819,157.5219322,2101.226243,148.7603306,358.9581406
20203,F,TLO,18,25,1521.620301,87.14428411,355.1569507,865.1884457,29.5130674,224.1210454
20204,F,TLO,18,23,1675.246297,43.27936617,126.1178092,2163.939449,87.58708736,310.5599125
20214,F,TLO,18,23,895.0806559,19.67737635,94.54739368,NA,NA,NA
20215,F,TLO,17,NA,1157.945639,36.06025985,169.4927864,NA,NA,NA
20219,M,TLO,18,25,408.2486204,27.06941621,267.7897183,1719.154557,75.19815059,307.331572
20224,M,TLO,18,23,2581.297297,106.0540541,289.6216216,2185.680092,116.6986791,359.0319435
20225,F,TLO,18,25,516.7407407,28.44444444,218.3703704,835.6585949,52.12656244,200.0412524
20226,F,TLO,19,NA,2545.61194,130.9253731,453.1343284,NA,NA,NA
20227,F,TLO,18,25,935.7701586,32.10761021,148.3441772,1233.29625,85.98913684,425.2339507
20228,F,TLO,19,NA,2264.00503,140.0502986,393.5554857,NA,NA,NA
20233,M,TLO,18,25,1897.241968,97.24196759,359.0275803,2569.272727,76.54545455,245.8181818
20236,M,TLO,19,25,876.5521333,46.41027024,255.1593937,1059.454627,93.12472061,450.4962003
20242,M,TLO,17,24,1552.992519,48.12967581,183.6658354,541.9742833,13.19625419,87.7344712
20251,F,TLO,17,24,NA,NA,NA,1787.829721,126.5082267,446.3828676
