Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	10.003425	2.033282	10.085787	2.617050	1.311995	0.269810
about	10.727820	2.862607	13.098773	3.037737	1.378805	0.845211
above	11.896987	5.658940	11.444439	6.020504	3.519884	0.267719
after	11.010916	5.726000	11.833517	4.391381	2.714343	1.705496
airplane	11.978890	4.247855	11.150988	4.918156	3.062136	0.417132
all	11.587974	3.835615	12.227599	4.636670	1.351880	0.475838
alligator	12.211099	4.478031	11.242476	4.435791	3.463409	0.435386
am	12.124154	5.190777	11.809120	5.765154	2.140039	0.529845
and	11.877275	3.164455	11.479397	3.877331	1.492827	0.177202
animal	11.930334	5.208516	13.645556	4.976908	1.883347	1.302807
ankle	13.753975	6.830289	12.189524	8.098538	3.534230	0.277224
another	11.428771	3.808657	12.415795	4.261339	1.720312	0.635509
any	11.595061	3.298365	16.021301	3.593510	1.019198	1.131958
apple	11.419449	3.710503	11.915564	3.757104	2.392104	0.950265
are	10.889310	2.456244	12.358539	3.005824	1.364222	0.540323
arm	11.524875	3.963246	11.720413	3.823893	2.817396	0.733677
around	11.009717	3.546384	16.009717	2.374881	1.334426	1.677580
asleep	10.959401	3.771568	10.475004	4.020767	3.277143	0.329669
at	11.775414	1.084952	12.019441	1.956409	1.498603	0.323489
aunt	12.098235	7.006460	11.315266	7.140334	3.826097	0.332799
awake	11.510821	4.099272	10.625888	4.598069	3.640450	0.313278
away	12.132979	2.584455	13.519177	2.168439	2.085126	0.957276
baby	10.944148	2.326243	15.944148	3.070455	0.770825	0.892633
babysitter	13.219731	4.844447	11.896387	4.928122	3.743597	0.430304
back	11.233466	3.250706	15.057689	3.153466	1.199439	1.137494
backyard	11.245618	5.196941	10.423167	6.051626	3.580389	0.268508
bad	11.740653	4.458954	12.990380	2.860206	2.843562	1.292907
ball	12.394522	1.499607	14.562957	2.174371	1.734480	0.817846
balloon	12.406261	4.175303	12.031487	4.744707	2.701411	0.539394
banana	10.970218	4.638472	10.996568	5.037197	2.633023	0.823955
basement	11.792982	4.860294	11.028829	4.540459	3.737944	0.670044
basket	11.664136	3.010144	11.911295	2.532616	2.927681	0.773498
bat	13.192716	4.759837	11.804968	4.870142	3.265898	0.507862
bath	11.216703	2.807962	11.062593	2.638149	2.850768	0.693926
bathroom	11.570201	3.882827	11.118835	4.904999	3.083934	0.471049
bathtub	11.985527	5.848394	11.623524	6.914740	2.886576	0.576024
be	10.443028	2.659299	11.268367	2.957421	1.540990	0.638582
beach	12.424222	3.330600	11.321002	3.451481	3.134859	0.449490
beads	12.991830	5.365965	11.837171	5.089905	3.425014	0.674587
beans	11.564501	3.338171	11.165062	3.411703	3.416883	0.467966
bear	10.023771	2.772138	10.206289	2.188211	2.879832	0.862862
because	11.610068	4.526954	13.680507	5.103591	1.178986	0.855930
bed	11.865610	3.919544	12.172889	3.935278	2.526295	0.772515
bedroom	12.127121	3.912216	11.288082	4.773563	3.134755	0.312014
bee	11.081198	2.904858	16.081198	-2.095142	2.769472	2.942480
before	11.742144	4.678782	16.742144	3.136346	1.280944	2.084841
behind	11.718829	3.151252	12.167310	-1.848748	3.979953	1.566541
belly	11.198485	4.615385	16.198485	0.772191	2.050667	2.959653
belt	13.492173	5.330923	11.823531	5.270103	3.469510	0.475190
bench	12.651539	5.239213	11.756986	5.706939	3.577973	0.320755
beside	12.644701	6.917192	11.765754	7.768300	3.648542	0.285928
better	11.493575	4.177177	13.778897	3.187015	1.976838	1.483217
bib	11.106148	4.232837	11.498630	5.102711	2.717646	0.891921
bicycle	12.448286	3.561570	11.214811	4.038945	3.314160	0.389282
big	11.054586	4.711906	10.695507	5.335089	1.566320	0.231321
bird	11.649981	3.984643	12.058228	3.880861	2.521768	0.941405
bite	11.950268	3.989034	12.979591	4.152764	2.237035	1.014141
black	12.158637	3.996214	11.875690	3.782829	2.767836	0.699435
blanket	11.667737	4.204965	11.508242	4.949259	2.869873	0.565858
block	11.515739	3.657922	11.755218	2.898050	2.988014	0.986214
blow	12.320778	4.956641	12.118780	4.947236	2.823547	0.858410
blue	11.746116	3.905850	16.746116	2.672900	1.108790	1.685205
boat	12.810844	4.377282	11.289647	5.042596	2.723907	0.334002
book	11.018718	2.960116	11.443539	4.294757	1.480227	0.327348
boots	13.372903	4.409584	11.965534	4.559519	3.221115	0.372025
bottle	11.781561	3.653866	16.781561	4.308688	0.706174	1.199887
bowl	11.409098	4.049048	11.452044	4.046762	2.744326	0.791901
box	11.095491	2.680761	11.161601	2.649535	2.520067	0.678577
boy	11.898217	2.801246	12.797376	3.497605	1.755536	0.604899
bread	11.529820	4.309390	16.188523	2.174325	1.571605	2.125674
break	12.042406	3.862957	11.308409	3.821277	2.861866	0.590033
breakfast	10.903015	3.329431	10.721175	3.842522	2.860476	0.652543
bring	11.368381	4.601263	11.598592	4.903197	2.302926	0.781386
broken	11.227901	4.637322	10.599351	5.520173	3.034839	0.348117
broom	12.681134	4.893331	11.230285	5.120332	3.762524	0.364052
brother	12.285173	4.137250	12.696390	1.724247	3.212005	1.285664
brown	11.164956	4.536942	9.462429	4.892497	3.324267	0.261108
brush	12.519087	3.895951	11.337793	4.526606	3.019906	0.494165
bubbles	12.816281	4.580735	12.926542	2.794322	3.338332	1.239215
bucket	12.734960	6.130012	13.265529	6.666382	1.930896	0.752558
bug	11.259336	4.497795	10.821732	4.272878	3.426405	0.671608
build	11.070968	4.074071	11.126585	4.243556	2.781701	0.776187
bump	11.040529	4.011902	10.103376	4.832078	3.410825	0.297928
bunny	10.490491	4.243356	11.112006	3.569337	2.981471	1.224100
bus	12.452568	2.354929	11.743193	2.375287	2.826459	0.468406
but	12.136627	4.314654	11.648346	5.122634	1.484816	0.210950
butter	11.266960	3.515004	10.652896	3.263808	3.273031	0.556291
butterfly	12.994013	4.865113	14.086714	4.088935	2.454220	1.111225
button	12.155728	4.480733	12.135952	4.180266	2.886907	0.854512
buy	11.655083	3.588116	11.309504	3.925746	2.947516	0.380030
by	11.442249	4.700692	15.158623	2.398851	1.888169	2.122918
bye	11.202856	2.283306	10.876876	2.760893	2.558736	0.458865
cake	11.346370	3.025613	10.872652	3.043850	3.076906	0.461047
call	11.423275	4.483738	11.503843	4.229014	2.709675	0.731265
camera	11.487349	4.185909	12.515840	2.985987	2.862478	1.328810
camping	14.304794	5.789841	12.559909	6.608098	3.623389	0.197503
can	10.724894	2.838616	11.550080	3.412927	1.355361	0.447894
candy	12.436968	4.514261	11.333417	4.960696	3.496374	0.358767
car	11.226012	3.222559	10.949879	3.584135	2.430434	0.474422
careful	10.948547	3.162709	10.807147	3.581745	2.458056	0.558877
carrots	12.345699	4.567732	11.348844	3.379298	3.612175	0.846128
carry	11.611142	4.593164	10.938888	4.768851	3.190797	0.525167
cat	11.403191	3.596028	11.361343	4.149147	2.546129	0.474989
catch	12.201626	3.747531	11.674166	3.526868	3.164909	0.662259
cereal	11.748604	5.583596	12.666637	4.840599	2.580333	1.222168
chair	12.426756	3.116029	12.739730	3.509907	2.282950	0.726901
chalk	13.657696	6.088105	11.452839	6.646239	3.629445	0.260264
