Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
camping	15.832170	6.621839	13.256844	7.370288	3.513117	0.177456
can	10.580341	2.941819	10.143012	3.705640	1.366406	0.380519
candy	12.863421	5.298174	11.968447	5.548427	3.193333	0.464900
car	10.914221	3.308341	11.008794	3.705704	2.151521	0.605445
careful	11.222056	3.442459	11.666689	3.175067	2.330400	0.806323
carrots	11.513044	5.451086	10.254439	5.650186	3.525520	0.290413
carry	11.784362	4.628700	11.766733	4.218115	2.957466	0.880920
cat	11.288339	4.103288	11.711160	3.829854	2.430344	0.796638
catch	11.903847	4.290720	11.912394	1.517916	3.592466	1.060521
cereal	11.338418	5.684194	11.706350	3.460666	3.612933	1.408104
chair	11.695244	3.528840	14.206656	1.862155	2.219932	1.410140
chalk	13.269140	6.008013	11.655891	6.112043	3.526286	0.396571
chase	11.376860	7.157025	10.636832	7.777745	3.497682	0.249046
cheek	13.730769	7.489020	12.166083	8.456908	2.664256	0.408981
cheese	11.939966	4.128808	15.838400	-0.871192	2.557517	2.398752
chicken	11.585681	3.861327	13.495854	-1.138673	3.523351	1.967930
child	11.840790	6.425039	11.152420	5.967693	3.449836	0.826223
chin	11.479834	5.526499	10.029981	5.723689	3.566744	0.209307
chocolate	12.956206	4.830410	11.839745	5.618626	2.765402	0.307600
choo	11.661722	3.292023	12.342204	0.762553	3.265666	1.162651
church	12.415873	6.003979	11.402660	6.565398	3.164881	0.234011
circus	11.600630	5.145052	10.727830	5.341935	3.421034	0.402076
clap	11.340099	4.831197	9.579975	5.240911	3.643443	0.119416
clean	10.903919	4.269775	11.721666	-0.730225	4.090033	1.809389
climb	11.346339	5.486655	11.192487	5.341779	2.896017	0.749722
clock	12.150990	4.285935	17.150990	-0.714065	2.438364	2.711367
close	11.072265	4.106988	11.880063	-0.893012	4.215692	1.911668
closet	11.886381	4.614274	11.463835	3.685625	3.376207	0.654493
cloud	11.904383	5.111628	10.978698	4.921362	3.613870	0.331871
clown	11.609367	3.509663	11.013123	-0.771086	3.976090	0.927821
coat	11.713558	4.664820	11.790366	4.529470	2.891314	0.847663
coffee	12.224924	3.398623	11.189206	3.318485	3.071469	0.520773
coke	14.350352	5.916341	12.144277	6.707817	3.407776	0.243299
cold	12.587631	4.427590	13.437675	4.363196	2.341348	0.799608
comb	11.460851	5.765577	11.050677	4.800220	3.672988	0.728976
cook	12.268632	4.668980	12.021251	3.967298	3.091015	0.751179
cookie	12.155085	4.070764	17.155085	-0.330349	2.221613	2.378190
corn	11.525823	5.855129	10.959808	5.838581	3.291723	0.477045
couch	12.645135	3.784199	13.272710	0.046769	3.566998	1.244160
could	10.979737	4.212372	12.976348	4.374718	1.371654	0.962468
country	13.038321	6.167477	11.704389	7.098453	3.234396	0.272029
cover	11.716729	7.302463	10.519875	7.537941	3.300220	0.493533
cow	12.015975	3.328265	17.015975	-0.030833	1.945415	2.185026
cowboy	13.763698	5.989622	11.720879	6.928223	3.350223	0.246200
cracker	12.255360	5.272799	11.596884	2.381045	3.863704	0.987450
crayon	13.530445	5.442957	11.797046	5.990148	3.177978	0.548058
crib	11.681175	5.172463	11.476327	0.172463	4.403567	1.046933
cry	11.365267	4.613113	11.205580	3.358486	3.271270	0.771333
cup	11.159822	4.389038	16.159822	1.653560	1.586649	2.498932
cut	11.147106	4.701083	11.589651	1.820467	3.514037	1.207006
cute	11.275720	5.072415	11.546186	0.072415	4.367948	1.614360
daddy	11.557981	4.443206	13.158800	4.657358	1.822059	1.083997
dance	12.882698	3.947536	14.056652	-1.052464	3.733948	1.681929
dark	13.817173	3.357984	12.142044	3.344331	3.184733	0.464988
day	11.707761	3.337393	15.323245	1.490909	1.946140	1.611085
deer	12.152996	5.324297	10.709913	5.429243	3.560651	0.232773
diaper	11.636637	4.088312	13.901104	-0.911688	3.875664	2.285136
did	11.914681	3.777507	11.522852	4.543782	1.582052	0.311468
dinner	12.050802	4.052693	12.179828	3.334702	2.821791	1.036315
dirty	10.814368	5.610447	11.171419	3.116021	3.618032	1.443604
dish	12.574100	6.225588	14.631199	4.462855	2.263533	1.843742
do	11.297863	2.711176	12.130383	3.302947	1.245656	0.452871
doctor	11.807028	4.536725	11.298095	3.788387	3.157104	0.698480
does	11.166711	3.945576	11.427499	4.840104	1.553935	0.432344
dog	10.887394	4.088476	14.286975	4.043719	1.304802	1.243689
doll	12.234012	4.242499	17.234012	-0.188392	2.253355	2.478245
donkey	12.156853	5.836363	15.778537	0.836363	2.968282	2.682478
donut	13.748702	5.515890	11.600136	6.044196	3.440539	0.312021
door	12.827628	2.548492	14.537556	1.819488	2.062268	0.982496
down	11.693180	2.637210	13.816212	2.785391	1.598587	0.821471
downtown	13.842404	8.015324	12.181934	8.863866	3.814264	0.113906
draw	13.110601	3.343694	11.436548	4.030584	2.756402	0.362425
drawer	12.425168	4.497889	12.317429	1.113372	3.798515	1.005588
dress	12.088905	5.508247	12.397228	4.782847	2.746928	0.946318
drink	11.001251	3.722912	13.567744	1.103254	2.512911	1.570523
drive	12.060671	3.960672	12.445416	0.868175	3.395112	1.173869
drop	11.249552	5.265985	10.732475	2.992824	3.963943	1.049088
dry	11.822943	5.563108	12.339886	0.563108	4.036188	1.548524
dryer	13.287193	8.681372	11.827312	8.986208	3.570435	0.293501
duck	11.502956	4.315270	16.502956	2.291821	1.336028	2.027387
dump	11.130612	5.958105	9.904411	6.111926	3.611437	0.291074
each	11.197623	5.913754	10.185365	6.568215	3.106438	0.444254
ear	11.711707	4.611637	11.201989	3.405574	3.283458	0.937648
eat	11.728440	3.199350	14.303408	3.501931	1.246729	0.868898
egg	11.637130	4.377020	11.513483	4.701881	2.583890	0.558982
elephant	12.148522	4.380990	12.245789	4.133114	2.450603	0.697438
empty	11.231795	5.490482	10.514771	3.978043	3.751298	0.753278
