Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	11.443964	2.143652	11.475242	2.598346	1.363062	0.337131
about	10.721748	2.797755	13.198403	2.378141	1.592936	1.034929
above	11.586275	5.569473	10.770663	5.796221	3.590863	0.281013
after	11.394482	6.199672	12.123751	6.305644	1.907189	0.960611
airplane	13.133018	4.407721	11.984381	4.549353	2.998681	0.577144
all	11.617659	4.048906	11.533695	4.943312	1.487303	0.300254
alligator	12.428168	4.925203	10.677458	4.937651	3.437115	0.364454
am	11.772238	5.244046	12.710104	5.499463	1.781990	0.864551
and	11.754744	3.129559	11.485068	3.806436	1.387526	0.264930
animal	12.238441	5.635749	17.238441	1.709954	2.047049	2.729043
ankle	13.510223	8.893488	11.730558	9.732429	3.733868	0.201218
another	11.120577	4.052586	11.832840	4.451145	1.691129	0.628540
any	10.912958	3.461800	15.912958	1.878889	1.316005	1.813734
apple	11.394747	4.457263	13.413235	4.090142	1.940393	1.164722
are	11.563157	2.751331	11.393014	3.426218	1.592889	0.332033
arm	12.326037	3.914424	12.614111	3.778894	2.579655	0.851090
around	10.924984	4.090802	15.924984	-0.785210	2.188023	2.585814
asleep	12.203290	4.207789	11.672053	3.735517	3.138648	0.538326
at	11.312125	1.179501	11.884968	1.842219	1.571893	0.486002
aunt	13.020142	8.023277	11.442360	8.185060	3.442304	0.388638
awake	12.055811	4.972421	10.963907	3.186128	3.897275	0.614874
away	12.147687	2.967358	13.847726	2.541610	1.997365	0.910077
baby	10.649298	2.826398	12.539082	3.670386	1.082867	0.822215
babysitter	13.670439	5.869632	12.153693	5.297284	3.677666	0.528042
back	12.012125	3.646532	14.786403	4.194846	1.160732	0.812026
backyard	13.267604	5.980992	11.539747	5.848928	3.455201	0.459686
bad	12.404620	5.270435	13.419009	3.925138	2.461606	1.304667
ball	11.742245	1.988856	16.742245	-2.249186	2.046419	2.099840
balloon	11.495206	4.720854	11.433800	4.880815	2.783877	0.580476
banana	11.893837	4.857007	15.899184	2.754840	1.998557	1.989805
basement	12.501866	6.422028	12.491595	3.512614	3.761769	1.209726
