short,item_definition,status
allgone,all gone,auto_exact
asleep,asleep,auto_exact
awake,awake,auto_exact
bad,bad,auto_exact
better,better,auto_exact
big,big,auto_exact
black,black,auto_exact
blue,blue,auto_exact
broken,broken,auto_exact
brown,brown,auto_exact
careful,careful,auto_exact
clean2,clean (description),manual_disambig
cold,cold,auto_exact
cute,cute,auto_exact
dark,dark,auto_exact
dirty,dirty,auto_exact
dry2,dry (description),manual_disambig
empty,empty,auto_exact
fast,fast,auto_exact
fine,fine,auto_exact
first,first,auto_exact
full,full,auto_exact
gentle,gentle,auto_exact
good,good,auto_exact
green,green,auto_exact
happy,happy,auto_exact
hard,hard,auto_exact
heavy,heavy,auto_exact
high,high,auto_exact
hot,hot,auto_exact
hungry,hungry,auto_exact
hurt,hurt,auto_exact
last,last,auto_exact
little,little (description),manual_disambig
long,long,auto_exact
loud,loud,auto_exact
mad,mad,auto_exact
naughty,naughty,auto_exact
new,new,auto_exact
nice,nice,auto_exact
noisy,noisy,auto_exact
old,old,auto_exact
orange2,orange (description),manual_disambig
poor,poor,auto_exact
pretty,pretty,auto_exact
quiet,quiet,auto_exact
red,red,auto_exact
sad,sad,auto_exact
scared,scared,manual_disambig
sick,sick,auto_exact
sleepy,sleepy,auto_exact
slow,slow,auto_exact
soft,soft,auto_exact
sticky,sticky,auto_exact
stuck,stuck,auto_exact
thirsty,thirsty,manual_disambig
tiny,tiny,auto_exact
tired,tired,auto_exact
wet,wet,auto_exact
white,white,auto_exact
windy,windy,manual_disambig
yellow,yellow,manual_disambig
yucky,yucky,manual_disambig
after,after,auto_exact
before,before,auto_exact
day,day,auto_exact
later,later,auto_exact
morning,morning,manual_disambig
night,night,auto_exact
now,now,auto_exact
time,time,auto_exact
today,today,auto_exact
tomorrow,tomorrow,manual_disambig
tonight,tonight,manual_disambig
yesterdy,yesterday,manual_disambig
he,he,auto_exact
her,her,auto_exact
hers,hers,auto_exact
him,him,auto_exact
his,his,auto_exact
i,I,auto_exact
it,it,auto_exact
me,me,auto_exact
mine,mine,auto_exact
my,my,auto_exact
myself,myself,manual_disambig
our,our,auto_exact
she,she,auto_exact
that,that,auto_exact
their,their,auto_exact
them,them,auto_exact
these,these,auto_exact
they,they,auto_exact
this,this,auto_exact
those,those,auto_exact
us,us,auto_exact
we,we,auto_exact
you,you,auto_exact
your,your,auto_exact
yourself,yourself,manual_disambig
how,how,auto_exact
what,what,auto_exact
when,when,auto_exact
where,where,auto_exact
which,which,auto_exact
who,who,auto_exact
why,why,auto_exact
about,about,auto_exact
above,above,auto_exact
around,around,auto_exact
atprep,at,manual_disambig
away,away,auto_exact
back,back,auto_exact
behind,behind,auto_exact
beside,beside,auto_exact
byprep,by,manual_disambig
down,down,auto_exact
for,for,auto_exact
here,here,auto_exact
inside,inside/in,manual_disambig
into,into,auto_exact
nextto,next to,manual_disambig
of,of,auto_exact
off,off,auto_exact
on,on,auto_exact
ontopof,on top of,manual_disambig
out,out,auto_exact
over,over,auto_exact
there,there,auto_exact
toprep,to,manual_disambig
underprep,under,manual_disambig
upprep,up,manual_disambig
withprep,with,manual_disambig
a,a,auto_exact
allquant,all,manual_disambig
alot,a lot,auto_exact
an,an,auto_exact
another,another,manual_disambig
any,any,auto_exact
each,each,auto_exact
every,every,auto_exact
more,more,auto_exact
much,much,auto_exact
notquant,not,manual_disambig
none,none,auto_exact
other,other,auto_exact
same,same,auto_exact
some,some,auto_exact
the,the,auto_exact
too,too,auto_exact
am,am,auto_exact
are,are,auto_exact
be,be,auto_exact
can2,can (auxiliary),manual_disambig
could,could,auto_exact
did,did/did ya,manual_disambig
do,do,auto_exact
does,does,auto_exact
dont,don't,auto_exact
gonna,gonna/going to,manual_disambig
gotta,gotta/got to,manual_disambig
hafta,hafta/have to,manual_disambig
is,is,auto_exact
lemme,lemme/let me,manual_disambig
need,need/need to,manual_disambig
try,try/try to,manual_disambig
wanna,wanna/want to,manual_disambig
was,was,auto_exact
were,were,auto_exact
will,will,auto_exact
would,would,auto_exact
andconn,and,manual_disambig
because,because,auto_exact
but,but,auto_exact
ifconn,if,manual_disambig
soconn,so,manual_disambig
thenconn,then,manual_disambig
