"lab_subject_id","study","age","form","item","produces","short","mapping_status","source_file"
"10","totlot",18,"WS","blanket",0,"blanket","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","belly button",0,"bllybttn","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","block",0,"block","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","blow",0,"blow","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","blue",1,"blue","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","boat",0,"boat","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","book",1,"book","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","boots",0,"boots","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bottle",0,"bottle","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bowl",0,"bowl","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","box",0,"box","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","boy",0,"boy","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bread",1,"bread","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","break",0,"break","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","breakfast",0,"breakfst","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bring",0,"bring","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","broken",0,"broken","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","broom",0,"broom","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","brother",0,"brother","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","brown",0,"brown","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","brush",0,"brush","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bubbles",0,"bubbles","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bucket",0,"bucket","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bug",0,"bug","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","build",0,"build","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bump",0,"bump","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bunny",1,"bunny","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bus",0,"bus","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","but",0,"but","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","butter",0,"butter","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","buttocks/bottom*",0,"buttocks","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","button",0,"button","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","butterfly",0,"buttrfly","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","buy",0,"buy","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","bye",0,"bye","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","by",0,"byprep","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cake",0,"cake","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","call (on phone)",0,"callnphn","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","camera",0,"camera","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","camping",0,"camping","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","can (object)",0,"can1","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","can (auxiliary)",0,"can2","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","candy",0,"candy","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","car",0,"car","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","careful",0,"careful","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","carrots",0,"carrots","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","carry",0,"carry","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cat",0,"cat","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","catch",0,"catch","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cereal",0,"cereal","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","chair",0,"chair","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","chalk",0,"chalk","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","chase",0,"chase","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cheek",0,"cheek","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cheerios",0,"cheerios","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cheese",0,"cheese","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","chicken (animal)",0,"chicken1","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","chicken (food)",0,"chicken2","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","child",0,"child","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","child's own name",1,"childname","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","chin",0,"chin","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","chocolate",0,"chocolat","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","choo choo",0,"choochoo","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","church*",0,"church","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","circus",0,"circus","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","clap",0,"clap","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","clean (action)",0,"clean1","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","clean (description)",0,"clean2","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","climb",0,"climb","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","clock",0,"clock","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","close",0,"close","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","closet",0,"closet","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cloud",0,"cloud","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","clown",0,"clown","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","coat",0,"coat","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cock-a-doodle-doo",0,"cockddld","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","coffee",0,"coffee","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","coke",0,"coke","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cold",0,"cold","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","comb",0,"comb","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cook",0,"cook","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cookie",1,"cookie","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","corn",0,"corn","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","couch",0,"couch","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","could",0,"could","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","country",0,"country","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cover",0,"cover","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cow",0,"cow","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cowboy",0,"cowboy","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cracker",1,"cracker","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","crayon",0,"crayon","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","crib",0,"crib","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cry",0,"cry","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cup",1,"cup","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cut",0,"cut","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","cute",0,"cute","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","daddy*",0,"daddy","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dance",0,"dance","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dark",0,"dark","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","day",0,"day","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","deer",0,"deer","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","diaper",1,"diaper","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","did/did ya",0,"did","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dinner",0,"dinner","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dirty",0,"dirty","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dish",0,"dish","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","do",0,"do","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","doctor",0,"doctor","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","does",0,"does","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dog",1,"dog","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","doll",0,"doll","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","donkey",0,"donkey","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","don't",0,"dont","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","donut",0,"donut","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","door",0,"door","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","down",0,"down","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","downtown",0,"downtown","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","draw",0,"draw","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","drawer",0,"drawer","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dress (object)",0,"dress","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","drink (beverage)",0,"drink1","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","drink (action)",0,"drink2","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","drive",0,"drive","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","drop",0,"drop","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dry (action)",0,"dry1","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dry (description)",0,"dry2","manual_disambig","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dryer",0,"dryer","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","duck",1,"duck","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","dump",0,"dump","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","each",0,"each","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","ear",0,"ear","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","eat",0,"eat","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","egg",0,"egg","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","elephant",0,"elephant","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","empty",0,"empty","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","every",0,"every","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","eye",1,"eye","auto_exact","TL_{18,21,25}m_WS.xlsx"
"10","totlot",18,"WS","face",0,"face","auto_exact","TL_{18,21,25}m_WS.xlsx"
