cohort,paper_code,language,child_id,age,form,k,n
ELENA,FMW2013,English,4856,18,WS,35,680
ELENA,FMW2013,English,4856,21,WS,202,680
ELENA,FMW2013,English,4856,24,WS,644,680
ELENA,FMW2013,English,4943,18,WS,389,680
ELENA,FMW2013,English,4943,21,WS,566,680
ELENA,FMW2013,English,4943,24,WS,581,680
ELENA,FMW2013,English,6117,18,WS,251,680
ELENA,FMW2013,English,6117,21,WS,506,680
ELENA,FMW2013,English,6117,24,WS,548,680
ELENA,FMW2013,English,6135,17,WS,16,680
ELENA,FMW2013,English,6135,21,WS,209,680
ELENA,FMW2013,English,6135,24,WS,333,680
ELENA,FMW2013,English,6152,18,WS,169,680
ELENA,FMW2013,English,6152,21,WS,258,680
ELENA,FMW2013,English,6152,25,WS,254,680
ELENA,FMW2013,English,6229,17,WS,265,680
ELENA,FMW2013,English,6229,21,WS,480,680
ELENA,FMW2013,English,6229,24,WS,554,680
ELENA,FMW2013,English,6296,18,WS,249,680
ELENA,FMW2013,English,6296,21,WS,406,680
ELENA,FMW2013,English,6296,24,WS,501,680
ELENA,FMW2013,English,6316,18,WS,256,680
ELENA,FMW2013,English,6316,21,WS,432,680
ELENA,FMW2013,English,6316,24,WS,576,680
ELENA,FMW2013,English,6342,18,WS,191,680
ELENA,FMW2013,English,6342,21,WS,277,680
ELENA,FMW2013,English,6342,24,WS,546,680
ELENA,FMW2013,English,6356,18,WS,138,680
ELENA,FMW2013,English,6356,22,WS,261,680
ELENA,FMW2013,English,6356,24,WS,313,680
ELENA,FMW2013,English,6357,18,WS,31,680
ELENA,FMW2013,English,6357,21,WS,54,680
ELENA,FMW2013,English,6357,24,WS,106,680
ELENA,FMW2013,English,6358,18,WS,371,680
ELENA,FMW2013,English,6358,21,WS,471,680
ELENA,FMW2013,English,6358,24,WS,590,680
ELENA,FMW2013,English,6367,18,WS,245,680
ELENA,FMW2013,English,6367,20,WS,417,680
ELENA,FMW2013,English,6367,24,WS,494,680
ELENA,FMW2013,English,6368,18,WS,74,680
ELENA,FMW2013,English,6368,21,WS,188,680
ELENA,FMW2013,English,6368,24,WS,266,680
ELENA,FMW2013,English,6377,18,WS,69,680
ELENA,FMW2013,English,6377,21,WS,207,680
ELENA,FMW2013,English,6377,25,WS,398,680
ELENA,FMW2013,English,6378,18,WS,75,680
ELENA,FMW2013,English,6378,21,WS,223,680
ELENA,FMW2013,English,6378,24,WS,300,680
ELENA,FMW2013,English,6403,18,WS,265,680
ELENA,FMW2013,English,6403,21,WS,425,680
