short,item_definition,status
SECARSE,secar(se),auto_exact
SED,sed,auto_exact
SENOR,señor,auto_exact
SENORA,señora,auto_exact
SENTARSE,sentar(se),auto_exact
SER,ser,auto_exact
SHORTS,shorts,auto_exact
SI,sí,auto_exact
SILLA,silla,auto_exact
SOFA,sofá,auto_exact
SOL,sol,auto_exact
SOMBRERO,sombrero,auto_exact
SOPA,sopa,auto_exact
SOPLAR,soplar,auto_exact
SU,su,auto_exact
SUAVE,suave,auto_exact
SUBIR,subir,auto_exact
SUCIO,sucio,auto_exact
SUENO,sueño,auto_exact
SUETER,suéter,auto_exact
TAMBIEN,también,auto_exact
TAMBOR,tambor,auto_exact
TAZA,taza,auto_exact
TE,te,auto_exact
TECHO,techo,auto_exact
TELEFONO,teléfono,auto_exact
TEMPRANO,temprano,auto_exact
TENEDOR,tenedor,auto_exact
TENER,tener,auto_exact
TIA,tía,auto_exact
TIGRE,tigre,auto_exact
TIJERAS,tijeras,auto_exact
TINA,tina,auto_exact
TIO,tío,auto_exact
TIRAR,tirar,auto_exact
TOALLA,toalla,auto_exact
TOCAR,tocar,auto_exact
TODO,todo,auto_exact
TORTUGA,tortuga,auto_exact
TRABAJAR,trabajar,auto_exact
TRAPO,trapo,auto_exact
TREN,tren,auto_exact
TRISTE,triste,auto_exact
TU,tú,auto_exact
TUTU,tutú,auto_exact
TUYA,tuya,auto_exact
TUYAS,tuyas,auto_exact
TUYO,tuyo,auto_exact
TUYOS,tuyos,auto_exact
UN,un,auto_exact
UNA,una,auto_exact
UNAS,unas,auto_exact
UNOS,unos,auto_exact
UVAS,uvas,auto_exact
VACA,vaca,auto_exact
VACIO,vacío,auto_exact
VASO,vaso,auto_exact
VELA,vela,auto_exact
VENADO,venado,auto_exact
VENTANA,ventana,auto_exact
VER,ver,auto_exact
VERDE,verde,auto_exact
VESTIDO,vestido,auto_exact
VIEJO,viejo,auto_exact
YA,ya,auto_exact
YO,yo,auto_exact
ZAPATO,zapato,auto_exact
ADIOSBYE,NA,needs_review
AHORITA,NA,needs_review
ALBRPISC,NA,needs_review
APURAR,NA,needs_review
AQUELA,NA,needs_review
ASPIRDOR,NA,needs_review
BABERA,NA,needs_review
BICICLET,NA,needs_review
BOTLMAML,NA,needs_review
BUENDIAS,NA,needs_review
BUENNOCH,NA,needs_review
CAER,NA,needs_review
CALCETIN,NA,needs_review
CAMIBOMB,NA,needs_review
CAMION,NA,needs_review
CARRO,NA,needs_review
CEPIDNTE,NA,needs_review
CHICHI,NA,needs_review
CHUPETE,NA,needs_review
CIGARRS,NA,needs_review
COCHERA,NA,needs_review
COMER,NA,needs_review
COSQLITS,NA,needs_review
DESYUNAR,NA,needs_review
DIFERNTE,NA,needs_review
DONDESTA,NA,needs_review
DORMIR,NA,needs_review
EL1,NA,needs_review
EL2,NA,needs_review
ESPERSE,NA,needs_review
GLOBO,NA,needs_review
GUAJOLOT,NA,needs_review
HACERMEM,NA,needs_review
HELADO,NA,needs_review
HIPPOTMO,NA,needs_review
IGLSTMPL,NA,needs_review
IR,NA,needs_review
LAVAR,NA,needs_review
LLEVAR,NA,needs_review
MAMA,NA,needs_review
MANOS1,NA,needs_review
MANOS2,NA,needs_review
NOMBRNIN,NA,needs_review
OTRAVEZ,NA,needs_review
PAPA,NA,needs_review
PARAR,NA,needs_review
PEGAR,NA,needs_review
PESCADO1,NA,needs_review
PIPI,NA,needs_review
PLATANO,NA,needs_review
PONER,NA,needs_review
QIQIRIQI,NA,needs_review
QUESDILA,NA,needs_review
REFRIG,NA,needs_review
REGADERA,NA,needs_review
RESBALD,NA,needs_review
RODILLAS,NA,needs_review
ROPERO,NA,needs_review
SALCHCH,NA,needs_review
SHHH,NA,needs_review
SODA,NA,needs_review
TELEVISN,NA,needs_review
TENGMANT,NA,needs_review
TIENMERC,NA,needs_review
TOMAR,NA,needs_review
TORTILA,NA,needs_review
TORTLITA,NA,needs_review
UNODSTRS,NA,needs_review
ZOOLOGIC,NA,needs_review
