short,item_definition,status
ABAJO,abajo,auto_exact
ABEJA,abeja,auto_exact
ABRIR,abrir,auto_exact
ABUELA,abuela,auto_exact
ABUELO,abuelo,auto_exact
ACABARSE,acabar(se),auto_exact
ACERRIN,acerrín,auto_exact
ADENTRO,adentro,auto_exact
AFUERA,afuera,auto_exact
AGUA,agua,auto_exact
AHI,ahí,auto_exact
ALLAALLI,alla/allí,auto_exact
ALMOHADA,almohada,auto_exact
AM,¡am!,auto_exact
AMARILLO,amarillo,auto_exact
ANIMAL,animal,auto_exact
APAGAR,apagar,auto_exact
AQUEL,aquel,auto_exact
AQUI,aquí,auto_exact
ARANA,araña,auto_exact
ARBOL,árbol,auto_exact
ARDILLA,ardilla,auto_exact
ARETES,aretes,auto_exact
ARRIBA,arriba,auto_exact
ARROZ,arroz,auto_exact
ATOLE,atole,auto_exact
ATRAS,atrás,auto_exact
AVENTAR,aventar,auto_exact
AVION,avión,auto_exact
AY,¡ay!,auto_exact
AYER,ayer,auto_exact
AYUDAR,ayudar,auto_exact
AZUL,azul,auto_exact
BACINICA,bacinica,auto_exact
BAILAR,bailar,auto_exact
BANO,baño,auto_exact
BARCO,barco,auto_exact
BASURA,basura,auto_exact
BEBE,bebé,auto_exact
BEEMEE,bee/mee,auto_exact
BESITOS,besitos,auto_exact
BIGOTE,bigote,auto_exact
BOCA,boca,auto_exact
BOLSA,bolsa,auto_exact
BONITA,bonita,auto_exact
BORREGO,borrego,auto_exact
BOTAS,botas,auto_exact
BOTON,botón,auto_exact
BRAZOS,brazos,auto_exact
BRINCAR,brincar,auto_exact
BUHO,búho,auto_exact
BURRO,burro,auto_exact
CABALLO,caballo,auto_exact
CABEZA,cabeza,auto_exact
CABRA,cabra,auto_exact
CACHETE,cachete,auto_exact
CAFE,café,auto_exact
CAJA,caja,auto_exact
CAJON,cajón,auto_exact
CALIENTE,caliente,auto_exact
CALLE,calle,auto_exact
CALZON,calzón,auto_exact
CAMA,cama,auto_exact
CAMINAR,caminar,auto_exact
CAMPO,campo,auto_exact
CANSADO,cansado,auto_exact
CANTAR,cantar,auto_exact
CARA,cara,auto_exact
CARNE,carne,auto_exact
CARREOLA,carreola,auto_exact
CASA,casa,auto_exact
CENAR,cenar,auto_exact
CEPILLO,cepillo,auto_exact
CEREAL,cereal,auto_exact
CERRAR,cerrar,auto_exact
CHICO,chico,auto_exact
CHILE,chile,auto_exact
CIELO,cielo,auto_exact
CIERRE,cierre,auto_exact
COBIJA,cobija,auto_exact
COCINA,cocina,auto_exact
COLLAR,collar,auto_exact
COLUMPIO,columpio,auto_exact
COMIDA,comida,auto_exact
COMO,cómo,auto_exact
CONEJO,conejo,auto_exact
CONTENTO,contento,auto_exact
CORRER,correr,auto_exact
CUACUA,cuacuá,auto_exact
CUADRO,cuadro,auto_exact
CUAL,cuál,auto_exact
CUARTO,cuarto,auto_exact
CUCHARA,cuchara,auto_exact
CUCHILLO,cuchillo,auto_exact
CUIDADO,cuidado,auto_exact
CUNA,cuna,auto_exact
DAR,dar,auto_exact
DE,de,auto_exact
DECIR,decir,auto_exact
DEDOS,dedos,auto_exact
DESPUES,después,auto_exact
DIA,día,auto_exact
DIBUJAR,dibujar,auto_exact
DIENTES,dientes,auto_exact
DIFICIL,difícil,auto_exact
DINERO,dinero,auto_exact
DOLER,doler,auto_exact
DULCE,dulce,auto_exact
ELEFANTE,elefante,auto_exact
ELLA,ella,auto_exact
ELLAS,ellas,auto_exact
ELLOS,ellos,auto_exact
EMPUJAR,empujar,auto_exact
EN,en,auto_exact
ENCIMA,encima,auto_exact
ENFERMO,enfermo,auto_exact
ENOJADO,enojado,auto_exact
ENSENAR,enseñar,auto_exact
ESA,esa,auto_exact
ESAS,esas,auto_exact
ESCALERA,escalera,auto_exact
ESCOBA,escoba,auto_exact
ESCRIBIR,escribir,auto_exact
ESCUELA,escuela,auto_exact
ESE,ese,auto_exact
ESO,eso,auto_exact
ESOS,esos,auto_exact
ESPEJO,espejo,auto_exact
ESTA,ésta,auto_exact
ESTAR,estar,auto_exact
ESTAS,éstas,auto_exact
ESTE,éste,auto_exact
ESTO,esto,auto_exact
ESTOS,éstos,auto_exact
ESTRELLA,estrella,auto_exact
ESTUFA,estufa,auto_exact
FALDA,falda,auto_exact
FAMILIA,familia,auto_exact
FEO,feo,auto_exact
FIESTA,fiesta,auto_exact
FLOR,flor,auto_exact
FOTOS,fotos,auto_exact
FRIJOLES,frijoles,auto_exact
FRIO,frío,auto_exact
FUCHI,fuchi,auto_exact
GALLETA,galleta,auto_exact
GALLINA,gallina,auto_exact
GATO,gato,auto_exact
GRACIAS,gracias,auto_exact
GRANDE,grande,auto_exact
GUAGUA,guaguá,auto_exact
GUAPO,guapo,auto_exact
HAMBRE,hambre,auto_exact
HERMANA,hermana,auto_exact
HERMANO,hermano,auto_exact
HOLA,hola,auto_exact
HORMIGA,hormiga,auto_exact
HORNO,horno,auto_exact
HOY,hoy,auto_exact
HUEVO,huevo,auto_exact
IGUAL,igual,auto_exact
JABON,jabón,auto_exact
JAMON,jamón,auto_exact
JARDIN,jardín,auto_exact
JIRAFA,jirafa,auto_exact
JUGAR,jugar,auto_exact
JUGO,jugo,auto_exact
JUGUETE,juguete,auto_exact
LA,la,auto_exact
LAPIZ,lápiz,auto_exact
LAS,las,auto_exact
LAVABO,lavabo,auto_exact
LE,le,auto_exact
LECHE,leche,auto_exact
LEER,leer,auto_exact
LENGUA,lengua,auto_exact
LENTES,lentes,auto_exact
LEON,león,auto_exact
LES,les,auto_exact
LIBRO,libro,auto_exact
LIMPIO,limpio,auto_exact
LLAVES,llaves,auto_exact
LLENO,lleno,auto_exact
LLORAR,llorar,auto_exact
LLUVIA,lluvia,auto_exact
LO,lo,auto_exact
LOBO,lobo,auto_exact
LOS,los,auto_exact
LUNA,luna,auto_exact
LUZ,luz,auto_exact
MADRINA,madrina,auto_exact
MAESTRA,maestra,auto_exact
MALO,malo,auto_exact
MANANA,mañana,auto_exact
MANZANA,manzana,auto_exact
MARIPOSA,mariposa,auto_exact
MARTILLO,martillo,auto_exact
MAS,más,auto_exact
ME,me,auto_exact
MEDICINA,medicina,auto_exact
MESA,mesa,auto_exact
METERSE,meter(se),auto_exact
MIA,mía,auto_exact
MIAS,mías,auto_exact
MIAU,miau,auto_exact
MIEDO,miedo,auto_exact
MIO,mío,auto_exact
MIOS,míos,auto_exact
MIRAR,mirar,auto_exact
MOJARSE,mojar(se),auto_exact
MONO,mono,auto_exact
MORDER,morder,auto_exact
MOSCA,mosca,auto_exact
MOTO,moto,auto_exact
MUCHO,mucho,auto_exact
MUNECA,muñeca,auto_exact
MUU,muu,auto_exact
NADA,nada,auto_exact
NANA,nana,auto_exact
NARANJA,naranja,auto_exact
NARIZ,nariz,auto_exact
NIEVE,nieve,auto_exact
NINA,niña,auto_exact
NINO,niño,auto_exact
NO,no,auto_exact
NOCHE,noche,auto_exact
NOHAY,no hay,auto_exact
NUBE,nube,auto_exact
NUEVO,nuevo,auto_exact
OJITOS,ojitos,auto_exact
OJOS,ojos,auto_exact
OMBLIGO,ombligo,auto_exact
OREJAS,orejas,auto_exact
OSCURO,oscuro,auto_exact
OSITO,osito,auto_exact
OSO,oso,auto_exact
PADRINO,padrino,auto_exact
PAJARO,pájaro,auto_exact
PALETA,paleta,auto_exact
PAN,pan,auto_exact
PANAL,pañal,auto_exact
PANTALON,pantalón,auto_exact
PANZA,panza,auto_exact
PAPEL,papel,auto_exact
PARA,para,auto_exact
PARQUE,parque,auto_exact
PASTEL,pastel,auto_exact
PATO,pato,auto_exact
PEINARSE,peinar(se),auto_exact
PEINE,peine,auto_exact
PELO,pelo,auto_exact
PELOTA,pelota,auto_exact
PERRO,perro,auto_exact
PERSONA,persona,auto_exact
PESADO,pesado,auto_exact
PIEDRA,piedra,auto_exact
PIERNAS,piernas,auto_exact
PIES,pies,auto_exact
PIJAMA,pijama,auto_exact
PINGUINO,pingüino,auto_exact
PINTAR,pintar,auto_exact
PIOPIO,pío pío,auto_exact
PLANTA,planta,auto_exact
PLATO,plato,auto_exact
PLAYA,playa,auto_exact
PLAYERA,playera,auto_exact
POCO,poco,auto_exact
PODER,poder,auto_exact
POLLITO,pollito,auto_exact
POLLO,pollo,auto_exact
PORFAVOR,por favor,auto_exact
PORQUE,por qué,auto_exact
PRENDER,prender,auto_exact
PUERCO,puerco,auto_exact
PUERTA,puerta,auto_exact
PUM,¡pum!,auto_exact
QUE,qué,auto_exact
QUERER,querer,auto_exact
QUESO,queso,auto_exact
QUIEN,quién,auto_exact
RADIO,radio,auto_exact
RANA,rana,auto_exact
RATON,ratón,auto_exact
RECAMARA,recámara,auto_exact
RELOJ,reloj,auto_exact
ROJO,rojo,auto_exact
ROMPER,romper,auto_exact
ROTO,roto,auto_exact
SACAR,sacar,auto_exact
SALA,sala,auto_exact
SALUD,¡salud!,auto_exact
SE,se,auto_exact
