"item","short","lexical_category","prob","in_model_200","n_datasets","AM2018","FM2012","FMW2013","fernald_totlot","BabyView","SEEDLingS"
"it","it","function_words",0.0195574723180713,TRUE,6,1,1,1,1,1,1
"I","i","function_words",0.0181027929310106,TRUE,5,1,1,1,1,0,1
"what","what","function_words",0.0165498808841915,TRUE,6,1,1,1,1,1,1
"is","is","function_words",0.0124848369297208,TRUE,5,1,1,1,1,1,0
"on","on","function_words",0.0084999118112233,TRUE,6,1,1,1,1,1,1
"of","of","function_words",0.00657311186319604,TRUE,5,1,1,1,1,1,0
"are","are","function_words",0.00639464425320943,TRUE,5,1,1,1,1,1,0
"here","here","function_words",0.00616264797165233,TRUE,5,1,1,1,1,1,0
"there","there","function_words",0.00615184934593421,TRUE,6,1,1,1,1,1,1
"me","me","function_words",0.00544726804639043,TRUE,6,1,1,1,1,1,1
"with","withprep","function_words",0.00498060485541047,TRUE,5,1,1,1,1,1,0
"for","for","function_words",0.00457246324896743,TRUE,5,1,1,1,1,1,0
"at","atprep","function_words",0.00409047297632303,TRUE,5,1,1,1,1,1,0
"all","allquant","function_words",0.00360093527710144,TRUE,6,1,1,1,1,1,1
"how","how","function_words",0.00321183640848391,TRUE,6,1,1,1,1,1,1
"them","them","function_words",0.0029438447078664,TRUE,5,1,1,1,1,1,0
"my","my","function_words",0.00283980633535631,TRUE,6,1,1,1,1,1,1
"out","out","function_words",0.00277838189444355,TRUE,6,1,1,1,1,1,1
"about","about","function_words",0.00275701687151737,TRUE,5,1,1,1,1,1,0
"more","more","function_words",0.00248635454303409,TRUE,6,1,1,1,1,1,1
"her","her","function_words",0.00244025718378576,TRUE,6,1,1,1,1,1,1
"if","ifconn","function_words",0.00239984942303407,TRUE,5,1,1,1,1,1,0
"were","were","function_words",0.00237465262969179,TRUE,5,1,1,1,1,1,0
"down","down","function_words",0.00230962864687298,TRUE,6,1,1,1,1,1,1
"too","too","function_words",0.00216286022851053,TRUE,5,1,1,1,1,1,0
"when","when","function_words",0.00208935990507427,TRUE,6,1,1,1,1,1,1
"because","because","function_words",0.00198346370448365,TRUE,5,1,1,1,1,1,0
"back","back","function_words",0.00193910805906082,TRUE,6,1,1,1,1,1,1
"other","other","function_words",0.00124230641460429,TRUE,6,1,1,1,1,1,1
"could","could","function_words",0.00117681797476535,TRUE,5,1,1,1,1,1,0
"will","will","function_words",0.00100148544966464,TRUE,5,1,1,1,1,1,0
"another","another","function_words",0.000933558610469999,TRUE,6,1,1,1,1,1,1
"around","around","function_words",0.000806065158443126,TRUE,5,1,1,1,1,1,0
"away","away","function_words",0.000731287578201499,TRUE,6,1,1,1,1,1,1
"which","which","function_words",0.000649543142657858,TRUE,5,1,1,1,1,1,0
"into","into","function_words",0.000615637780188052,TRUE,5,1,1,1,1,1,0
"by","byprep","function_words",0.00057894567559744,TRUE,5,1,1,1,1,1,0
"their","their","function_words",0.000542834142281996,TRUE,5,1,1,1,1,1,0
"am","am","function_words",0.00029887809245644,TRUE,5,1,1,1,1,1,0
"every","every","function_words",0.000169294583838963,TRUE,5,1,1,1,1,1,0
"inside/in","inside","function_words",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"gotta/got to","gotta","function_words",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"need/need to","need","function_words",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"try/try to","try","function_words",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"each","each","function_words",0.000109727971006735,TRUE,5,1,1,1,1,1,0
"myself","myself","function_words",6.14244409127649e-05,TRUE,5,1,1,1,1,1,0
"none","none","function_words",4.2497817342291e-05,TRUE,6,1,1,1,1,1,1
"hers","hers","function_words",2.78674212080597e-05,TRUE,5,1,1,1,1,1,0
"beside","beside","function_words",1.95071948456418e-05,TRUE,5,1,1,1,1,1,0
"next to","nextto","function_words",1.04502829530224e-06,TRUE,4,1,1,1,1,0,0
"head","head","nouns",0.000503935866845746,TRUE,6,1,1,1,1,1,1
"hair","hair","nouns",0.000466082619704798,TRUE,6,1,1,1,1,1,1
"nose","nose","nouns",0.000394556238604112,TRUE,6,1,1,1,1,1,1
"door","door","nouns",0.000389911668402768,TRUE,6,1,1,1,1,1,1
"paper","paper","nouns",0.000338589167677925,TRUE,6,1,1,1,1,1,1
"train","train","nouns",0.0002804159259061,TRUE,6,1,1,1,1,1,1
"light","light","nouns",0.000250110105342336,TRUE,6,1,1,1,1,1,1
"plate","plate","nouns",0.000213766343516824,TRUE,6,1,1,1,1,1,1
"chocolate","chocolat","nouns",0.000199832632912795,TRUE,5,1,1,1,1,1,0
"zoo","zoo","nouns",0.000182996065932925,TRUE,6,1,1,1,1,1,1
"animal","animal","nouns",0.000173706925530239,TRUE,6,1,1,1,1,1,1
