short,item_definition,status,fuzzy_candidate,fuzzy_dist
A,a,auto_exact,NA,NA
ABAJO,abajo,auto_exact,NA,NA
ABEJA,abeja,auto_exact,NA,NA
ABRIGO,abrigo,auto_exact,NA,NA
ABRIR,abrir,auto_exact,NA,NA
ABUELA,abuela,auto_exact,NA,NA
ABUELO,abuelo,auto_exact,NA,NA
ACERRIN,acerrín,auto_exact,NA,NA
ADENTRO,adentro,auto_exact,NA,NA
AFUERA,afuera,auto_exact,NA,NA
AGARRAR,agarrar,auto_exact,NA,NA
AGUA,agua,auto_exact,NA,NA
AHI,ahí,auto_exact,NA,NA
AHITEVOY,ahí te voy,auto_exact,NA,NA
ALLA,allá,auto_exact,NA,NA
ALLI,allí,auto_exact,NA,NA
ALMOHADA,almohada,auto_exact,NA,NA
ALMORZAR,almorzar,auto_exact,NA,NA
ALRATO,al rato,auto_exact,NA,NA
ALTO,alto,auto_exact,NA,NA
AM,¡am!,auto_exact,NA,NA
AMARILLO,amarillo,auto_exact,NA,NA
AMIGA,amiga,auto_exact,NA,NA
AMIGO,amigo,auto_exact,NA,NA
ANDAR,andar,auto_exact,NA,NA
ANIMAL,animal,auto_exact,NA,NA
ANTES,antes,auto_exact,NA,NA
APAGAR,apagar,auto_exact,NA,NA
AQUEL,aquel,auto_exact,NA,NA
AQUI,aquí,auto_exact,NA,NA
ARANA,araña,auto_exact,NA,NA
ARBOL,árbol,auto_exact,NA,NA
ARDILLA,ardilla,auto_exact,NA,NA
ARETES,aretes,auto_exact,NA,NA
ARRIBA,arriba,auto_exact,NA,NA
ARROZ,arroz,auto_exact,NA,NA
ASI,así,auto_exact,NA,NA
ATOLE,atole,auto_exact,NA,NA
ATRAS,atrás,auto_exact,NA,NA
ATUN,atún,auto_exact,NA,NA
AUTOBUS,autobús,auto_exact,NA,NA
AVENTAR,aventar,auto_exact,NA,NA
AVER,a ver...,auto_exact,NA,NA
AVION,avión,auto_exact,NA,NA
AY,¡ay!,auto_exact,NA,NA
AYER,ayer,auto_exact,NA,NA
AYUDAR,ayudar,auto_exact,NA,NA
AZUCAR,azúcar,auto_exact,NA,NA
AZUL,azul,auto_exact,NA,NA
BACINICA,bacinica,auto_exact,NA,NA
BAILAR,bailar,auto_exact,NA,NA
BAJARSE,bajar(se),auto_exact,NA,NA
BANDERA,bandera,auto_exact,NA,NA
BANO,baño,auto_exact,NA,NA
BARBA,barba,auto_exact,NA,NA
BARCO,barco,auto_exact,NA,NA
BARRER,barrer,auto_exact,NA,NA
BASURA,basura,auto_exact,NA,NA
BAT,bat,auto_exact,NA,NA
BEBE,bebé,auto_exact,NA,NA
BEEMEE,bee/mee,auto_exact,NA,NA
BESAR,besar,auto_exact,NA,NA
BESITOS,besitos,auto_exact,NA,NA
BICHO,bicho,auto_exact,NA,NA
BIEN,bien,auto_exact,NA,NA
BIGOTE,bigote,auto_exact,NA,NA
BLANCO,blanco,auto_exact,NA,NA
BOCA,boca,auto_exact,NA,NA
BONITA,bonita,auto_exact,NA,NA
BORREGO,borrego,auto_exact,NA,NA
BOSQUE,bosque,auto_exact,NA,NA
BOTAS,botas,auto_exact,NA,NA
BOTON,botón,auto_exact,NA,NA
BRAVO,bravo,auto_exact,NA,NA
BRAZO,brazo,auto_exact,NA,NA
BRINCAR,brincar,auto_exact,NA,NA
BUENO,bueno,auto_exact,NA,NA
BUEY,buey,auto_exact,NA,NA
BUFANDA,bufanda,auto_exact,NA,NA
BUHO,búho,auto_exact,NA,NA
BURBUJAS,burbujas,auto_exact,NA,NA
BURRO,burro,auto_exact,NA,NA
BUSCAR,buscar,auto_exact,NA,NA
CABALLO,caballo,auto_exact,NA,NA
CABER,caber,auto_exact,NA,NA
CABEZA,cabeza,auto_exact,NA,NA
CACHETE,cachete,auto_exact,NA,NA
CAFE,café,auto_exact,NA,NA
CAJA,caja,auto_exact,NA,NA
CAJON,cajón,auto_exact,NA,NA
CALABAZA,calabaza,auto_exact,NA,NA
CALCETIN,calcetín,auto_exact,NA,NA
CALIENTE,caliente,auto_exact,NA,NA
CALLARSE,callar(se),auto_exact,NA,NA
CALLE,calle,auto_exact,NA,NA
CALZON,calzón,auto_exact,NA,NA
CAMA,cama,auto_exact,NA,NA
CAMARA,cámara,auto_exact,NA,NA
CAMINAR,caminar,auto_exact,NA,NA
CAMISA,camisa,auto_exact,NA,NA
CAMPO,campo,auto_exact,NA,NA
CANASTA,canasta,auto_exact,NA,NA
CANSADO,cansado,auto_exact,NA,NA
CANTAR,cantar,auto_exact,NA,NA
CARA,cara,auto_exact,NA,NA
CARGAR,cargar,auto_exact,NA,NA
CARNE,carne,auto_exact,NA,NA
CARREOLA,carreola,auto_exact,NA,NA
CASA,casa,auto_exact,NA,NA
CASSETTE,cassette,auto_exact,NA,NA
CEBRA,cebra,auto_exact,NA,NA
CENAR,cenar,auto_exact,NA,NA
CEPILLO,cepillo,auto_exact,NA,NA
CERCA,cerca,auto_exact,NA,NA
CEREAL,cereal,auto_exact,NA,NA
CERRAR,cerrar,auto_exact,NA,NA
CERRO,cerro,auto_exact,NA,NA
CHAMPU,champú,auto_exact,NA,NA
