"ckey","ii","n_admins","xi_median","xi_q5","xi_q95"
"Thal::E0002",1,3,-9.67198675,-9.819917695,-9.524522405
"Thal::E0004",2,3,-8.63471685,-8.78943714,-8.482812665
"Thal::E0005",3,3,-7.7838466,-7.936950545,-7.626589135
"Thal::E0008",4,3,-14.3247285,-14.6170222,-14.06975185
"Thal::E0010",5,3,-9.9467728,-10.0996497,-9.797269915
"Thal::E0011",6,3,-10.042673,-10.1884994,-9.89746744
"Thal::E0013",7,3,-7.63373805,-7.786598925,-7.48055033
"Thal::E0015",8,4,-8.0657665,-8.19722522,-7.93324298
"Thal::E0019",9,3,-8.59408715,-8.749093265,-8.439218425
"Thal::E0020",10,3,-10.095365,-10.23483725,-9.94471782
"Thal::E0022",11,3,-6.62444405,-6.7718686,-6.47096473
"Thal::E0023",12,3,-8.79738085,-8.94490371,-8.652857935
"Thal::E0025",13,3,-7.743208,-7.880779755,-7.600018615
"Thal::E0028",14,3,-6.497503,-6.64335387,-6.346337635
"Thal::E0030",15,3,-7.6509751,-7.807765505,-7.492303035
"Thal::E0032",16,3,-10.4358965,-10.5832153,-10.28041895
"Thal::E0033",17,3,-9.50907485,-9.658328525,-9.35990466
"Thal::E0036",18,3,-8.547675,-8.70408492,-8.39234564
"Thal::E0037",19,3,-9.18763865,-9.33383581,-9.041272525
"Thal::E0038",20,3,-8.04806665,-8.20663293,-7.895763405
"Thal::E0039",21,3,-8.82036155,-8.972820295,-8.674912135
"Thal::E0040",22,3,-6.84386855,-6.995107745,-6.695397165
"Thal::E0041",23,3,-10.116228,-10.26541145,-9.96935884
"Thal::E0042",24,3,-8.42809655,-8.57770555,-8.282889045
"Thal::E0043",25,3,-7.13038535,-7.281635895,-6.975154105
"Thal::E0047",26,3,-10.170655,-10.31691965,-10.0252646
"Thal::E0049",27,3,-9.73351125,-9.883464885,-9.58397045
"Thal::E0050",28,3,-8.8340313,-9.000623845,-8.674713765
"Thal::E0053",29,3,-9.63871185,-9.784277225,-9.493334125
"Thal::E0055",30,3,-8.40923135,-8.564943135,-8.258459105
"Thal::E0059",31,3,-9.6064984,-9.752183325,-9.46220661
"Thal::E0060",32,3,-9.1855205,-9.32903939,-9.042456715
"Thal::E0064",33,3,-8.7894629,-8.941310335,-8.638858815
"Thal::E0069",34,3,-12.2000615,-12.38071495,-12.02772075
"Thal::E0071",35,3,-11.916088,-12.08708875,-11.7435868
