"ckey","ii","n_admins","xi_median","xi_q5","xi_q95"
"Marchman::AC11M048",60,3,-10.876031,-10.9985504,-10.7551035
"Marchman::AC13M067",61,3,-7.41442825,-7.532066275,-7.29033573
"Marchman::AD08F059",62,3,-4.8977424,-5.01511684,-4.77761646
"Marchman::AF12M075",63,3,-7.46302205,-7.601305665,-7.32898892
"Marchman::AJ12M055",64,3,-8.1027348,-8.22169213,-7.981345475
"Marchman::AL02M097",65,3,-7.0501601,-7.17379698,-6.935200875
"Marchman::AL03F059",66,3,-9.13789175,-9.24726986,-9.02796087
"Marchman::AS12F123",67,3,-10.0604325,-10.1946052,-9.92214583
"Marchman::AS17F115",68,3,-8.71181865,-8.82204672,-8.60302648
"Marchman::BA03M088",69,3,-8.5972459,-8.706340305,-8.48959092
"Marchman::BD03F057",70,3,-6.44645695,-6.56362028,-6.329764635
"Marchman::BH11F095",71,3,-8.5501751,-8.659650905,-8.44304401
"Marchman::BO00M038",72,4,-8.9033621,-9.015391135,-8.79587105
"Marchman::BR03F018",73,3,-8.73977655,-8.846124225,-8.633198565
"Marchman::BR09M084",74,4,-10.606673,-10.71987155,-10.49488655
"Marchman::CB04M098",75,3,-8.4937558,-8.605019905,-8.38689398
"Marchman::CC02F059",76,3,-6.07325755,-6.2003108,-5.94124107
"Marchman::CG04F088",77,3,-10.0924915,-10.2008299,-9.977661995
"Marchman::CG04M108",78,3,-6.70686445,-6.81732875,-6.59622375
"Marchman::CH02F038",79,3,-10.5317335,-10.644387,-10.42007985
"Marchman::CH03F018",80,3,-7.04611295,-7.16467246,-6.93190479
"Marchman::CH04M048",81,3,-8.3178215,-8.431115295,-8.20757518
"Marchman::CK03M059",82,4,-10.7633965,-10.87828055,-10.64477385
"Marchman::CL03M018",83,3,-8.46427895,-8.567225355,-8.35523803
"Marchman::CM02M057",84,3,-7.78095455,-7.888893725,-7.675657785
"Marchman::CM02M059",85,3,-8.2822819,-8.39123666,-8.174024455
"Marchman::CO04M098",86,3,-7.6376209,-7.75859533,-7.51928694
"Marchman::CR12F087",87,3,-8.29789015,-8.409012005,-8.18829468
"Marchman::CS02M058",88,3,-11.067299,-11.18082395,-10.95097695
"Marchman::CS05M098",89,3,-7.04442205,-7.16391105,-6.925376265
"Marchman::CS06F077",90,3,-8.1483905,-8.258220195,-8.038095965
"Marchman::DI02M038",91,3,-8.58551635,-8.69464095,-8.47953301
"Marchman::DO09M025",92,3,-9.60575125,-9.738066775,-9.47027795
"Marchman::DS02M038",93,3,-9.8191735,-9.937862035,-9.70252367
"Marchman::ES10F115",94,3,-8.9369634,-9.03808373,-8.83237874
"Marchman::GA04M107",95,3,-9.42315595,-9.546515235,-9.30118338
"Marchman::GB04M107",96,3,-8.11226525,-8.217742235,-8.007765
"Marchman::GW03F038",97,3,-8.81921905,-8.924257805,-8.71272705
"Marchman::GY03F038",98,3,-6.362341,-6.478694145,-6.242698235
"Marchman::HB06M098",99,3,-8.415105,-8.525684175,-8.31137152
"Marchman::HC03F038",100,3,-11.7711585,-11.9130163,-11.63157765
"Marchman::HH03F057",101,3,-6.59933695,-6.7118868,-6.48265729
"Marchman::IM04M038",102,3,-7.20237025,-7.31628384,-7.08531004
"Marchman::IN12M026",103,3,-10.4823925,-10.62156325,-10.3406413
"Marchman::JB11M105",104,4,-11.574498,-11.7464445,-11.41387865
"Marchman::JC12M114",105,3,-8.4826223,-8.59394628,-8.371358805
"Marchman::JC15M084",106,3,-9.7067756,-9.82047603,-9.59580063
"Marchman::JD03M059",107,3,-7.70513435,-7.80749325,-7.60331384
"Marchman::JD05M047",108,4,-5.60200715,-5.713789385,-5.489554855
"Marchman::JF06M088",109,3,-7.23981535,-7.340101455,-7.135852235
"Marchman::JH12F115",110,4,-7.0800652,-7.170509215,-6.986468185
"Marchman::JJ12M055",111,3,-10.826422,-10.9467204,-10.7109315
"Marchman::JK02F107",112,3,-8.92904515,-9.03810379,-8.82371197
"Marchman::JW00M038",113,3,-6.4509879,-6.565027765,-6.341381275
"Marchman::JW02M107",114,3,-7.97827925,-8.10118455,-7.86056796
"Marchman::KB03M088",115,3,-9.46450225,-9.574446165,-9.356681635
"Marchman::KK12F044",116,3,-8.08656185,-8.19720048,-7.97926356
"Marchman::KM15F115",117,3,-9.13636745,-9.24865171,-9.026816335
"Marchman::KO05M098",118,3,-7.3271267,-7.439294925,-7.21471174
"Marchman::KS03M018",119,3,-6.75004675,-6.867684385,-6.63329893
"Marchman::KS09M024",120,3,-11.1898145,-11.371309,-11.0128189
"Marchman::LC05F047",121,4,-6.63231195,-6.740348885,-6.523991835
"Marchman::MA03F059",122,3,-9.0041273,-9.113442865,-8.887463105
"Marchman::MB02M018",123,3,-6.88270185,-6.994727295,-6.767713275
"Marchman::MB03M018",124,3,-8.3162137,-8.42141943,-8.203833055
"Marchman::MB09M084",125,3,-11.223156,-11.40626075,-11.04385035
"Marchman::MM02F059",126,4,-8.19944855,-8.306488665,-8.095935085
"Marchman::NB03M038",127,3,-8.43357605,-8.54095313,-8.32691122
"Marchman::NB12F024",128,3,-12.8686235,-13.2032927,-12.56314575
"Marchman::OS06M098",129,3,-7.59443575,-7.70747376,-7.486151305
"Marchman::PB13M065",130,3,-8.24612485,-8.33947711,-8.151763795
"Marchman::PM03M059",131,3,-10.2494975,-10.38969665,-10.1166581
"Marchman::PW02M057",132,4,-5.90991585,-6.030608615,-5.785688815
"Marchman::PY12M036",133,3,-9.2039758,-9.36818856,-9.038906165
"Marchman::RM12F105",134,3,-4.62262965,-4.760937755,-4.48297186
"Marchman::RW02F018",135,3,-7.7824091,-7.88867924,-7.67452883
"Marchman::RW03F107",136,3,-10.451171,-10.60436285,-10.30496215
"Marchman::SA04F069",137,3,-6.9262514,-7.039355565,-6.81412029
"Marchman::SC05F098",138,3,-6.95135145,-7.07052182,-6.837407255
"Marchman::SG02F059",139,3,-8.74859995,-8.85161085,-8.64626265
"Marchman::SJ12M123",140,3,-11.315502,-11.51311325,-11.12949625
"Marchman::SK04F098",141,4,-14.832682,-15.11077855,-14.56669475
"Marchman::SL09F104",142,3,-8.8693582,-8.985880715,-8.75273438
"Marchman::SR02F059",143,3,-7.6840136,-7.788861145,-7.580789025
"Marchman::ST02F059",144,3,-8.6988699,-8.80422116,-8.59367594
"Marchman::SW03F018",145,3,-9.00883425,-9.113336145,-8.904552505
"Marchman::SW06F108",146,4,-7.16367375,-7.271444895,-7.05812845
"Marchman::TA12M103",147,3,-11.139869,-11.34733765,-10.93745515
"Marchman::TC02M047",148,3,-9.08890065,-9.201159175,-8.973456485
"Marchman::TH03M057",149,3,-9.0486814,-9.15522296,-8.941155855
"Marchman::TM03F018",150,4,-5.8981712,-6.01472393,-5.78504585
"Marchman::TM03F047",151,3,-6.19933965,-6.31743552,-6.082302805
"Marchman::TS02F018",152,3,-7.9854583,-8.09718895,-7.8767413
"Marchman::VJ02M057",153,3,-8.0457809,-8.150592355,-7.936248105
"Marchman::VL03F018",154,3,-8.53398955,-8.63577701,-8.42791912
"Marchman::WW04F067",155,3,-8.8071836,-8.919835585,-8.696445895
"Marchman::ZE06M039",156,3,-10.615591,-10.7354457,-10.49907485
"Marchman::ZM02F059",157,3,-6.2488,-6.36406473,-6.13549424
"Marchman::ZO02M047",158,3,-7.3880391,-7.522303035,-7.25034885
"Marchman::ZW02M057",159,3,-8.9048259,-9.004289985,-8.796667855
