"ckey","ii","n_admins","xi_median","xi_q5","xi_q95"
"Marchman::1",1,3,-7.7310175,-7.88367986,-7.58538651
"Marchman::10",2,3,-11.094019,-11.32408685,-10.8647819
"Marchman::101",3,3,-9.42634185,-9.6080109,-9.252583625
"Marchman::107",4,3,-10.468925,-10.8029879,-10.1737685
"Marchman::108",5,3,-7.92155695,-8.07998145,-7.77275641
"Marchman::109",6,3,-7.69615125,-7.84453602,-7.554983625
"Marchman::11",7,3,-9.98995895,-10.2297466,-9.76823214
"Marchman::114",8,3,-9.01839695,-9.21619311,-8.828305375
"Marchman::118",9,3,-8.7366044,-8.93219649,-8.55214782
"Marchman::119",10,3,-6.845029,-6.962410765,-6.72282678
"Marchman::12",11,3,-9.42640295,-9.571356595,-9.284713735
"Marchman::120",12,3,-7.4452172,-7.575235485,-7.31688718
"Marchman::13",13,3,-8.0469139,-8.183217585,-7.91034992
"Marchman::16",14,3,-10.6423255,-10.88478855,-10.40727415
"Marchman::17",15,3,-9.76985755,-10.00668705,-9.54323502
"Marchman::18",16,3,-10.298909,-10.52007175,-10.0917905
"Marchman::19",17,3,-6.96444165,-7.083918285,-6.84374313
"Marchman::2",18,3,-8.80007545,-8.93914922,-8.662949205
"Marchman::21",19,3,-10.5206855,-10.66707655,-10.3780446
"Marchman::27",20,3,-10.8152185,-10.97024365,-10.6617102
"Marchman::28",21,3,-10.8345955,-11.08213,-10.60738845
"Marchman::30",22,3,-8.92653115,-9.07497294,-8.78601329
"Marchman::31",23,3,-7.8254042,-7.98467917,-7.654572725
"Marchman::34",24,3,-13.330318,-13.59120935,-13.0816915
"Marchman::35",25,3,-8.3182153,-8.44839342,-8.184466455
"Marchman::40",26,3,-6.70941535,-6.830914725,-6.58697511
"Marchman::43",27,3,-11.167016,-11.33882125,-11.0000533
"Marchman::45",28,3,-9.1457869,-9.31016718,-8.979365455
"Marchman::46",29,3,-11.783451,-12.03602785,-11.5459103
"Marchman::47",30,3,-10.3226565,-10.50456605,-10.14249405
"Marchman::48",31,3,-9.8973122,-10.06109445,-9.738071355
"Marchman::49",32,3,-10.422919,-10.56961155,-10.28115295
"Marchman::50",33,3,-9.22904875,-9.370380795,-9.08844677
"Marchman::51",34,3,-14.2530245,-14.5433126,-13.9835736
"Marchman::52",35,3,-15.1807655,-15.5601293,-14.8389084
"Marchman::55",36,3,-9.91534085,-10.1301519,-9.709681205
"Marchman::56",37,3,-10.322415,-10.5340804,-10.12533285
"Marchman::58",38,3,-10.5432025,-10.81201665,-10.2764928
"Marchman::6",39,3,-6.26808655,-6.381135245,-6.148351955
"Marchman::61",40,3,-10.6956235,-10.9026378,-10.50137545
"Marchman::62",41,3,-13.0713975,-13.38654195,-12.77865195
"Marchman::65",42,3,-10.8702615,-11.0362573,-10.70624295
"Marchman::67",43,3,-11.2513915,-11.5775175,-10.95581385
"Marchman::73",44,3,-11.047523,-11.36086205,-10.7581995
"Marchman::76",45,3,-9.98494395,-10.20089955,-9.771730565
"Marchman::77",46,3,-12.144334,-12.6358899,-11.7032683
"Marchman::79",47,3,-7.792715,-7.93182505,-7.657683465
"Marchman::8",48,3,-10.1787785,-10.33394605,-10.028945
"Marchman::81",49,3,-10.5822415,-10.7777038,-10.3862506
"Marchman::82",50,3,-7.7407885,-7.873503725,-7.606969855
"Marchman::84",51,3,-10.250288,-10.42039335,-10.0886709
"Marchman::85",52,3,-10.3763055,-10.5307791,-10.2228783
"Marchman::86",53,3,-10.8897505,-11.15345945,-10.64458785
"Marchman::92",54,3,-8.2279586,-8.390305175,-8.07328769
"Marchman::95",55,3,-7.03374715,-7.15562602,-6.917060415
"Marchman::97",56,3,-7.3252008,-7.465645765,-7.17915291
"Marchman::AA02F057",57,3,-8.4333488,-8.537724115,-8.32801996
"Marchman::AB09M014",58,4,-9.6912245,-9.80606669,-9.575553155
"Marchman::AB11M035",59,3,-7.94461735,-8.05914296,-7.8364538
