"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","slope_median","slope_q5","slope_q95"
"Tsuji::O0028",1,3,-7.25640405,-7.57565222,-6.932688325,0.530669935,0.4733322055,0.590816375
"Tsuji::O0043",2,3,-6.96081765,-7.234008325,-6.70441142,0.35398173,0.318956975,0.3919629695
"Tsuji::O0083",3,3,-9.87100485,-10.1736367,-9.571527255,0.37007582,0.342276698,0.398817084
"Tsuji::O0104",4,3,-8.82387025,-9.12149866,-8.53944181,0.541002465,0.4973926935,0.585924847
"Tsuji::O0124",5,3,-6.71578025,-6.984257665,-6.44856554,0.529004565,0.475243824,0.5881728535
"Tsuji::O0197",6,3,-10.4608445,-10.808992,-10.13890115,0.484666025,0.447850453,0.523580504
"Tsuji::O0208",7,3,-11.9073825,-12.5156043,-11.38962705,0.291618415,0.1821447435,0.4218724795
"Tsuji::O0212",8,3,-8.2714891,-8.46768324,-8.07144769,0.539641935,0.489651292,0.5896637435
"Tsuji::O0256",9,3,-9.6698959,-10.0030498,-9.35090192,1.02799625,0.9580124005,1.102319395
"Tsuji::O0262",10,3,-12.590763,-13.73586155,-11.7502733,0.72829822,0.5215261755,1.01288504
"Tsuji::O0277",11,3,-11.6731585,-12.4385579,-11.0469318,0.771454065,0.662387116,0.9025168965
"Tsuji::O0287",12,3,-8.30560085,-8.49441597,-8.134564485,0.37005767,0.3355626115,0.406172088
"Tsuji::O0289",13,3,-8.9008081,-9.168980805,-8.65908246,0.556724055,0.505297896,0.612117084
"Tsuji::O0295",14,3,-9.70598515,-10.1404288,-9.318807125,0.94535831,0.8637445485,1.034515155
"Tsuji::O0314",15,3,-11.2099555,-11.64950575,-10.7948265,0.77803902,0.721949052,0.8376983865
"Tsuji::O0367",16,3,-8.11965645,-8.35069797,-7.893933525,0.417664365,0.3835295125,0.452937012
"Tsuji::O0473",17,3,-12.927098,-13.75846235,-12.21431025,0.550065165,0.436723424,0.6761255555
"Tsuji::O0531",18,3,-7.0600033,-7.29017249,-6.82843093,0.351121425,0.316917793,0.384895944
"Tsuji::O0536",19,3,-12.4636155,-13.0768793,-11.90748675,0.41815302,0.3686591315,0.4709072315
"Tsuji::O0552",20,3,-5.50235135,-5.80272703,-5.2053418,0.4793683,0.4136603215,0.556698399
"Tsuji::O0558",21,3,-10.469314,-10.8705837,-10.08144235,1.4233995,1.3239097,1.52652955
"Tsuji::S0109",22,3,-10.2797505,-10.73447695,-9.874047595,0.29234667,0.149671716,0.4414026995
"Tsuji::S0112",23,3,-8.54219315,-8.80501548,-8.284932685,0.47017843,0.3708275535,0.5749151025
"Tsuji::S0144",24,3,-8.358521,-8.61840998,-8.094860695,0.747955885,0.614458918,0.899877736
"Tsuji::S0147",25,3,-9.9146227,-10.3125781,-9.531545065,0.59297892,0.423647878,0.7921290495
"Tsuji::S0169",26,3,-9.99478315,-10.3851686,-9.61073264,0.52983126,0.362873369,0.7165869775
"Tsuji::S0175",27,4,-8.87030715,-9.416538245,-8.341354515,1.0177091,0.758575693,1.31394469
"Tsuji::S0307",28,3,-7.7889776,-8.10885733,-7.47889508,0.485837775,0.393896178,0.5865444395
"Tsuji::S0340",29,3,-10.735741,-11.15874775,-10.34218715,0.73645456,0.5259456885,0.993581179499999
"Tsuji::S0389",30,3,-11.716706,-12.4741524,-11.060316,0.304363285,0.0704361426,0.559049307
"Tsuji::S0402",31,3,-8.80044145,-9.410144095,-8.170061775,1.14940735,0.798356738,1.561646885
"Tsuji::S0414",32,3,-8.20678645,-8.45927017,-7.960317785,0.928877485,0.77359077,1.10830627
