"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","kappa_median","kappa_q5","kappa_q95"
"Marchman::1",1,3,-8.0711923,-8.28152033,-7.87688477,7.35821985,5.85850038,8.92185464
"Marchman::10",2,3,-10.4384115,-10.67360765,-10.2130256,3.27388595,2.29977017,4.31530281
"Marchman::100",3,2,-12.088473,-12.7853042,-11.4974672,1.10894585,-0.1892672385,2.646412825
"Marchman::1000",4,2,-5.67427045,-5.812537445,-5.541267295,2.2945642,1.76104737,2.83552009
"Marchman::1001",5,2,-10.577835,-11.07806895,-10.14951675,16.791721,15.5626273,18.1772257
"Marchman::1002",6,2,-10.505255,-12.45818705,-9.29649966,13.26398,10.2969355,18.09430395
"Marchman::1003",7,2,-9.7004336,-11.88992025,-8.27100697,12.702588,8.429113045,19.40556985
"Marchman::1004",8,2,-7.8463074,-8.068254535,-7.64818122,11.828063,10.37558905,13.5347414
"Marchman::1005",9,2,-7.41405395,-7.582429695,-7.252403905,5.29574445,4.82613128,5.768347175
"Marchman::1006",10,2,-8.2818545,-8.43992913,-8.12019459,1.64172545,1.244063625,2.02733765
"Marchman::1007",11,2,-7.6849666,-7.849336115,-7.52402429,8.2239173,7.47718945,9.018532075
"Marchman::1008",12,2,-7.32700745,-7.501044165,-7.16200794,11.794075,10.1601229,13.39611095
"Marchman::1009",13,2,-4.79285575,-6.633991415,-3.189859705,24.530152,16.89507635,33.23007065
"Marchman::101",14,3,-9.53800595,-9.727634245,-9.350666985,9.60059775,7.440783265,12.22439695
"Marchman::1010",15,2,-9.93130325,-10.1742824,-9.697724495,4.26375215,2.821937125,5.726700315
"Marchman::1011",16,2,-10.01353,-10.3951052,-9.680120205,10.7631505,9.52486872,12.11351605
"Marchman::1012",17,2,-6.91197265,-7.230704395,-6.645229625,7.9766925,7.034957395,9.209012605
"Marchman::1013",18,2,-11.531299,-12.68730545,-10.6930761,13.857422,12.02586015,16.29167395
"Marchman::1014",19,2,-9.87079595,-10.89173275,-9.136433315,17.582697,15.3746123,20.8041537
"Marchman::1015",20,2,-11.428822,-12.03630535,-10.92733025,9.4048383,7.56807825,11.5797467
"Marchman::1016",21,2,-7.581634,-7.76301874,-7.40165691,9.69727505,8.11586083,11.82049025
"Marchman::1017",22,2,-10.7673605,-11.28458485,-10.3632511,7.4060819,5.56239342,9.90402877
"Marchman::1018",23,2,-9.55161535,-11.4839483,-8.338103415,16.035601,12.35527325,21.88120695
