"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","kappa_median","kappa_q5","kappa_q95"
"Thal::E0002",1,3,-9.5832437,-9.84023258,-9.34569373,10.5108,9.894355475,11.1351761
"Thal::E0004",2,3,-8.99640285,-9.245683275,-8.7663451,12.2543775,11.6311435,12.8986921
"Thal::E0005",3,3,-7.88011375,-8.058120575,-7.70135283,11.531046,10.9965173,12.06041755
"Thal::E0008",4,3,-11.3956375,-11.66389625,-11.14390955,-0.0992991265,-0.9181611755,0.7033571515
"Thal::E0010",5,3,-9.9566848,-10.2580533,-9.68691798,10.772144,10.1174879,11.51515835
"Thal::E0011",6,3,-9.966493,-10.250245,-9.69147557,10.5386585,9.881059145,11.2431676
"Thal::E0013",7,3,-7.720576,-7.88716642,-7.549524185,11.5721725,11.0544142,12.1051259
"Thal::E0015",8,4,-8.16868335,-8.317291235,-8.02810246,11.5133345,11.02123065,12.01139405
"Thal::E0016",9,2,-8.667671,-8.930753525,-8.42359721,12.9429425,12.28025145,13.6338816
"Thal::E0019",10,3,-8.9974674,-9.246726875,-8.7602654,12.4344435,11.8129392,13.074007
"Thal::E0020",11,3,-9.27669355,-9.47739399,-9.07774325,8.1183799,7.62263292,8.648004315
"Thal::E0022",12,3,-6.4158711,-6.60981973,-6.219431845,14.81012,13.92434545,15.79490065
"Thal::E0023",13,3,-8.75791385,-8.97280103,-8.564066605,10.681923,10.1370557,11.2229344
"Thal::E0025",14,3,-8.32104715,-8.53876933,-8.109129165,15.5423355,14.80458855,16.33100535
"Thal::E0028",15,3,-6.52802565,-6.675929885,-6.377030975,10.793587,10.29196875,11.32143185
"Thal::E0030",16,3,-7.45287895,-7.591100835,-7.314132215,8.99318695,8.58593897,9.430286295
"Thal::E0032",17,3,-10.8855775,-11.3033706,-10.497563,11.8939635,10.9308543,12.87088805
"Thal::E0033",18,3,-10.398291,-10.7966391,-10.0412808,13.2986495,12.4378005,14.2315436
"Thal::E0036",19,3,-8.8047212,-9.025513915,-8.592589485,11.8858245,11.3346555,12.4889229
"Thal::E0037",20,3,-8.49355465,-8.66923877,-8.32768871,8.15935875,7.71968242,8.633675485
"Thal::E0038",21,3,-8.8107728,-9.07408311,-8.567929035,14.826046,14.116026,15.54498415
"Thal::E0039",22,3,-10.290771,-10.64421195,-9.96037127,15.822352,14.96492335,16.7002295
"Thal::E0040",23,3,-6.8449411,-7.01474554,-6.681734085,12.7708455,12.14808655,13.40716195
"Thal::E0041",24,3,-10.6311915,-11.03093135,-10.2745004,12.1148935,11.27801245,13.0397658
"Thal::E0042",25,3,-8.5632678,-8.76331398,-8.367350595,11.4441505,10.91533235,11.9909131
"Thal::E0043",26,3,-7.21098575,-7.38862396,-7.03048554,13.580564,12.94797355,14.26307625
"Thal::E0044",27,2,-5.86288255,-6.01800113,-5.703799605,10.074051,9.43291037,10.7592732
"Thal::E0047",28,3,-9.69178885,-9.94584117,-9.451648435,9.34007505,8.75368108,9.959066425
"Thal::E0049",29,3,-11.272152,-11.86147235,-10.7569722,14.802235,13.5981364,16.1699499
"Thal::E0050",30,3,-9.9074955,-10.2901098,-9.58453613,14.2824755,13.5233653,15.1225836
"Thal::E0053",31,3,-10.426636,-10.83284305,-10.07179955,12.9855625,12.13092995,13.92783585
"Thal::E0055",32,3,-8.4563638,-8.65686314,-8.26273,11.0669305,10.5409741,11.62110035
"Thal::E0059",33,3,-10.4239235,-10.8093842,-10.0699944,13.0691415,12.2078163,13.9738729
"Thal::E0060",34,3,-8.523386,-8.69704573,-8.35687165,8.2795357,7.850747415,8.74873596
"Thal::E0064",35,3,-8.50925145,-8.69909638,-8.328845915,9.6834606,9.17463157,10.1849588
"Thal::E0069",36,3,-12.230109,-12.8820207,-11.66931115,10.668415,9.376422125,12.1976244
"Thal::E0071",37,3,-11.7490525,-12.28817895,-11.2890756,10.197614,9.102475455,11.4576506
