"ckey","ii","n_admins","xi_median","xi_q5","xi_q95"
"Smith::10265",1,5,-13.731111,-13.8585987,-13.6105566
"Smith::10485",2,3,-11.333286,-11.453292,-11.21042545
"Smith::10520",3,4,-12.272945,-12.40181725,-12.150333
"Smith::10600",4,4,-8.50750425,-8.607334955,-8.406729195
"Smith::10631",5,3,-8.39145015,-8.517864625,-8.264805215
"Smith::10659",6,3,-10.0150455,-10.1396999,-9.89545587
"Smith::10750",7,7,-9.0369716,-9.121267905,-8.952027325
"Smith::10805",8,4,-8.71511245,-8.809756145,-8.619079775
"Smith::10807",9,6,-9.37334805,-9.45580849,-9.290233855
"Smith::10864",10,5,-11.4601985,-11.5600428,-11.3600003
"Smith::10877",11,5,-13.8987565,-14.20251825,-13.6190004
"Smith::10900",12,8,-8.00041865,-8.0686591,-7.93171015
"Smith::10958",13,5,-10.3643535,-10.4629541,-10.2679029
"Smith::10969",14,3,-10.095674,-10.2169221,-9.97690971
"Smith::11000",15,9,-9.01250345,-9.078867835,-8.94187811
"Smith::11002",16,4,-10.267838,-10.39372115,-10.1439515
"Smith::11007",17,5,-8.55815125,-8.653655195,-8.46462768
"Smith::11011",18,8,-6.02914095,-6.09400892,-5.962338815
"Smith::11081",19,3,-10.7962045,-10.92358865,-10.6717497
"Smith::11133",20,3,-8.63008845,-8.743739905,-8.515241525
"Smith::11205",21,4,-11.1080265,-11.21841935,-11.00024335
"Smith::11246",22,4,-10.0707435,-10.1923035,-9.94989566
"Smith::11526",23,3,-10.853549,-10.95170705,-10.7529659
"Smith::11556",24,3,-10.1891185,-10.2978663,-10.07422395
"Smith::11578",25,5,-9.92879435,-10.02854245,-9.83274882
"Smith::11593",26,3,-14.794973,-14.9748416,-14.6199854
"Smith::11683",27,3,-9.2836929,-9.405720235,-9.159782835
"Smith::11685",28,5,-10.7771145,-10.8612165,-10.69028535
"Smith::11695",29,6,-11.901385,-11.99159685,-11.80875585
"Smith::11710",30,6,-11.3560545,-11.4657837,-11.2509143
"Smith::11763",31,4,-13.677811,-13.8360205,-13.5216636
"Smith::11829",32,3,-12.220105,-12.34583865,-12.1013311
"Smith::11890",33,6,-11.084271,-11.17717425,-10.9965155
"Smith::11900",34,3,-7.41991375,-7.54234843,-7.29655394
"Smith::11918",35,5,-8.72030855,-8.80830613,-8.628142395
"Smith::11971",36,3,-11.771759,-11.89200025,-11.6486612
"Smith::12005",37,4,-8.42599085,-8.528231595,-8.322747475
"Smith::12012",38,4,-6.53669615,-6.64281484,-6.430041295
"Smith::12016",39,6,-8.4728104,-8.54723003,-8.395939145
"Smith::12037",40,9,-9.1421753,-9.205730125,-9.07700497
"Smith::12091",41,9,-11.999446,-12.09256715,-11.90307125
"Smith::12154",42,5,-8.57483085,-8.67528582,-8.46935998
"Smith::12187",43,3,-9.49640395,-9.62170707,-9.37425306
"Smith::12192",44,3,-10.123836,-10.2380806,-10.00894755
"Smith::12217",45,3,-7.02429205,-7.15012268,-6.89681643
"Smith::12249",46,5,-11.771882,-11.86204715,-11.67997305
"Smith::12322",47,4,-10.2234095,-10.33440675,-10.11696815
"Smith::12334",48,3,-6.2830844,-6.384306785,-6.176751925
"Smith::12349",49,3,-11.229112,-11.3535274,-11.10802025
"Smith::12354",50,6,-5.8442886,-5.926046025,-5.76160291
"Smith::12366",51,3,-7.50543665,-7.61306632,-7.399676145
"Smith::12367",52,3,-9.2359886,-9.349693435,-9.122131665
"Smith::12375",53,3,-9.67316485,-9.797825985,-9.545106695
"Smith::12469",54,5,-12.4122045,-12.51855255,-12.30616615
"Smith::12558",55,3,-10.5864845,-10.6961711,-10.4790122
"Smith::12598",56,5,-13.2258125,-13.34449455,-13.1139968
"Smith::12615",57,4,-6.07958625,-6.18197975,-5.977454035
"Smith::12618",58,3,-10.721761,-10.85059715,-10.5936179
"Smith::12625",59,3,-9.5889937,-9.70676343,-9.470688365
"Smith::12629",60,6,-7.0345434,-7.12459972,-6.945031765
"Smith::12634",61,4,-11.6986065,-11.81144755,-11.582767
"Smith::12694",62,3,-11.038571,-11.1453952,-10.9313254
"Smith::12696",63,7,-6.5506541,-6.623477915,-6.477509475
"Smith::12703",64,3,-9.24703065,-9.349426975,-9.147812015
"Smith::12731",65,4,-11.3924545,-11.4955302,-11.2881549
"Smith::12751",66,6,-9.3487265,-9.42700503,-9.27129517
"Smith::12753",67,3,-11.8080725,-11.9424269,-11.6783627
"Smith::12803",68,4,-9.2283546,-9.32564533,-9.13326406
"Smith::12821",69,3,-9.92950345,-10.06702065,-9.79322656
"Smith::12870",70,3,-9.54451685,-9.656201705,-9.429808175
"Smith::12925",71,4,-9.65168935,-9.74811447,-9.5545347
"Smith::12947",72,6,-8.38444245,-8.47387435,-8.295133225
"Smith::12958",73,4,-9.5835502,-9.68459766,-9.47761414
"Smith::13075",74,3,-8.70853425,-8.83021096,-8.588837805
"Smith::13082",75,3,-10.2017665,-10.36267185,-10.04200515
"Smith::13138",76,3,-7.93634015,-8.044758715,-7.82643044
