"ckey","ii","n_admins","xi_median","xi_q5","xi_q95"
"Tsuji::O0028",1,3,-7.4940267,-7.64996118,-7.338701155
"Tsuji::O0043",2,3,-8.16773195,-8.313528735,-8.0221844
"Tsuji::O0083",3,3,-11.2499055,-11.4147516,-11.0848922
"Tsuji::O0104",4,3,-8.9181889,-9.067863235,-8.764835165
"Tsuji::O0124",5,3,-6.9356917,-7.095094735,-6.78208801
"Tsuji::O0197",6,3,-10.8148085,-10.9778022,-10.6564161
"Tsuji::O0208",7,3,-12.9328135,-13.3712537,-12.51610045
"Tsuji::O0212",8,3,-8.37901855,-8.509321595,-8.24383461
"Tsuji::O0256",9,3,-7.89396125,-8.04708219,-7.737521855
"Tsuji::O0262",10,3,-11.9711495,-12.3524629,-11.6071106
"Tsuji::O0277",11,3,-10.537398,-10.73834715,-10.342795
"Tsuji::O0287",12,3,-8.91653275,-9.091954075,-8.74154219
"Tsuji::O0289",13,3,-8.90155105,-9.08349374,-8.72596317
"Tsuji::O0295",14,3,-8.32404565,-8.483671705,-8.15938796
"Tsuji::O0314",15,3,-9.5843414,-9.7353657,-9.43017015
"Tsuji::O0367",16,3,-8.8444913,-8.98385096,-8.7039642
"Tsuji::O0473",17,3,-12.8938095,-13.1947078,-12.6026429
"Tsuji::O0531",18,3,-8.1462914,-8.29327472,-7.999419475
"Tsuji::O0536",19,3,-13.40208,-13.60737555,-13.19728435
"Tsuji::O0552",20,3,-5.90659905,-6.0869706,-5.71107225
"Tsuji::O0558",21,3,-7.69958105,-7.846793585,-7.5496798
"Tsuji::S0109",22,3,-9.64173785,-9.98554578,-9.34172747
"Tsuji::S0112",23,3,-8.13592325,-8.357546195,-7.924096615
"Tsuji::S0144",24,3,-8.2557743,-8.489840295,-8.038257435
"Tsuji::S0147",25,3,-9.6695146,-10.0472336,-9.326139425
"Tsuji::S0169",26,3,-9.68924125,-10.0355311,-9.35982893
"Tsuji::S0175",27,4,-9.2182104,-9.5933732,-8.888737695
"Tsuji::S0307",28,3,-7.15445205,-7.36783764,-6.9491601
"Tsuji::S0340",29,3,-10.5252105,-10.9360429,-10.15597225
"Tsuji::S0389",30,3,-11.163075,-11.7693664,-10.60930585
"Tsuji::S0402",31,3,-9.3227449,-9.668164045,-8.99370685
"Tsuji::S0414",32,3,-8.1954046,-8.43539767,-7.964200675
"Tsuji::S0421",33,3,-8.50251765,-8.733879485,-8.27847349
"Tsuji::S0467",34,3,-11.163143,-11.7987121,-10.60027175
"Tsuji::S0477",35,3,-10.024724,-10.42547805,-9.654126695
"Tsuji::S0513",36,3,-7.53069355,-7.74846337,-7.32752259
"Tsuji::S0527",37,3,-8.7668492,-9.02979613,-8.52270103
"Tsuji::S0559",38,3,-8.6041408,-8.862902335,-8.35977583
"Tsuji::S0577",39,3,-9.13111585,-9.4790217,-8.8066407
"Tsuji::S0606",40,3,-7.7728643,-7.97212259,-7.575971355
"Tsuji::S0655",41,3,-10.020671,-10.53266625,-9.566061115
"Tsuji::S0674",42,3,-7.3840854,-7.577289025,-7.19609646
"Tsuji::S0770",43,3,-8.0352686,-8.27572258,-7.803564625
"Tsuji::U0001",44,3,-8.95336255,-9.23234851,-8.68905179
"Tsuji::U0002",45,3,-9.27460755,-9.59087196,-8.99632784
"Tsuji::U0003",46,3,-10.6611085,-11.1433974,-10.2062251
"Tsuji::U0004",47,3,-13.6212315,-15.3647009,-12.3752784
"Tsuji::U0005",48,3,-7.97095305,-8.174606215,-7.768355475
"Tsuji::U0006",49,3,-9.5853923,-9.94645521,-9.25124637
"Tsuji::U0007",50,3,-10.5757455,-11.01732035,-10.17076285
"Tsuji::U0009",51,3,-8.2370358,-8.46122494,-8.019120305
"Tsuji::U0011",52,3,-9.6092556,-9.982715865,-9.283122215
"Tsuji::U0012",53,3,-13.6098705,-15.3261543,-12.3943477
"Tsuji::U0013",54,3,-11.054031,-11.65955625,-10.53782815
"Tsuji::U0014",55,3,-11.433387,-12.1443289,-10.8495825
"Tsuji::U0015",56,3,-10.0425605,-10.46144815,-9.674786375
"Tsuji::U0016",57,3,-10.7478185,-11.24467385,-10.27947995
"Tsuji::U0017",58,3,-11.3626315,-12.24624615,-10.61144695
"Tsuji::U0018",59,3,-8.5657339,-8.812379875,-8.33075792
"Tsuji::U0019",60,3,-10.315206,-10.87252615,-9.82520218
"Tsuji::U0020",61,3,-9.67184585,-10.06909025,-9.32302604
"Tsuji::U0021",62,3,-12.256328,-13.249492,-11.47516065
"Tsuji::U0023",63,3,-12.5721995,-13.67004265,-11.7039433
