"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","kappa_median","kappa_q5","kappa_q95"
"Hagihara::as004",1,2,-12.6901635,-13.4679887,-11.98855375,16.1004775,11.0207893,21.541606
"Hagihara::hn009",2,2,-10.7096755,-11.20140865,-10.24410385,8.995427,5.36206467,12.83058635
"Hagihara::hn010",3,2,-11.774526,-12.29877455,-11.28626995,22.0418805,18.4061152,25.77195185
"Hagihara::hn011",4,2,-10.757018,-11.1361555,-10.39443955,5.71550655,1.4175006,10.0250923
"Hagihara::hs005",5,2,-10.0319025,-10.4012245,-9.67841152,15.980877,13.25474625,18.85632165
"Hagihara::kb002",6,2,-9.19601945,-9.498640405,-8.90045878,7.999315,6.107454685,9.851796905
"Hagihara::kb003",7,2,-8.0874395,-8.34960016,-7.82489199,12.390509,10.1776982,14.57765215
"Hagihara::kb004",8,2,-9.85670365,-10.13574795,-9.592731015,8.86090375,5.72171676,12.1572362
"Hagihara::kb005",9,2,-10.045543,-10.41057545,-9.688062455,8.1382688,5.9945725,10.3340608
"Hagihara::kd009",10,2,-9.13990355,-9.37316549,-8.91552488,10.818829,9.022494915,12.6699061
"Hagihara::kd102",11,2,-9.40386055,-9.734960545,-9.08814982,13.2175055,10.62712135,15.84627925
"Hagihara::mk003",12,2,-14.879071,-16.24428765,-13.7487103,10.021315,1.82300562,18.8291831
"Hagihara::mn006",13,2,-8.7216498,-9.00259137,-8.439806245,4.8301139,2.949811165,6.64366158
"Hagihara::mn008",14,2,-9.94265475,-10.31375,-9.59373462,12.87729,10.05699045,15.74764755
"Hagihara::sm003",15,2,-14.0483685,-15.04312995,-13.21934945,12.6662565,4.9455175,20.4719903
"Hagihara::sm008",16,2,-6.32291295,-6.47896393,-6.163657945,0.621685145,-1.48756414,2.72144096
"Tsuji::O0028",17,3,-8.36587505,-8.619170775,-8.10952357,12.7268865,11.8865864,13.58117985
"Tsuji::O0043",18,3,-7.9243114,-8.159962825,-7.69244865,8.61269355,7.985846715,9.2649978
"Tsuji::O0083",19,3,-11.364011,-11.68695405,-11.04934935,10.338541,9.66942829,11.03588835
"Tsuji::O0104",20,3,-10.6625665,-10.9569995,-10.3777546,15.981026,15.1231688,16.90008925
"Tsuji::O0115",21,2,-9.75052765,-10.25190565,-9.25746806,9.96748235,8.89879485,11.03586115
"Tsuji::O0124",22,3,-8.059261,-8.29554689,-7.827688405,14.600406,13.69126265,15.54365785
"Tsuji::O0166",23,2,-7.2693105,-7.786848605,-6.75473767,7.59643795,6.483904135,8.66482955
"Tsuji::O0185",24,2,-20.144018,-21.37164025,-19.03434,24.3848535,22.37577115,26.59952505
"Tsuji::O0189",25,2,-10.0240745,-10.3330364,-9.735113785,9.29906045,8.09819937,10.5119567
"Tsuji::O0197",26,3,-11.8218645,-12.1600299,-11.4985869,12.4784645,11.6907008,13.3163375
"Tsuji::O0208",27,3,-12.660725,-13.26107255,-12.18258395,5.2915849,3.1825325,7.78028466
"Tsuji::O0212",28,3,-9.26392385,-9.46375509,-9.078315725,11.823305,10.9371929,12.80805225
"Tsuji::O0234",29,2,-11.8183815,-12.5903407,-11.2033447,17.5306885,15.39185285,20.2141603
"Tsuji::O0256",30,3,-10.417495,-10.6964046,-10.136648,21.946239,20.88812545,23.019204
"Tsuji::O0262",31,3,-13.5394425,-14.88101375,-12.5792697,15.5250135,10.69071355,22.13517405
"Tsuji::O0264",32,2,-11.672594,-12.1941812,-11.1408508,16.651029,15.33746755,17.9517693
"Tsuji::O0272",33,2,-8.0066994,-8.20789394,-7.806728265,17.809398,16.72720005,18.90947805
"Tsuji::O0273",34,2,-11.337699,-11.88205205,-10.7790378,10.9887525,9.84794358,12.12290165
"Tsuji::O0277",35,3,-12.58144,-13.34470415,-11.91559915,16.2685605,13.8967606,18.94989495
"Tsuji::O0280",36,2,-12.832933,-13.87258275,-12.02339785,-0.328501645,-2.51315513,1.771259455
"Tsuji::O0287",37,3,-8.9720133,-9.133646105,-8.816490145,7.0988179,6.47550146,7.756371495
