"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","kappa_median","kappa_q5","kappa_q95"
"Kristoffersen::10030",1,11,-9.44536715,-9.58982459,-9.294254545,14.0750225,13.64088645,14.4941217
"Kristoffersen::10040",2,5,-9.60751935,-9.821699315,-9.40112401,17.537271,16.7466653,18.3818535
"Kristoffersen::10042",3,3,-9.4961788,-9.879634825,-9.110467715,9.05016025,7.172688965,10.89521345
"Kristoffersen::10064",4,3,-9.1324687,-9.47000353,-8.80768789,13.256538,11.60630575,14.9582363
"Kristoffersen::10075",5,3,-11.6806415,-12.08736425,-11.25719655,10.707542,9.631730325,11.71389055
"Kristoffersen::10079",6,4,-13.1589935,-13.6685808,-12.66172055,16.0436705,14.44354035,17.68857295
"Kristoffersen::10119",7,6,-10.1363465,-10.3371107,-9.92725548,10.9915755,10.44869195,11.52264885
"Kristoffersen::10120",8,3,-11.7808895,-12.2731237,-11.3472584,14.896399,13.61922435,16.3878062
"Kristoffersen::10127",9,5,-11.452479,-11.72028805,-11.1826756,9.12642985,8.573687395,9.681755925
"Kristoffersen::10130",10,6,-10.4564635,-10.7250473,-10.20165985,17.74792,16.90608965,18.66863475
"Kristoffersen::10136",11,5,-8.4168339,-8.57485675,-8.26228505,8.7291068,8.25412031,9.21285994
"Kristoffersen::10145",12,4,-10.4307945,-10.6739036,-10.1968901,14.1847385,13.38183165,15.00948065
"Kristoffersen::1015",13,5,-9.56508055,-9.8696423,-9.275928895,10.428542,8.938669155,12.02185015
"Kristoffersen::1017",14,6,-9.634206,-10.1784985,-9.11276102,24.0493235,20.31012735,28.1830606
"Kristoffersen::10178",15,4,-9.4556623,-9.71159527,-9.202406885,10.333332,9.692357135,10.9916308
"Kristoffersen::10183",16,3,-7.0990923,-7.302252395,-6.90219589,8.41309295,7.686847025,9.166178705
"Kristoffersen::10184",17,5,-11.6774405,-11.93295495,-11.4294408,14.297484,13.69108795,14.92496375
"Kristoffersen::10185",18,4,-7.31832265,-7.54493648,-7.10128471,9.841524,8.862277505,10.83350405
"Kristoffersen::10208",19,6,-10.7382655,-10.9541,-10.527463,16.6475125,15.93801305,17.35913185
"Kristoffersen::10226",20,3,-12.0379805,-12.6105168,-11.5015806,23.828746,22.02408405,25.7979023
"Kristoffersen::10229",21,3,-16.4240145,-17.38628965,-15.54810375,26.4877155,23.9249991,29.30892105
"Kristoffersen::10250",22,3,-7.84807655,-8.085647475,-7.630103955,11.8263765,11.02100935,12.6720581
"Kristoffersen::10320",23,4,-13.195569,-13.5913538,-12.80108565,16.5235405,15.47015125,17.57053085
"Kristoffersen::10322",24,3,-7.9401164,-8.250265415,-7.644203245,13.132759,11.8218747,14.51665225
"Kristoffersen::10324",25,3,-12.5366275,-13.2247774,-11.91188025,12.60317,10.05977655,15.41614635
"Kristoffersen::10333",26,5,-13.239883,-13.6026291,-12.8818675,10.739328,10.0528625,11.428556
"Kristoffersen::10349",27,4,-8.2172927,-8.404668475,-8.030484455,9.0124262,8.514518565,9.500787745
"Kristoffersen::10367",28,8,-10.873561,-11.1017036,-10.66542505,10.895473,10.43534665,11.3929917
"Kristoffersen::10398",29,11,-11.6296675,-11.83047775,-11.4331332,11.1233445,10.72359375,11.5375067
"Kristoffersen::10404",30,5,-8.2452326,-8.42731238,-8.06694287,12.074205,11.392138,12.7765539
"Kristoffersen::10427",31,8,-10.450873,-10.64977005,-10.25161745,10.174595,9.70192285,10.6397194
"Kristoffersen::1043",32,11,-13.581388,-13.94399985,-13.24498895,11.3099775,10.59043495,12.07581685
"Kristoffersen::10431",33,3,-9.3771157,-9.825362185,-8.925353245,17.42443,15.6634294,19.22222045
"Kristoffersen::10436",34,3,-11.48205,-11.7738261,-11.16522915,20.2675585,19.0567655,21.4264601
"Kristoffersen::10439",35,3,-12.058813,-12.47784535,-11.6260294,12.453035,11.1151744,13.8127066
"Kristoffersen::10452",36,3,-6.86795795,-7.208202385,-6.525271875,7.95347965,6.348322375,9.511221445
"Kristoffersen::10470",37,5,-12.124419,-12.40973295,-11.83671175,17.902136,17.153619,18.64272155
"Kristoffersen::10475",38,4,-7.51437935,-7.693511075,-7.332191045,9.35337985,8.69305882,10.0166875
"Kristoffersen::10507",39,4,-19.6954365,-20.4546475,-18.93863605,22.5223325,21.2383619,23.77283625
"Kristoffersen::10516",40,4,-11.5161365,-11.94889765,-11.1107924,14.3199605,13.2095051,15.52630185
"Kristoffersen::10525",41,8,-11.247572,-11.4984383,-11.00445725,15.749296,15.17393075,16.34436275
"Kristoffersen::10532",42,9,-12.4681455,-12.6684205,-12.2553349,17.5749315,17.03366195,18.1029828
"Kristoffersen::10535",43,4,-8.7340592,-8.99768615,-8.479333465,10.4905505,9.734005035,11.28595415
"Kristoffersen::10541",44,4,-14.6770415,-15.1361641,-14.21492985,21.80507,20.7000327,22.9393816
"Kristoffersen::10546",45,6,-8.40363815,-8.56720981,-8.23311706,6.7957272,6.38317991,7.214405385
"Kristoffersen::10585",46,4,-13.086564,-13.7971431,-12.4102251,10.856041,9.25323018,12.53283775
"Kristoffersen::10594",47,6,-9.5731413,-9.7541254,-9.397598235,14.341782,13.76468555,14.96031235
"Kristoffersen::10596",48,5,-11.5995005,-11.8499768,-11.34799155,18.263096,17.55033305,18.98915405
"Kristoffersen::10598",49,4,-9.91068995,-10.1511202,-9.67590667,8.4368427,7.95882352,8.914234865
"Kristoffersen::10606",50,4,-9.44711705,-9.676271075,-9.228244275,10.6924255,9.91870712,11.44991715
"Kristoffersen::1061",51,16,-10.3408,-10.46489805,-10.21529625,10.2911785,9.96797388,10.6108216
"Kristoffersen::10618",52,6,-9.8064231,-9.971256455,-9.63656463,8.9983464,8.5769047,9.4101582
"Kristoffersen::10654",53,3,-17.5755785,-19.4997911,-15.87225365,12.785408,6.566352065,19.48079525
"Kristoffersen::10679",54,6,-8.84154085,-9.065019245,-8.623376445,7.39448925,6.668458455,8.10315324
"Kristoffersen::10681",55,3,-11.445779,-11.7737484,-11.12179395,9.39515335,8.756938855,10.0374615
"Kristoffersen::10682",56,3,-13.296774,-13.77887915,-12.7777121,38.5443745,35.95106415,41.00922475
"Kristoffersen::10688",57,6,-8.73598775,-8.957650915,-8.515033205,15.4983695,14.74112665,16.3037576
"Kristoffersen::10691",58,7,-14.9330715,-15.3050642,-14.5780292,17.2260455,16.50871155,17.98360145
