"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","kappa_median","kappa_q5","kappa_q95"
"Smith::10265",1,5,-13.180389,-13.69365205,-12.68184535,10.7533695,9.58164636,11.9663098
"Smith::10485",2,3,-12.146278,-12.62506575,-11.70139325,14.731749,13.63226475,15.89249165
"Smith::10520",3,4,-10.15454,-10.39098725,-9.929175465,6.51044285,5.919406695,7.125564965
"Smith::10600",4,4,-7.4239581,-7.551329275,-7.298349015,7.04093445,6.535039945,7.546353085
"Smith::10631",5,3,-9.51813775,-9.810118565,-9.24210263,17.6354985,16.77867665,18.522798
"Smith::10659",6,3,-12.4024525,-12.81573755,-11.99150545,23.032554,21.4206554,24.57466475
"Smith::10750",7,7,-10.5667485,-10.75645995,-10.38904295,25.0349285,23.70196965,26.43050825
"Smith::10805",8,4,-11.007354,-11.2822098,-10.7388283,22.9343445,21.98426235,23.9303468
"Smith::10807",9,6,-9.12499555,-9.265645805,-8.98870115,10.8754655,10.23695915,11.494542
"Smith::10864",10,5,-10.935976,-11.1721796,-10.7026006,10.727049,10.04705215,11.40765315
"Smith::10877",11,5,-14.5513345,-15.3474062,-13.85169195,6.71525085,2.594343665,10.94297035
"Smith::10900",12,8,-7.9356188,-8.031767275,-7.839725095,12.2757465,11.81686885,12.72249245
"Smith::10958",13,5,-11.727411,-11.98223595,-11.4962602,17.6684595,16.8924861,18.5199088
"Smith::10969",14,3,-9.00917475,-9.24888913,-8.770370835,9.6989419,9.108957825,10.32209475
"Smith::11000",15,9,-10.404705,-10.5556748,-10.25844755,19.7974575,19.19209015,20.41995095
"Smith::11002",16,4,-11.635809,-11.92423795,-11.3596916,17.20247,16.3823888,17.98278505
"Smith::11007",17,5,-8.792229,-8.91510394,-8.67501856,15.325624,14.63502635,16.02270565
"Smith::11011",18,8,-6.75700355,-6.85902619,-6.65978681,22.0981145,21.25482465,22.95349975
"Smith::11081",19,3,-10.537716,-10.80450035,-10.27945315,11.944215,11.1960084,12.7046939
"Smith::11133",20,3,-9.60219715,-9.84565317,-9.351329765,17.107097,16.20386,18.0610581
"Smith::11205",21,4,-11.570601,-11.9371279,-11.21138085,14.274459,12.98055795,15.55750945
"Smith::11246",22,4,-10.2528725,-10.46766525,-10.0480821,13.086928,12.49008,13.70563705
"Smith::11526",23,3,-5.3090061,-5.750951195,-4.869614515,-1.2357586,-2.314020135,-0.153610990500001
"Smith::11556",24,3,-9.22924865,-9.47172926,-8.985988995,10.117834,9.50232987,10.75955945
"Smith::11578",25,5,-9.56101055,-9.735626655,-9.383365705,9.2427632,8.16529048,10.2578666
"Smith::11593",26,3,-14.4773245,-15.4832959,-13.57251885,11.46562,9.562205395,13.60813065
"Smith::11683",27,3,-8.64086465,-8.878775525,-8.40362939,11.1886725,10.5641834,11.85260115
"Smith::11685",28,5,-11.536008,-11.8154625,-11.25683135,14.432412,13.7731431,15.11706125
