"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","slope_median","slope_q5","slope_q95"
"Marchman::1",1,3,-8.0707566,-8.272998965,-7.86885507,0.44721576,0.3512003885,0.5409418735
"Marchman::10",2,3,-10.4752665,-10.7121575,-10.25172395,0.172967415,0.118972295,0.229402244
"Marchman::101",3,3,-9.5888225,-9.79354685,-9.38941277,0.62577893,0.48704057,0.7995887395
"Marchman::107",4,3,-10.589298,-10.92719955,-10.25009645,0.49729521,0.3000414405,0.811848797
"Marchman::108",5,3,-7.01926895,-7.22026029,-6.830395205,3.22137825,2.833039465,3.60591237
"Marchman::109",6,3,-6.8976499,-7.0936739,-6.708918075,2.66997315,2.351038395,2.99489419
"Marchman::11",7,3,-10.279884,-10.5531006,-10.0235058,0.973767165,0.7477173245,1.22763106
"Marchman::114",8,3,-9.22970265,-9.45472125,-9.019800515,0.4254451,0.323639542,0.550795659
"Marchman::118",9,3,-9.06702685,-9.31347783,-8.81902608,0.432165905,0.3244831655,0.546234698
"Marchman::119",10,3,-6.70909275,-6.86350167,-6.55038426,0.81058408,0.716705871,0.9085592365
"Marchman::12",11,3,-8.93512155,-9.107765925,-8.773334085,0.318602775,0.286259107,0.3510971135
"Marchman::120",12,3,-5.9387935,-6.14366759,-5.73407732,3.6710107,3.335574645,4.030188345
"Marchman::13",13,3,-8.4546262,-8.624600465,-8.291189545,0.83285089,0.7481521345,0.921740026
"Marchman::16",14,3,-10.826864,-11.09785655,-10.57313395,0.839708795,0.554909565,1.145810185
"Marchman::17",15,3,-9.82859125,-10.09432105,-9.57679456,0.662036035,0.4673537135,0.889131012
"Marchman::18",16,3,-10.2622,-10.53606025,-10.0233875,0.410826455,0.302886396,0.5512959315
"Marchman::19",17,3,-7.7462955,-7.93863196,-7.563139885,0.961057805,0.8922596815,1.0326384
"Marchman::2",18,3,-9.0570333,-9.21696414,-8.89093127,0.70323401,0.597694426,0.8064234385
"Marchman::21",19,3,-8.7828382,-8.94223961,-8.63191159,0.15697077,0.1368504205,0.177959231
"Marchman::27",20,3,-9.0293951,-9.20546121,-8.85955557,0.180069075,0.1592962175,0.201090887
"Marchman::28",21,3,-10.82671,-11.13524455,-10.5522146,0.451075915,0.3537125875,0.555013258
"Marchman::30",22,3,-9.6945963,-9.943131615,-9.47314913,1.16557455,1.05125718,1.29238914
"Marchman::31",23,3,-8.3603562,-8.57698694,-8.152394905,0.51592261,0.491155092,0.5435470395
"Marchman::34",24,3,-11.217877,-11.57299855,-10.90792535,0.13997504,0.0950337043,0.1874416715
"Marchman::35",25,3,-8.14166135,-8.30301967,-7.982145375,0.399212515,0.371234497,0.4275139985
"Marchman::40",26,3,-6.9716188,-7.107905785,-6.837008665,0.75696195,0.691856056,0.8261268505
"Marchman::43",27,3,-9.81321385,-10.0359069,-9.59805923,0.21752823,0.18694747,0.2503979995
"Marchman::45",28,3,-9.22921935,-9.404391985,-9.061274895,0.456709155,0.383170615,0.5357305055
"Marchman::46",29,3,-10.683852,-10.92440395,-10.46000795,0.0723615925,0.0258100688,0.119113446
"Marchman::47",30,3,-10.107233,-10.3513251,-9.88631127,0.378254005,0.3143168985,0.443357228
"Marchman::48",31,3,-10.511348,-10.90790765,-10.1398667,0.61740856,0.539104043,0.7008723265
"Marchman::49",32,3,-8.78197595,-8.94948304,-8.623442395,0.195854635,0.1754400235,0.216009673
"Marchman::50",33,3,-9.94734335,-10.2023831,-9.70445793,0.737762315,0.671043326,0.8056448645
"Marchman::51",34,3,-11.9270635,-12.4667812,-11.4890617,0.191231785,0.1446257925,0.243055867
"Marchman::52",35,3,-11.965719,-12.3786413,-11.60175215,0.0474576245,0.00348739036,0.09407672085
"Marchman::55",36,3,-10.070238,-10.355801,-9.82106156,0.616032485,0.4112388545,0.9244016595
"Marchman::56",37,3,-10.065152,-10.26621195,-9.87147451,0.16295896,0.08945487095,0.238453555
"Marchman::58",38,3,-11.1644395,-11.60551825,-10.7674768,-0.045621479,-0.3597315345,0.273986823
"Marchman::6",39,3,-6.40033995,-6.523584085,-6.28130835,0.580082605,0.5309236205,0.6333726775
"Marchman::61",40,3,-10.2286405,-10.4665926,-10.02285935,0.23405401,0.1687840685,0.3003712925
"Marchman::62",41,3,-11.2594765,-11.56387625,-10.97661235,0.023268946,-0.03231859595,0.0790173358
"Marchman::65",42,3,-11.207498,-11.6421115,-10.8391674,0.51279421,0.455590513,0.5794713805
"Marchman::67",43,3,-11.3165665,-11.6436216,-11.0121688,0.31473223,0.1411628335,0.511608349
"Marchman::73",44,3,-11.1660275,-11.4845684,-10.87295555,0.13989609,0.02106600455,0.26891928
"Marchman::76",45,3,-10.422788,-10.717983,-10.13835,1.18032125,0.89670905,1.509396985
"Marchman::77",46,3,-12.168848,-12.6626082,-11.7063955,0.396139655,0.1853907965,0.7220496955
"Marchman::79",47,3,-8.28724215,-8.43064055,-8.14115694,0.00254177235,-0.0232251788,0.02902270475
"Marchman::8",48,3,-9.87899335,-10.1725073,-9.612988825,0.401549165,0.3595907465,0.4449206545
"Marchman::81",49,3,-10.9433875,-11.3840087,-10.5443317,0.588356365,0.4759724625,0.708818305
"Marchman::82",50,3,-10.720452,-11.1667444,-10.31267285,1.11986815,1.057365445,1.187508785
"Marchman::84",51,3,-9.65591605,-9.874243845,-9.45249349,0.29132429,0.2468635455,0.341029899
"Marchman::85",52,3,-9.76338315,-9.98956575,-9.547092345,0.323997835,0.2878662625,0.363254827
"Marchman::86",53,3,-11.249877,-11.67941585,-10.89315265,0.7253129,0.5383201095,0.9565392885
"Marchman::92",54,3,-8.29138295,-8.47100831,-8.11821414,0.67455412,0.5288762455,0.861776582
"Marchman::95",55,3,-5.97216815,-6.165593175,-5.771534155,2.46540575,2.190925405,2.742931765
"Marchman::97",56,3,-8.03266775,-8.239921015,-7.824611825,0.633493775,0.599051266,0.670364021
"Marchman::AA02F057",57,3,-8.49420245,-8.69630862,-8.29838185,0.46540726,0.439534532,0.493456762
"Marchman::AB09M014",58,4,-9.45352645,-9.663558215,-9.25069673,0.41206988,0.3833322065,0.4406233195
"Marchman::AB11M035",59,3,-8.0861479,-8.203815555,-7.96684498,0.59240067,0.5179738765,0.667616729
"Marchman::AC11M048",60,3,-11.1967645,-11.51498565,-10.87528985,0.4699067,0.4377500995,0.5023281295
"Marchman::AC13M067",61,3,-7.9249079,-8.083328135,-7.771911255,0.622656275,0.5902137985,0.6560720715
"Marchman::AD08F059",62,3,-5.01705745,-5.140370965,-4.892407045,0.58890842,0.547708765,0.6312724065
"Marchman::AF12M075",63,3,-7.5540791,-7.718208065,-7.39477566,0.614990555,0.537922903,0.697155406
"Marchman::AJ12M055",64,3,-9.2026941,-9.40706964,-9.009083155,0.75678732,0.722043774,0.7927713205
"Marchman::AL02M097",65,3,-6.8261677,-6.940508625,-6.713728455,0.32172057,0.299331619,0.343159325
"Marchman::AL03F059",66,3,-9.4271409,-9.656142175,-9.21052285,0.490053615,0.4624918905,0.517986788
"Marchman::AS12F123",67,3,-10.252828,-10.5159413,-10.00606305,0.49253678,0.45168062,0.5342177795
"Marchman::AS17F115",68,3,-9.6028697,-9.81131056,-9.40096001,0.695075125,0.654730896,0.7335077145
"Marchman::BA03M088",69,3,-7.73418765,-7.89596596,-7.578627695,0.307702935,0.2868526825,0.3290484715
"Marchman::BD03F057",70,3,-6.5359637,-6.71818947,-6.35803399,0.50724577,0.472355623,0.5442272015
"Marchman::BH11F095",71,3,-9.2412289,-9.42682477,-9.05618731,0.674490685,0.634419551,0.715037119
"Marchman::BO00M038",72,4,-8.27178455,-8.407072055,-8.137516335,0.332321265,0.3146000055,0.350442117
"Marchman::BR03F018",73,3,-9.6731753,-9.91847047,-9.43376802,0.59291574,0.561388004,0.623994641
"Marchman::BR09M084",74,4,-13.046322,-13.4402361,-12.6743282,0.711557895,0.6731923145,0.750298323
"Marchman::CB04M098",75,3,-9.4900359,-9.730011065,-9.26452051,0.62358699,0.5912189845,0.6581385495
"Marchman::CC02F059",76,3,-6.4653063,-6.65028881,-6.28122799,0.65048566,0.59420143,0.708163171
"Marchman::CG04F088",77,3,-11.222647,-11.5327149,-10.91960855,0.57606141,0.5430830095,0.609173468
"Marchman::CG04M108",78,3,-7.0518373,-7.190075155,-6.91377758,0.6175166,0.5830265145,0.655015682
"Marchman::CH02F038",79,3,-9.05008195,-9.27069955,-8.826363155,0.2555776,0.228450992,0.280575758
"Marchman::CH03F018",80,3,-7.2711337,-7.41371773,-7.12884409,0.53201274,0.5014085985,0.56319373
"Marchman::CH04M048",81,3,-9.13193145,-9.371773025,-8.907876355,0.57097287,0.5431190095,0.599939477
"Marchman::CK03M059",82,4,-11.171585,-11.4850067,-10.89349475,0.48015707,0.451212757,0.5116868885
"Marchman::CL03M018",83,3,-8.3390817,-8.52912542,-8.15080751,0.43529354,0.4097882975,0.460349046
"Marchman::CM02M057",84,3,-8.663709,-8.88017615,-8.44484207,0.6538642,0.615406561,0.6934487775
"Marchman::CM02M059",85,3,-8.1655189,-8.327292695,-8.006893885,0.42965292,0.4044648205,0.45535657
"Marchman::CO04M098",86,3,-8.18656185,-8.36019969,-8.021220775,0.626788185,0.5917676225,0.663966471
"Marchman::CR12F087",87,3,-8.4860151,-8.74304765,-8.247423225,0.51694752,0.4703350495,0.5668903625
"Marchman::CS02M058",88,3,-10.288908,-10.56956745,-10.02272825,0.34628109,0.3180736915,0.375895541
"Marchman::CS05M098",89,3,-6.47752795,-6.631201275,-6.328677025,0.33048464,0.3072715045,0.3519450595
"Marchman::CS06F077",90,3,-7.472055,-7.65068292,-7.297881065,0.343135025,0.318902557,0.368367546
"Marchman::DI02M038",91,3,-11.1734715,-11.502849,-10.85324495,0.935346285,0.8817824185,0.992309293
"Marchman::DO09M025",92,3,-11.18115,-11.5361008,-10.8663845,0.61939023,0.586790072,0.6528427835
"Marchman::DS02M038",93,3,-10.3316775,-10.5762652,-10.0951474,0.51671019,0.4879302035,0.5454194445
"Marchman::ES10F115",94,3,-9.7716036,-10.068881,-9.505992275,0.57064593,0.5360998445,0.606215498
"Marchman::GA04M107",95,3,-9.82432325,-10.09756345,-9.561831695,0.54310389,0.49780354,0.5890476665
"Marchman::GB04M107",96,3,-7.968418,-8.17023629,-7.765058795,0.436768375,0.409838585,0.463849936
"Marchman::GW03F038",97,3,-8.60627935,-8.798043225,-8.4118933,0.41913504,0.3940512645,0.4450499645
"Marchman::GY03F038",98,3,-6.6932141,-6.82745314,-6.55638709,0.68557957,0.643939484,0.729360513
"Marchman::HB06M098",99,3,-7.1830528,-7.34022014,-7.03122685,0.239371605,0.217918658,0.2614311425
"Marchman::HC03F038",100,3,-12.9966435,-13.51688615,-12.4993473,0.564006835,0.514312704,0.615586017
"Marchman::HH03F057",101,3,-7.1959859,-7.36533006,-7.033907705,0.67480845,0.635518762,0.7158942215
"Marchman::IM04M038",102,3,-7.36416235,-7.537532925,-7.191936955,0.505900995,0.4757195085,0.536202675
"Marchman::IN12M026",103,3,-11.3620135,-11.7213353,-11.02414535,0.625925285,0.5721000685,0.683869937
"Marchman::JB11M105",104,4,-11.5695215,-11.91053485,-11.26408975,0.45359981,0.4013568035,0.5086727545
"Marchman::JC12M114",105,3,-10.3282745,-10.6259735,-10.0614559,0.892130555,0.8460271445,0.941642799
