"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","slope_median","slope_q5","slope_q95"
"Kristoffersen::10030",1,11,-8.7283713,-8.862162375,-8.59541519,3.27433995,3.17130858,3.376440385
"Kristoffersen::10040",2,5,-9.2580711,-9.45981316,-9.06191135,4.71414895,4.495582325,4.932939275
"Kristoffersen::10042",3,3,-9.3238784,-9.67486268,-8.98449565,2.44223035,1.908587265,2.986653635
"Kristoffersen::10064",4,3,-9.01978255,-9.32900752,-8.710996835,3.85489695,3.385733555,4.338936765
"Kristoffersen::10075",5,3,-11.0871215,-11.4558975,-10.73228725,2.46653165,2.21946135,2.720761455
"Kristoffersen::10079",6,4,-12.2516855,-12.60739615,-11.9081696,3.7465554,3.398379085,4.08466127
"Kristoffersen::10119",7,6,-9.64929405,-9.834173485,-9.47146508,2.62298335,2.49634361,2.753903465
"Kristoffersen::10120",8,3,-11.2829245,-11.7039706,-10.8846309,3.7694947,3.417069145,4.12896581
"Kristoffersen::10127",9,5,-10.8180765,-11.04086825,-10.6021273,1.9694874,1.850641095,2.08926696
"Kristoffersen::10130",10,6,-9.1218178,-9.342211925,-8.90740892,3.76323725,3.570867225,3.96305687
"Kristoffersen::10136",11,5,-7.9938212,-8.1332511,-7.859288335,1.95103215,1.844935805,2.061375625
"Kristoffersen::10145",12,4,-10.1845675,-10.4095396,-9.961558385,3.8112236,3.589379515,4.031482405
"Kristoffersen::1015",13,5,-9.54150125,-9.81702641,-9.2833944,2.65375925,2.23406052,3.08005008
"Kristoffersen::1017",14,6,-9.7542566,-10.2073101,-9.29852106,5.26520935,4.23865156,6.44032671
"Kristoffersen::10178",15,4,-8.6932371,-8.917533065,-8.476259575,2.2369298,2.08711743,2.389716755
"Kristoffersen::10183",16,3,-6.8057065,-6.992791075,-6.62011892,2.0798937,1.8859949,2.269863015
"Kristoffersen::10184",17,5,-10.6606605,-10.8696842,-10.4423857,3.10142675,2.960676075,3.241110195
"Kristoffersen::10185",18,4,-7.3223149,-7.53672516,-7.111980985,2.8972256,2.622177965,3.18463431
"Kristoffersen::10208",19,6,-10.252554,-10.4449005,-10.0602595,4.2613304,4.07803797,4.44741053
"Kristoffersen::10226",20,3,-11.003498,-11.4480873,-10.54305085,5.98165055,5.52166952,6.425008605
"Kristoffersen::10229",21,3,-14.8230485,-15.57303765,-14.0896879,6.1658372,5.543633675,6.806273815
"Kristoffersen::10250",22,3,-7.7438463,-7.978316785,-7.522360345,3.31826425,3.084792435,3.55940004
"Kristoffersen::10320",23,4,-12.131782,-12.44589275,-11.82802835,3.81945935,3.57704036,4.06848648
"Kristoffersen::10322",24,3,-7.78194845,-8.06539679,-7.508095625,3.7104208,3.354445525,4.094944195
"Kristoffersen::10324",25,3,-11.6522815,-12.1457738,-11.18600955,2.71548035,2.110173695,3.334769405
"Kristoffersen::10333",26,6,-12.2560375,-12.5293001,-11.9808021,2.18498905,2.038045085,2.334418985
"Kristoffersen::10349",27,4,-7.7110462,-7.8902148,-7.537681335,2.00190885,1.878333245,2.12374559
"Kristoffersen::10367",28,8,-10.2991495,-10.48500815,-10.11889675,2.50601265,2.398756875,2.614231985
"Kristoffersen::10398",29,11,-10.651133,-10.8092883,-10.49339925,2.3613077,2.27751211,2.44641156
"Kristoffersen::10404",30,5,-7.89421415,-8.06329681,-7.729687135,3.04948545,2.86721527,3.229909725
"Kristoffersen::10427",31,8,-9.89017705,-10.0681423,-9.71810626,2.31768165,2.209680235,2.427232055
"Kristoffersen::1043",32,11,-11.9573165,-12.16200125,-11.76226115,2.1068678,1.98425512,2.23507192
"Kristoffersen::10431",33,3,-8.9832549,-9.41306877,-8.564892555,4.63453195,4.14238459,5.132606635
"Kristoffersen::10436",34,3,-11.04778,-11.3109609,-10.77613075,5.48254355,5.170406695,5.784237205
"Kristoffersen::10439",35,3,-11.3162,-11.6604884,-10.981133,2.8737249,2.558642875,3.19961308
"Kristoffersen::10452",36,3,-6.7128135,-7.05124594,-6.39257148,2.19149245,1.740497355,2.662053205
"Kristoffersen::10470",37,5,-11.0420785,-11.2893173,-10.78852355,4.05831695,3.87996367,4.235066215
"Kristoffersen::10475",38,4,-7.29305365,-7.467486815,-7.126211975,2.4153079,2.24464408,2.58678154
"Kristoffersen::10507",39,4,-16.3618845,-16.9096633,-15.8412589,4.210489,3.991047505,4.439752865
"Kristoffersen::10516",40,4,-10.976514,-11.36578175,-10.5907026,3.56525795,3.260177175,3.87400958
"Kristoffersen::10525",41,8,-10.0159845,-10.23223115,-9.808770055,3.4180596,3.286507945,3.5513321
"Kristoffersen::10532",42,9,-11.1793215,-11.349321,-11.0194311,3.85161485,3.73816765,3.9704235
"Kristoffersen::10535",43,4,-7.81275905,-8.02279629,-7.606030925,2.1386459,1.98495673,2.302248275
"Kristoffersen::10541",44,4,-13.3461115,-13.72754245,-12.9709069,5.0815635,4.83495376,5.3452906
"Kristoffersen::10546",45,6,-8.0579515,-8.19749637,-7.92050397,1.53139175,1.44230502,1.626112735
"Kristoffersen::10585",46,4,-11.972809,-12.44847375,-11.5208009,2.15352985,1.843583475,2.4685875
"Kristoffersen::10594",47,6,-8.9627397,-9.120084845,-8.803672505,3.39735365,3.25699737,3.54073625
"Kristoffersen::10596",48,5,-10.812206,-11.03333695,-10.60218575,4.38259265,4.20160607,4.567849135
"Kristoffersen::10598",49,4,-9.39648015,-9.602860825,-9.189979865,1.8806556,1.774107085,1.989629005
"Kristoffersen::10606",50,4,-9.1934494,-9.39900321,-8.984716025,2.77138715,2.56497702,2.969203125
"Kristoffersen::1061",51,16,-9.9956996,-10.0938767,-9.90122513,2.550011,2.481291265,2.62010423
"Kristoffersen::10618",52,6,-9.30548565,-9.452987785,-9.16277049,2.009825,1.91278869,2.11059964
