"ckey","ii","n_admins","xi_median","xi_q5","xi_q95"
"Kristoffersen::10030",1,11,-8.96428765,-9.02465365,-8.9048383
"Kristoffersen::10040",2,5,-8.3821309,-8.454477885,-8.30931389
"Kristoffersen::10042",3,3,-10.1178345,-10.22855695,-10.011316
"Kristoffersen::10064",4,3,-8.9493605,-9.043198025,-8.855341175
"Kristoffersen::10075",5,3,-12.3549355,-12.4672072,-12.24108685
"Kristoffersen::10079",6,4,-12.076149,-12.19588635,-11.9615775
"Kristoffersen::10119",7,6,-10.67265,-10.7460879,-10.5995948
"Kristoffersen::10120",8,3,-11.0039265,-11.10043425,-10.90835615
"Kristoffersen::10127",9,5,-12.993633,-13.09305535,-12.89581435
"Kristoffersen::10130",10,6,-8.8993186,-8.975223535,-8.820721135
"Kristoffersen::10136",11,5,-9.52527555,-9.603598075,-9.443190965
"Kristoffersen::10145",12,4,-9.9684432,-10.0539055,-9.88070116
"Kristoffersen::1015",13,5,-8.85971735,-9.075725545,-8.65123854
"Kristoffersen::1017",14,6,-9.9612057,-10.2953041,-9.643111685
"Kristoffersen::10178",15,4,-10.2650955,-10.34986235,-10.18196095
"Kristoffersen::10183",16,3,-8.03766895,-8.13985059,-7.933194505
"Kristoffersen::10184",17,5,-11.024781,-11.10567365,-10.9437393
"Kristoffersen::10185",18,4,-7.90790115,-7.990679345,-7.824822435
"Kristoffersen::10208",19,6,-9.5679721,-9.63543886,-9.50187139
"Kristoffersen::10226",20,3,-8.63320905,-8.734182335,-8.53449195
"Kristoffersen::10229",21,3,-11.82078,-11.92456855,-11.71817715
"Kristoffersen::10250",22,3,-8.01435365,-8.11998624,-7.91175098
"Kristoffersen::10320",23,4,-11.7039675,-11.80270185,-11.60227185
"Kristoffersen::10322",24,3,-7.80714375,-7.904378475,-7.71263901
"Kristoffersen::10324",25,3,-12.3737435,-12.53934855,-12.20994625
"Kristoffersen::10333",26,6,-14.1073865,-14.2035028,-14.01724055
"Kristoffersen::10349",27,4,-9.43072495,-9.530589155,-9.33438743
"Kristoffersen::10367",28,8,-11.588674,-11.65127835,-11.52509275
"Kristoffersen::10398",29,11,-12.2088165,-12.26409275,-12.15297835
"Kristoffersen::10404",30,5,-8.38194525,-8.45971342,-8.302827015
"Kristoffersen::10427",31,8,-11.421874,-11.48495995,-11.3608982
"Kristoffersen::1043",32,11,-13.7230225,-13.83538095,-13.612257
"Kristoffersen::10431",33,3,-8.20907115,-8.30185661,-8.11469561
"Kristoffersen::10436",34,3,-9.52487655,-9.61943107,-9.429574775
"Kristoffersen::10439",35,3,-11.95949,-12.0936305,-11.8255354
