"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","kappa_median","kappa_q5","kappa_q95"
"Tsuji::O0028",1,3,-8.27566175,-8.653119075,-7.902112835,15.9706365,14.3650601,17.6758593
"Tsuji::O0043",2,3,-7.51145195,-7.81608376,-7.20878462,9.90488685,8.90437449,10.9059752
"Tsuji::O0083",3,3,-10.617606,-11.00164735,-10.25019445,10.209181,9.41058792,11.0249053
"Tsuji::O0104",4,3,-9.43393605,-9.77325483,-9.0807332,14.2565315,13.0929423,15.4154778
"Tsuji::O0124",5,3,-7.32786535,-7.6242901,-7.03666102,15.284869,13.75842225,16.96191265
"Tsuji::O0197",6,3,-10.845027,-11.227835,-10.48504225,12.3481065,11.42171925,13.3024476
"Tsuji::O0208",7,3,-13.380768,-14.3743843,-12.5476261,9.51973885,5.980517225,13.81687525
"Tsuji::O0212",8,3,-8.3726069,-8.58930765,-8.164887365,11.5210645,10.4425411,12.6069837
"Tsuji::O0256",9,3,-10.0638845,-10.42830095,-9.700068385,24.100315,22.3861249,25.87453715
"Tsuji::O0262",10,3,-13.658528,-15.02675775,-12.58646815,19.1011645,13.8017443,25.84604935
"Tsuji::O0277",11,3,-12.83722,-13.95414475,-11.883458,20.294723,16.93690035,24.25685655
"Tsuji::O0287",12,3,-8.2051993,-8.39506284,-8.02280213,7.4599359,6.723243,8.22923406
"Tsuji::O0289",13,3,-9.0892156,-9.42379787,-8.79025516,11.8986825,10.6464262,13.3642713
"Tsuji::O0295",14,3,-10.0613905,-10.60987095,-9.576418655,21.0255015,19.0110248,23.34547665
"Tsuji::O0314",15,3,-12.169498,-12.70867445,-11.66903225,19.9475495,18.5226845,21.4512419
"Tsuji::O0367",16,3,-8.522864,-8.786542345,-8.273671965,10.705337,9.815328,11.6688628
"Tsuji::O0473",17,3,-14.379058,-15.5718693,-13.35003095,15.5023605,12.16356085,19.29551195
"Tsuji::O0531",18,3,-7.4183899,-7.66794187,-7.167116185,9.31902125,8.484067875,10.2130452
"Tsuji::O0536",19,3,-13.92916,-14.74580225,-13.154876,12.8291625,11.29521335,14.4836979
"Tsuji::O0552",20,3,-6.10139445,-6.443368725,-5.77233723,13.7283075,11.78506605,15.83466515
"Tsuji::O0558",21,3,-10.811237,-11.25880365,-10.4089763,32.691854,30.1800558,35.44025365
"Tsuji::S0109",22,3,-10.834852,-11.4262366,-10.2946741,6.3760251,3.28545713,9.65775798
"Tsuji::S0112",23,3,-8.7380974,-9.03983817,-8.453402565,9.66672285,7.494821575,11.94771005
"Tsuji::S0144",24,3,-8.57212345,-8.86960346,-8.29004124,15.2244575,12.1007212,18.75976925
"Tsuji::S0147",25,3,-10.320224,-10.84452135,-9.8466204,14.991071,10.67541415,20.13249275
"Tsuji::S0169",26,3,-10.288948,-10.8003564,-9.815539875,11.897417,8.22407923,16.24619495
"Tsuji::S0175",27,4,-8.9082378,-9.59402976,-8.23969026,22.471775,16.6106921,29.66008815
"Tsuji::S0307",28,3,-7.98541095,-8.3248078,-7.65316597,8.3302801,6.607110445,10.15581715
"Tsuji::S0340",29,3,-11.3609335,-11.9207261,-10.8621903,16.7456845,11.8122693,23.0928029
"Tsuji::S0389",30,3,-12.848073,-13.90452345,-11.9112657,9.75780425,4.026135915,16.53630105
"Tsuji::S0402",31,3,-8.83768915,-9.52144756,-8.141146385,24.3084205,17.10313895,32.7064746
"Tsuji::S0414",32,3,-8.11661105,-8.369111115,-7.87075286,19.4958085,16.08767165,23.57870075
"Tsuji::S0421",33,3,-8.55651905,-8.8393224,-8.283042315,16.4474925,13.6076853,19.8426525
"Tsuji::S0467",34,3,-12.3549645,-13.37514415,-11.4960966,19.897604,12.2442252,28.74848835
