"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","kappa_median","kappa_q5","kappa_q95"
"Smith::10016",1,2,-10.989188,-11.92750345,-10.05469245,9.86918155,6.69459228,13.0480791
"Smith::10019",2,2,-7.65786365,-7.84548469,-7.47621634,14.56456,13.7161441,15.4554117
"Smith::10249",3,2,-13.405556,-15.4558141,-11.3066277,12.370097,4.61949314,19.9958188
"Smith::10265",4,5,-12.3459955,-12.76148965,-11.94600945,8.9026544,7.86713206,9.94072407
"Smith::10270",5,2,-8.5907581,-9.404455585,-7.718519155,14.671702,9.833279025,19.1733517
"Smith::10343",6,2,-9.9482614,-10.61685095,-9.29756656,10.291942,7.182063075,13.4866653
"Smith::10374",7,2,-8.01425995,-8.59670484,-7.47355931,19.046713,14.895281,23.54388395
"Smith::10457",8,2,-10.095092,-10.48382785,-9.72326714,9.9389948,7.73987575,12.3072493
"Smith::10485",9,3,-11.757374,-12.17265095,-11.35455075,13.707459,12.73570925,14.7490966
"Smith::10487",10,2,-8.64216385,-8.972370625,-8.311981185,10.556334,9.59539407,11.5033161
"Smith::10520",11,4,-10.147719,-10.3710546,-9.93446027,6.54881605,5.96571595,7.14495609
"Smith::10528",12,2,-5.59200185,-5.882689175,-5.30729521,11.7126915,10.1123429,13.69799095
"Smith::10529",13,2,-8.76496685,-9.142679905,-8.378739905,25.222714,22.633567,27.7076596
"Smith::10600",14,4,-7.4498148,-7.592617585,-7.314505905,7.0330067,6.522211045,7.568473105
"Smith::10618",15,2,-7.83762085,-7.978603175,-7.69792702,9.0922125,7.42492217,10.82137295
"Smith::10631",16,3,-9.4434318,-9.710998155,-9.19051137,16.7567095,15.97997185,17.5732944
"Smith::10657",17,2,-12.321716,-13.19747785,-11.4801796,16.275505,13.4588241,19.1842493
"Smith::10659",18,3,-11.834302,-12.19536745,-11.50091855,21.069546,19.72213355,22.5112776
"Smith::10677",19,2,-11.0496825,-11.5635538,-10.5118653,11.585426,10.2916153,12.87692465
"Smith::10750",20,7,-10.3402675,-10.49853035,-10.1861319,23.3383815,22.1844261,24.51488265
"Smith::10780",21,2,-10.265735,-10.68386,-9.884174505,7.22747035,5.75718136,8.714569685
"Smith::10805",22,4,-10.776455,-11.03087785,-10.53388,21.9264905,21.04523155,22.8317697
"Smith::10807",23,6,-9.06323085,-9.200467425,-8.9257803,10.688432,10.05532985,11.3278059
"Smith::10864",24,5,-10.7840175,-11.02198895,-10.56303975,10.3518785,9.70111211,11.03622435
"Smith::10877",25,5,-12.623734,-13.0665531,-12.2430647,3.04037675,0.485098713,5.66463732
"Smith::10880",26,2,-7.01838,-7.17931217,-6.86400706,7.25068595,6.76962191,7.74137667
"Smith::10900",27,8,-7.93172015,-8.02508348,-7.839351745,12.099198,11.6460855,12.54428295
"Smith::10938",28,2,-8.37698925,-9.37648516,-7.336260855,2.6967136,-0.488847606,5.733670155
"Smith::10958",29,5,-11.7007225,-11.93173955,-11.46999995,17.6180495,16.83651315,18.37771
