"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","slope_median","slope_q5","slope_q95"
"Smith::13608",91,3,-12.6415385,-13.4183019,-11.99075875,0.806339035,0.7077205725,0.9253538715
"Smith::13635",92,3,-9.5121637,-9.70691248,-9.32499866,0.639896925,0.610871436,0.6699888095
"Smith::13789",93,4,-7.11681065,-7.25530015,-6.98131946,0.21338498,0.192230924,0.2346994585
"Smith::13899",94,3,-7.2978961,-7.42334136,-7.17322657,0.622630315,0.5862993705,0.6582689825
"Smith::13900",95,3,-7.3472558,-7.47166015,-7.22770262,0.338291985,0.303554297,0.3748851465
"Smith::13939",96,3,-8.8378118,-9.01533304,-8.673099265,0.71620684,0.679203786,0.7528211195
"Smith::13967",97,4,-7.587703,-7.684041705,-7.48769798,0.875152165,0.8084344185,0.943920823
"Smith::13988",98,3,-7.06270405,-7.163338985,-6.96171394,0.63324535,0.5169552715,0.7511573355
"Smith::14094",99,4,-7.35341455,-7.45738526,-7.247248685,0.617504475,0.583047795,0.655179712
"Smith::14179",100,3,-10.3750405,-10.7393357,-10.0170035,0.33225156,0.2806942415,0.3820300155
"Smith::14222",101,3,-12.02396,-12.3686667,-11.70408275,0.749459915,0.7112274485,0.7889262575
"Smith::14253",102,3,-9.26706305,-9.66167817,-8.893507565,0.69584255,0.639851157,0.75599647
"Smith::14257",103,4,-10.8124835,-11.10751505,-10.5443448,0.699759495,0.640960351,0.762808869
"Smith::14267",104,5,-8.90036915,-9.036120645,-8.76700574,0.58631698,0.5621086805,0.6095572395
"Smith::14269",105,4,-8.95621005,-9.12883511,-8.793375165,0.39254253,0.3636698085,0.4210845935
"Smith::14277",106,5,-8.68074495,-8.807178725,-8.55619459,0.460700965,0.4420934595,0.4806646005
"Smith::14284",107,4,-9.27792695,-9.672103845,-8.881507655,0.678171875,0.6212413415,0.7359287895
"Smith::14287",108,3,-9.003264,-9.223303945,-8.78694543,0.45013513,0.4211169595,0.479995841
