"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","kappa_median","kappa_q5","kappa_q95"
"Tsuji::O0028",1,3,-7.7511519,-8.101571605,-7.410794725,13.2107515,11.89652925,14.61495335
"Tsuji::O0043",2,3,-7.35750335,-7.64389632,-7.075907175,9.12471585,8.27113705,10.00130615
"Tsuji::O0083",3,3,-10.3397145,-10.6850714,-9.999566875,9.73431265,8.9637153,10.5011857
"Tsuji::O0104",4,3,-9.32867585,-9.6668279,-9.00464477,13.4299385,12.3823657,14.5319607
"Tsuji::O0124",5,3,-7.0350847,-7.30997504,-6.76130431,12.648162,11.4434069,13.97690065
"Tsuji::O0197",6,3,-11.0655275,-11.4496757,-10.6988498,12.554879,11.6116074,13.5396906
"Tsuji::O0208",7,3,-11.778171,-12.37079355,-11.3020044,5.335479,3.24592245,7.8555876
"Tsuji::O0212",8,3,-8.31541475,-8.51631442,-8.108381325,11.307662,10.2522397,12.35169665
"Tsuji::O0256",9,3,-9.8663384,-10.2023591,-9.54922463,22.5917565,21.098382,24.143399
"Tsuji::O0262",10,3,-12.3743295,-13.40637195,-11.5780047,13.495035,9.563255225,18.57290965
"Tsuji::O0277",11,3,-11.610268,-12.3095359,-10.9870791,15.8645015,13.62777465,18.420767
"Tsuji::O0287",12,3,-8.12657945,-8.30552802,-7.95619776,7.02155575,6.320879735,7.70139016
"Tsuji::O0289",13,3,-8.6613716,-8.91349661,-8.42840405,10.371488,9.376274905,11.42708955
"Tsuji::O0295",14,3,-9.53803625,-9.94269679,-9.173591335,18.600429,16.96407305,20.29934415
"Tsuji::O0314",15,3,-11.846627,-12.3139025,-11.3960589,18.8961015,17.6410522,20.2851275
"Tsuji::O0367",16,3,-8.455719,-8.700654275,-8.21156655,10.3462085,9.501480315,11.1796786
"Tsuji::O0473",17,3,-12.9362665,-13.73845515,-12.2233027,11.7067765,9.289229295,14.30099395
"Tsuji::O0531",18,3,-7.3684757,-7.616168115,-7.126758895,8.8474661,8.045136845,9.65591948
"Tsuji::O0536",19,3,-13.0502805,-13.6794509,-12.44170815,11.0498395,9.738198345,12.36381695
"Tsuji::O0552",20,3,-5.72405825,-6.04201103,-5.40796339,11.2080015,9.66170332,12.87336085
"Tsuji::O0558",21,3,-10.6658815,-11.0736964,-10.28656475,30.274757,28.19532115,32.47186015
"Tsuji::S0109",22,3,-10.2841195,-10.73371435,-9.900390485,4.50606055,2.35106542,6.884096155
"Tsuji::S0112",23,3,-8.559939,-8.818725465,-8.307182775,7.20341105,5.65438649,8.799919205
