"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","slope_median","slope_q5","slope_q95"
"Thal::E0002",1,3,-9.9329296,-10.19945245,-9.674628005,0.4986386,0.470769637,0.5283873445
"Thal::E0004",2,3,-9.43653285,-9.686575525,-9.186478775,0.58770952,0.5601750905,0.6182961525
"Thal::E0005",3,3,-8.2987697,-8.48956325,-8.12511268,0.55646153,0.531894571,0.5818521985
"Thal::E0008",4,3,-11.327001,-11.5941402,-11.078387,-0.00435968645,-0.04416583405,0.0343182337
"Thal::E0010",5,3,-10.2939875,-10.58871335,-10.00725715,0.509249805,0.4780515365,0.541420262
"Thal::E0011",6,3,-10.286547,-10.60031905,-10.01316595,0.496452755,0.465339255,0.530188022
"Thal::E0013",7,3,-8.1539125,-8.333980275,-7.981808155,0.5613114,0.537226371,0.586528053
"Thal::E0015",8,4,-8.46480875,-8.61554644,-8.32028402,0.542993345,0.5193668115,0.566547436
"Thal::E0019",9,3,-9.39678855,-9.646653455,-9.16329739,0.590949495,0.562243999,0.620072146
"Thal::E0020",10,3,-9.51391465,-9.725905915,-9.3154098,0.382996415,0.3591038355,0.4077451305
"Thal::E0022",11,3,-6.8896213,-7.082109815,-6.682232725,0.7372516,0.6921237005,0.792686607
"Thal::E0023",12,3,-9.1564158,-9.365004945,-8.95214506,0.513341355,0.4887891145,0.538758886
"Thal::E0025",13,3,-8.6326068,-8.848036045,-8.42471615,0.72564416,0.6920085,0.7614794375
"Thal::E0028",14,3,-6.9529405,-7.09339216,-6.81399569,0.53237607,0.5063477265,0.5606472705
"Thal::E0030",15,3,-7.81918505,-7.969392665,-7.665836315,0.436183735,0.4150875655,0.4564600625
"Thal::E0032",16,3,-11.222357,-11.6708458,-10.83577505,0.5573901,0.5166456465,0.602282552
"Thal::E0033",17,3,-10.791672,-11.18370685,-10.4136979,0.62685496,0.588445037,0.6673347295
"Thal::E0036",18,3,-9.20524905,-9.44422822,-8.97914803,0.567264665,0.5404319255,0.5954255455
"Thal::E0037",19,3,-8.8120295,-8.985824485,-8.63916628,0.391745565,0.3705319415,0.4125957155
"Thal::E0038",20,3,-9.26543215,-9.53059022,-9.012021125,0.703625605,0.6723395675,0.7384675395
"Thal::E0039",21,3,-10.5486145,-10.9300209,-10.20579205,0.72707707,0.6884191565,0.7681884865
"Thal::E0040",22,3,-7.30907965,-7.4736723,-7.142583625,0.632916225,0.6012918155,0.6648920465
"Thal::E0041",23,3,-10.981467,-11.3931443,-10.6158862,0.569472,0.5303540505,0.613574182
"Thal::E0042",24,3,-8.969717,-9.19301668,-8.75988115,0.54912166,0.5237609275,0.57506206
"Thal::E0043",25,3,-7.6832663,-7.86607934,-7.505787605,0.656826775,0.624617155,0.6901018725
"Thal::E0047",26,3,-10.0118405,-10.28364185,-9.77228959,0.4440452,0.416312657,0.473135462
"Thal::E0049",27,3,-11.618595,-12.1751857,-11.1135381,0.687657585,0.635940844,0.7448471985
"Thal::E0050",28,3,-10.336694,-10.7164462,-10.00239795,0.659922815,0.624968113,0.6958697525
"Thal::E0053",29,3,-10.801835,-11.1835006,-10.4394976,0.610594985,0.5715591965,0.650899068
"Thal::E0055",30,3,-8.86845005,-9.06896982,-8.670488765,0.532340645,0.5078719295,0.55722632
"Thal::E0059",31,3,-10.7917835,-11.1919533,-10.41673705,0.61352498,0.5726247615,0.6565557025
"Thal::E0060",32,3,-8.8453868,-9.03425485,-8.672506165,0.398121285,0.3769232715,0.41973646
"Thal::E0064",33,3,-8.87371345,-9.07091959,-8.68762913,0.464733705,0.442142106,0.487872931
"Thal::E0069",34,3,-12.460099,-13.1648623,-11.88966255,0.49259388,0.433971897,0.560409003
"Thal::E0071",35,3,-11.9824685,-12.4992331,-11.5177967,0.47251813,0.424225358,0.5257128165
"Thal::E0072",36,3,-8.6957628,-8.894544315,-8.513721375,0.5186423,0.4947344095,0.542934798
"Thal::E0073",37,3,-8.67025075,-8.907727325,-8.450475735,0.743003585,0.7080150645,0.777379814
"Thal::E0075",38,3,-8.25877175,-8.42938298,-8.081801295,0.530806585,0.507988907,0.5551946145
"Thal::E0076",39,3,-9.58785905,-9.8482096,-9.337891375,0.58732491,0.5581765285,0.616862259
"Thal::E0081",40,3,-7.38092775,-7.60613619,-7.141049865,0.809353765,0.757483445,0.871754184
"Thal::E0082",41,3,-7.79005945,-7.95255375,-7.62912725,0.540494875,0.5174553435,0.5651922655
"Thal::E0083",42,3,-8.4398117,-8.601445115,-8.27406778,0.409467815,0.389164768,0.430791036
"Thal::E0087",43,3,-9.95986485,-10.3907212,-9.572895325,0.939617655,0.888384979,0.994695252
"Thal::E0088",44,3,-10.2596445,-10.58002065,-9.965119645,0.679107935,0.645347472,0.714829377
"Thal::E0090",45,3,-9.86144425,-10.08796575,-9.63707232,0.36938807,0.343340017,0.3945193305
"Thal::E0092",46,3,-8.44287165,-8.614256385,-8.27638615,0.451381945,0.429795046,0.4741498515
"Thal::E0093",47,3,-11.809524,-12.26712965,-11.41289,0.38862293,0.3451291375,0.4385810515
"Thal::E0094",48,3,-10.2791015,-10.60061665,-9.97771573,0.633133565,0.5995286835,0.667768798
"Thal::E0095",49,3,-2.28846595,-2.590526335,-1.972911735,0.53296044,0.4524325055,0.6178357575
"Thal::E0097",50,3,-10.9922445,-11.36896115,-10.64029875,0.49231265,0.4554965565,0.531293256
"Thal::E0102",51,3,-7.93369365,-8.242240065,-7.603508745,0.98344133,0.9026830095,1.082843725
"Thal::E0104",52,3,-8.81486385,-8.99116433,-8.642644185,0.39700889,0.376735845,0.418352332
"Thal::E0105",53,3,-9.82726845,-10.08368305,-9.591101445,0.46304621,0.4368343515,0.491314917
"Thal::E0106",54,3,-11.6069215,-12.09228975,-11.2007721,0.479037495,0.435447576,0.52872263
"Thal::E0109",55,3,-9.69866915,-9.98081054,-9.436025495,0.612304725,0.5816368635,0.6445217925
"Thal::E0110",56,3,-5.960138,-6.1463615,-5.775609155,0.64329139,0.600189461,0.6947186075
"Thal::E0111",57,3,-9.50114225,-9.75423358,-9.25904599,0.57993567,0.5524479955,0.6090693195
"Thal::E0112",58,3,-9.89772995,-10.26956155,-9.590395695,0.708340635,0.672851164,0.748933177
"Thal::E0113",59,3,-9.3860979,-9.651407965,-9.140539705,0.649833095,0.620199293,0.680429167
"Thal::E0114",60,3,-10.1073595,-10.3449391,-9.880385145,0.35776064,0.33196642,0.384719158
"Thal::E0117",61,3,-9.38768035,-9.58464306,-9.192566085,0.37703384,0.354409032,0.3996432405
"Thal::E0118",62,3,-7.7787623,-8.06469913,-7.48505168,0.944873295,0.8697466585,1.039301875
"Thal::E0119",63,3,-9.85064225,-10.1262312,-9.58565315,0.591034105,0.560907902,0.6219036015
"Thal::E0120",64,3,-9.4861046,-9.76380759,-9.219553575,0.661744435,0.631029033,0.694607224
"Thal::E0121",65,3,-8.9861776,-9.20255404,-8.78413025,0.52076384,0.4968341505,0.5471324755
"Thal::E0125",66,3,-9.65458715,-9.917734745,-9.40243775,0.60148223,0.5722133955,0.6305167415
"Thal::E0130",67,3,-9.29668715,-9.545120455,-9.0682468,0.588772185,0.5617546075,0.619365341
"Thal::E0131",68,3,-9.20784275,-9.41219323,-9.011152895,0.410577535,0.39039043,0.4322402865
"Thal::E0132",69,3,-8.61295,-8.789565305,-8.43746224,0.472584235,0.450350505,0.49465603
"Thal::E0136",70,3,-11.7834155,-12.3147137,-11.3094654,0.535972555,0.4866485045,0.588409759
"Thal::E0138",71,3,-9.5517594,-9.79693687,-9.31921338,0.502707875,0.4760585565,0.5300972715
"Thal::E0141",72,3,-7.73188035,-7.881142835,-7.590314175,0.429616065,0.4108881245,0.4496508345
"Thal::E0142",73,3,-6.23658935,-6.386141775,-6.0856756,0.56991736,0.5364395525,0.606112954
"Thal::E0144",74,3,-8.7642998,-9.108217305,-8.40973761,1.0282291,0.949928994,1.123762315
"Thal::E0145",75,3,-7.45365545,-7.60742592,-7.302433345,0.531603695,0.5066933015,0.556853263
"Thal::E0148",76,3,-8.7188613,-8.942885575,-8.505224185,0.664904195,0.636180998,0.695096648
