"parameter","median","q025","q975"
"rho_alpha_zeta",-0.134,-0.3514,0.106
"rho_alpha_rtslope",-0.3218,-0.683,0.1606
"rho_zeta_rtslope",-0.0242,-0.3338,0.2728
"sigma_alpha",1.6584,1.3589,2.0335
"sigma_zeta",6.4151,5.4214,7.5631
"sigma_rtslope",0.7637,0.4886,1.0601
"gamma_rt",0.0808,0.0411,0.1205
"mu_rtslope",-0.7248,-1.0818,-0.3742
"sigma_lwl",0.2265,0.2039,0.2533
