child_id,intercept_blup,slope_blup,language,lang_slug,model
Smith::10016,-1.6079202248531979,-2.8701783555616807,English (American),smith,D_log
Smith::10019,2.6598411491716853,1.7445869937433744,English (American),smith,D_log
Smith::10249,-3.508004549625189,-0.2809601300920095,English (American),smith,D_log
Smith::10265,-3.1406001810995683,-3.9009385503743,English (American),smith,D_log
Smith::10270,1.7578351035380042,1.9627157579904786,English (American),smith,D_log
Smith::10343,-0.4670655607982724,-2.5744592716768335,English (American),smith,D_log
Smith::10374,3.2171240487524986,6.371982074901168,English (American),smith,D_log
Smith::10457,-0.6852699233870092,-2.784543409508492,English (American),smith,D_log
Smith::10485,-1.5930844754553877,0.8876237590119351,English (American),smith,D_log
Smith::10487,0.8823391248218224,-2.280956469272745,English (American),smith,D_log
Smith::10520,-1.4250267381144317,-6.23395412892107,English (American),smith,D_log
Smith::10528,4.1494065217988725,-1.2015851164113966,English (American),smith,D_log
Smith::10529,3.6850778875016394,12.253597335818139,English (American),smith,D_log
Smith::10600,1.3623717740864998,-5.757559099260836,English (American),smith,D_log
Smith::10618,1.3947657420847468,-3.6922887242380362,English (American),smith,D_log
Smith::10631,1.320303087121066,3.9220957728028063,English (American),smith,D_log
Smith::10657,-1.6418278091119014,3.422748823856488,English (American),smith,D_log
Smith::10659,-0.19420811588154488,8.20234041376431,English (American),smith,D_log
Smith::10677,-1.3033589054448846,-1.2441013746532146,English (American),smith,D_log
Smith::10750,1.7392710523086732,10.442122214588263,English (American),smith,D_log
Smith::10780,-1.4079361331378315,-5.557878538559952,English (American),smith,D_log
Smith::10805,1.0244266229616734,9.107209753508009,English (American),smith,D_log
Smith::10807,0.48746491300512096,-2.1023187279159545,English (American),smith,D_log
Smith::10864,-1.2978484393716314,-2.443329963938556,English (American),smith,D_log
Smith::10877,-4.580097946795269,-9.723805720665254,English (American),smith,D_log
Smith::10880,1.8373856691884787,-5.546415554906567,English (American),smith,D_log
Smith::10900,1.8959998375570717,-0.7136627503372686,English (American),smith,D_log
Smith::10938,-0.4363121158482889,-10.026336878670877,English (American),smith,D_log
Smith::10958,-0.7606032916098495,4.782632120784629,English (American),smith,D_log
Smith::10964,-0.6832999556857945,4.197845456144485,English (American),smith,D_log
Smith::10969,0.36857910926487997,-3.1459672382553228,English (American),smith,D_log
Smith::11000,0.9350402229003114,6.063349644791671,English (American),smith,D_log
Smith::11001,-1.1513450081974248,-2.061519458863759,English (American),smith,D_log
Smith::11002,-0.5602521618558324,2.8865468508191645,English (American),smith,D_log
Smith::11007,1.576194537838948,2.4236002031623367,English (American),smith,D_log
Smith::11011,4.9874644334091975,8.813014836398743,English (American),smith,D_log
Smith::11013,-0.9716581963989993,-7.870831531452432,English (American),smith,D_log
Smith::11081,-0.7883734621999027,-1.0639301119959947,English (American),smith,D_log
Smith::11133,1.1669290998877684,3.625708903089105,English (American),smith,D_log
Smith::11157,-0.25607695856215845,-11.715434554060598,English (American),smith,D_log
Smith::11205,-1.2723922500649134,0.7199752921987401,English (American),smith,D_log
Smith::11246,-0.14911127792883147,-0.16784655073426136,English (American),smith,D_log
Smith::11303,-1.8227905468844923,3.1843015538092523,English (American),smith,D_log
Smith::11483,2.9774962563779597,-4.0664744652019085,English (American),smith,D_log
Smith::11491,2.5955578372332617,1.4421110962530104,English (American),smith,D_log
Smith::11506,2.375745872181787,-20.033167907502886,English (American),smith,D_log
Smith::11526,1.89683287701164,-14.10245958579126,English (American),smith,D_log
Smith::11556,0.21586421338062714,-2.860100947341897,English (American),smith,D_log
Smith::11570,-1.5970931716595969,-6.780807552039301,English (American),smith,D_log
Smith::11575,-2.0365080437513843,-8.244451499679789,English (American),smith,D_log
Smith::11578,-0.3058153648374172,-4.11359487137322,English (American),smith,D_log
Smith::11593,-4.017497504236707,-3.714813460769137,English (American),smith,D_log
Smith::11683,0.9238917963254963,-2.027796153476143,English (American),smith,D_log
Smith::11685,-1.177578579591846,1.6579467530766467,English (American),smith,D_log
Smith::11695,-1.807389688648221,-1.0723592363238768,English (American),smith,D_log
Smith::11710,-1.4692634530831497,-5.085555584086915,English (American),smith,D_log
Smith::11714,-1.0025446737548103,3.069306213797224,English (American),smith,D_log
Smith::11743,2.1616601829246296,-3.7115281011639545,English (American),smith,D_log
Smith::11763,-3.351707634033921,-3.0690856875109787,English (American),smith,D_log
Smith::11769,-1.148857215571198,0.5691154585754601,English (American),smith,D_log
Smith::11823,-6.164213668599002,22.44775148131612,English (American),smith,D_log
Smith::11829,-3.775601950785484,7.534238704823454,English (American),smith,D_log
Smith::11870,1.3442399039659334,-3.8298606925902337,English (American),smith,D_log
Smith::11884,-7.370963964867173,-4.71669527107841,English (American),smith,D_log
Smith::11890,-1.398356670774287,3.0768642067755376,English (American),smith,D_log
Smith::11894,0.6901244805809865,1.0412187518130702,English (American),smith,D_log
Smith::11900,2.550239146781118,-0.5507276100710992,English (American),smith,D_log
Smith::11918,1.3377022412896085,-1.019829250500121,English (American),smith,D_log
Smith::11947,-1.2707995553440743,-3.245368400210631,English (American),smith,D_log
Smith::11952,-0.6550399826850288,-5.23444923152343,English (American),smith,D_log
Smith::11971,-1.055077715911686,-4.998544540625839,English (American),smith,D_log
Smith::11977,1.7691707380974537,12.852066620087903,English (American),smith,D_log
Smith::11985,2.128388876849933,33.71535609586712,English (American),smith,D_log
Smith::11999,-0.308514765155526,-3.924201698219616,English (American),smith,D_log
Smith::12005,1.877195208394498,-8.22720750506744,English (American),smith,D_log
Smith::12008,-2.140599742148146,-12.463545511926178,English (American),smith,D_log
Smith::12012,4.201606905822906,5.675569345872993,English (American),smith,D_log
Smith::12016,1.4691349371530105,-0.15208048655946071,English (American),smith,D_log
Smith::12037,0.6935911483761851,3.008295171034027,English (American),smith,D_log
Smith::12091,-2.355790136938305,2.255664397028093,English (American),smith,D_log
Smith::12092,-2.566622440189578,-7.825439854944678,English (American),smith,D_log
Smith::12105,-0.6784200175273118,-8.545778956349485,English (American),smith,D_log
Smith::12134,-3.907264951764871,23.550415445102313,English (American),smith,D_log
Smith::12154,1.3018501995755978,1.549548113703922,English (American),smith,D_log
Smith::12187,0.4987343576300455,-1.9195012954120223,English (American),smith,D_log
Smith::12192,-0.22835676283063558,0.23877544298785358,English (American),smith,D_log
Smith::12197,-2.964509105751188,1.3377160900049705,English (American),smith,D_log
Smith::12217,2.9341343135106674,-0.6071373962076674,English (American),smith,D_log
Smith::12227,-1.7406771827026515,-7.100895628729907,English (American),smith,D_log
Smith::12249,-3.902087127826543,9.281262198151524,English (American),smith,D_log
Smith::12295,1.103587795159507,-5.329183882467033,English (American),smith,D_log
Smith::12322,-0.37534852809490876,1.173486040000673,English (American),smith,D_log
Smith::12330,1.440451981393063,6.145599629666137,English (American),smith,D_log
Smith::12334,3.4400050845244166,-2.4972171317964893,English (American),smith,D_log
Smith::12338,2.517353962808223,-3.2581588515261113,English (American),smith,D_log
Smith::12349,-0.9803093316818424,-3.1748212052435063,English (American),smith,D_log
Smith::12354,4.956381942600322,5.244304465129368,English (American),smith,D_log
Smith::12366,1.9124895155689772,-4.676998108706124,English (American),smith,D_log
Smith::12367,0.655587937872093,-1.1194593933503836,English (American),smith,D_log
Smith::12369,-4.429881399371424,-14.973386750338436,English (American),smith,D_log
Smith::12375,0.16526345539923432,-5.72640814439859,English (American),smith,D_log
Smith::12378,-3.933660895311375,3.9646364505903957,English (American),smith,D_log
Smith::12382,1.3351247115162783,1.1351200833486343,English (American),smith,D_log
Smith::12469,-4.328367823814482,7.159797035931786,English (American),smith,D_log
Smith::12478,-1.0855383752768508,-9.579845788205079,English (American),smith,D_log
Smith::12558,-1.1111968775222247,2.883250539904626,English (American),smith,D_log
Smith::12577,2.016222722607967,-3.637275789502687,English (American),smith,D_log
Smith::12598,-2.931103190675264,-1.7176203460507886,English (American),smith,D_log
Smith::12600,3.4066098636613606,-2.6529352267830086,English (American),smith,D_log
