child_id,intercept_blup,slope_blup,language,lang_slug,model
64696,0.3650775242957221,0.3458041440161153,French (French),french_french,D_lin
64698,-0.4993650212977879,-0.24861000014013174,French (French),french_french,D_lin
64699,-1.9230471643983877,0.13238718227119722,French (French),french_french,D_lin
64700,-0.16009293538230532,0.04011728300972589,French (French),french_french,D_lin
64701,0.5488764385094572,0.03934300505079475,French (French),french_french,D_lin
64704,0.8225175347641729,0.3591518800600877,French (French),french_french,D_lin
64705,-1.9230471643983837,0.13238718227119695,French (French),french_french,D_lin
64706,-0.06470904524844283,-0.38708094281100314,French (French),french_french,D_lin
64707,-1.9230471643983924,0.13238718227119753,French (French),french_french,D_lin
64708,0.9512149651462599,-0.08302685995177653,French (French),french_french,D_lin
64709,-0.2554972248461837,-0.4544775416080374,French (French),french_french,D_lin
64710,-1.7883660138095747,0.1161958110950467,French (French),french_french,D_lin
64711,1.3371414319496406,-0.25665865769182894,French (French),french_french,D_lin
64712,0.1506290545969443,0.04372523755627558,French (French),french_french,D_lin
64715,-1.788366013809569,0.11619581109504647,French (French),french_french,D_lin
64716,-1.9230471643983715,0.13238718227119625,French (French),french_french,D_lin
64719,1.0103632329229344,0.07074573130648526,French (French),french_french,D_lin
64721,-1.7883660138095776,0.11619581109504688,French (French),french_french,D_lin
64722,-0.6116794251163503,0.34547013058460463,French (French),french_french,D_lin
64723,1.7933224620129464,-0.15248894497902676,French (French),french_french,D_lin
64724,-0.6206931179759174,0.059629423359340517,French (French),french_french,D_lin
64725,0.9977658542219512,0.19554734409260102,French (French),french_french,D_lin
64726,0.35058034671938926,0.060052770781224424,French (French),french_french,D_lin
64727,-1.9230471643983795,0.13238718227119695,French (French),french_french,D_lin
64728,2.0093984798488274,0.10383842822899755,French (French),french_french,D_lin
64729,-1.4314435024476644,0.11710644360857744,French (French),french_french,D_lin
64730,-1.923047164398396,0.13238718227119753,French (French),french_french,D_lin
64731,-0.27132853096135406,-0.19865454414295933,French (French),french_french,D_lin
64732,1.7776923637358815,0.08724207616220746,French (French),french_french,D_lin
64733,-0.2206526205797848,0.08883427968523845,French (French),french_french,D_lin
64735,-1.9230471643983928,0.13238718227119747,French (French),french_french,D_lin
