source,sample_label,language,measure_type,method,subject_id,n_recordings,log_r,tokens_per_hour,citation_path
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_1,1,6.7214,830,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_2,1,6.9976,1094,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_3,1,7.3185,1508,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_4,1,6.5876,726,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_5,1,6.7452,850,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_6,1,6.8824,975,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_7,1,7.3951,1628,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_8,1,7.5175,1840,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_9,1,7.7719,2373,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_10,1,7.411,1654,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_11,1,8.3168,4092,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_12,1,8.4268,4568,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_13,1,7.7998,2440,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_14,1,7.9936,2962,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_15,1,8.2003,3642,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_16,1,8.1185,3356,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_17,1,8.1758,3554,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_18,1,8.2491,3824,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_19,1,7.6109,2020,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_20,1,7.6667,2136,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_21,1,7.8702,2618,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_22,1,7.7415,2302,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_23,1,7.9697,2892,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_24,1,8.1374,3420,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_25,1,7.4844,1780,papers/input_estimation/sperry_etal_2019.pdf
