source,sample_label,language,measure_type,method,subject_id,age_mo,tokens_per_hour,log_r,citation_path
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),NA,NA,830,6.7214,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1094,6.9976,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),NA,NA,1508,7.3185,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),NA,NA,726,6.5876,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,850,6.7452,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),NA,NA,975,6.8824,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1628,7.3951,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1840,7.5175,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),NA,NA,2373,7.7719,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1654,7.411,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,4092,8.3168,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,4568,8.4268,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,2440,7.7998,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2962,7.9936,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,3642,8.2003,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,3356,8.1185,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,3554,8.1758,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,3824,8.2491,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,2020,7.6109,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2136,7.6667,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,2618,7.8702,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,2302,7.7415,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2892,7.9697,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,3420,8.1374,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1780,7.4844,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2380,7.7749,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,2690,7.8973,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,706,6.5596,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1404,7.2471,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,1966,7.5838,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1070,6.9754,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,3446,8.145,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,5432,8.6001,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1018,6.9256,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1032,6.9393,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,1042,6.9489,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,2998,8.0057,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,3374,8.1239,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,4012,8.297,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),NA,NA,872,6.7708,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1400,7.2442,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),NA,NA,2024,7.6128,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1362,7.2167,papers/input_estimation/sperry_etal_2019.pdf
