corpus,subset,seed,words,rung,word,surprisal
babylm,babylm_S1,0,500000,0.5M,a,3.436527
babylm,babylm_S1,0,500000,0.5M,about,6.056607
babylm,babylm_S1,0,500000,0.5M,above,8.780634
babylm,babylm_S1,0,500000,0.5M,after,6.898308
babylm,babylm_S1,0,500000,0.5M,airplane,12.720405
babylm,babylm_S1,0,500000,0.5M,all,5.407551
babylm,babylm_S1,0,500000,0.5M,alligator,12.160287
babylm,babylm_S1,0,500000,0.5M,am,6.262688
babylm,babylm_S1,0,500000,0.5M,and,3.461009
babylm,babylm_S1,0,500000,0.5M,animal,9.423058
babylm,babylm_S1,0,500000,0.5M,ankle,11.497292
babylm,babylm_S1,0,500000,0.5M,another,7.351886
babylm,babylm_S1,0,500000,0.5M,any,5.975618
babylm,babylm_S1,0,500000,0.5M,apple,10.934533
babylm,babylm_S1,0,500000,0.5M,are,5.055746
babylm,babylm_S1,0,500000,0.5M,arm,8.540014
babylm,babylm_S1,0,500000,0.5M,around,7.259480
babylm,babylm_S1,0,500000,0.5M,asleep,9.995230
babylm,babylm_S1,0,500000,0.5M,at,4.257226
babylm,babylm_S1,0,500000,0.5M,aunt,10.706438
babylm,babylm_S1,0,500000,0.5M,awake,10.478007
babylm,babylm_S1,0,500000,0.5M,away,7.079391
babylm,babylm_S1,0,500000,0.5M,baby,8.449598
babylm,babylm_S1,0,500000,0.5M,babysitter,13.812682
babylm,babylm_S1,0,500000,0.5M,back,6.004113
babylm,babylm_S1,0,500000,0.5M,backyard,13.735289
babylm,babylm_S1,0,500000,0.5M,bad,7.713637
babylm,babylm_S1,0,500000,0.5M,ball,8.525697
babylm,babylm_S1,0,500000,0.5M,balloon,11.263148
babylm,babylm_S1,0,500000,0.5M,banana,11.605340
babylm,babylm_S1,0,500000,0.5M,basement,10.210143
babylm,babylm_S1,0,500000,0.5M,basket,9.679004
babylm,babylm_S1,0,500000,0.5M,bat,10.178748
babylm,babylm_S1,0,500000,0.5M,bath,9.837300
babylm,babylm_S1,0,500000,0.5M,bathroom,9.217474
babylm,babylm_S1,0,500000,0.5M,bathtub,11.754864
babylm,babylm_S1,0,500000,0.5M,be,3.641216
babylm,babylm_S1,0,500000,0.5M,beach,8.834176
babylm,babylm_S1,0,500000,0.5M,beads,11.559299
babylm,babylm_S1,0,500000,0.5M,beans,11.070467
babylm,babylm_S1,0,500000,0.5M,bear,9.914808
babylm,babylm_S1,0,500000,0.5M,because,7.550603
babylm,babylm_S1,0,500000,0.5M,bed,8.726825
babylm,babylm_S1,0,500000,0.5M,bedroom,9.648893
babylm,babylm_S1,0,500000,0.5M,bee,10.865690
babylm,babylm_S1,0,500000,0.5M,before,7.029396
babylm,babylm_S1,0,500000,0.5M,behind,9.010628
babylm,babylm_S1,0,500000,0.5M,belly,11.202632
babylm,babylm_S1,0,500000,0.5M,belt,9.896066
babylm,babylm_S1,0,500000,0.5M,bench,10.692625
babylm,babylm_S1,0,500000,0.5M,beside,10.004851
babylm,babylm_S1,0,500000,0.5M,better,7.317450
babylm,babylm_S1,0,500000,0.5M,bib,12.314851
babylm,babylm_S1,0,500000,0.5M,bicycle,11.247618
babylm,babylm_S1,0,500000,0.5M,big,7.187819
babylm,babylm_S1,0,500000,0.5M,bird,10.170613
babylm,babylm_S1,0,500000,0.5M,bite,11.037658
babylm,babylm_S1,0,500000,0.5M,black,8.441565
babylm,babylm_S1,0,500000,0.5M,blanket,11.545886
babylm,babylm_S1,0,500000,0.5M,block,10.512461
babylm,babylm_S1,0,500000,0.5M,blow,10.072629
babylm,babylm_S1,0,500000,0.5M,blue,9.036553
babylm,babylm_S1,0,500000,0.5M,boat,8.180760
babylm,babylm_S1,0,500000,0.5M,book,7.879450
babylm,babylm_S1,0,500000,0.5M,boots,10.782165
babylm,babylm_S1,0,500000,0.5M,bottle,10.212994
babylm,babylm_S1,0,500000,0.5M,bowl,10.452656
babylm,babylm_S1,0,500000,0.5M,box,8.689879
babylm,babylm_S1,0,500000,0.5M,boy,7.387788
