seed,rung,words,word,surprisal
42,0.5M,500000,a,3.128305
42,0.5M,500000,about,4.272361
42,0.5M,500000,above,10.135486
42,0.5M,500000,after,7.577352
42,0.5M,500000,airplane,8.115836
42,0.5M,500000,all,6.174667
42,0.5M,500000,alligator,8.239272
42,0.5M,500000,am,6.663180
42,0.5M,500000,and,4.449790
42,0.5M,500000,animal,8.267811
42,0.5M,500000,ankle,12.872764
42,0.5M,500000,another,5.847473
42,0.5M,500000,any,5.830839
42,0.5M,500000,apple,7.059378
42,0.5M,500000,are,4.529076
42,0.5M,500000,arm,8.192691
42,0.5M,500000,around,6.791705
42,0.5M,500000,asleep,8.643487
42,0.5M,500000,at,2.348906
42,0.5M,500000,aunt,11.546414
42,0.5M,500000,awake,10.323133
42,0.5M,500000,away,4.981569
42,0.5M,500000,baby,4.737812
42,0.5M,500000,babysitter,15.760287
42,0.5M,500000,back,6.014146
42,0.5M,500000,backyard,15.159869
42,0.5M,500000,bad,7.955869
42,0.5M,500000,ball,5.508618
42,0.5M,500000,balloon,8.130047
42,0.5M,500000,banana,8.540581
42,0.5M,500000,basement,9.522074
42,0.5M,500000,basket,7.466178
42,0.5M,500000,bat,9.276416
42,0.5M,500000,bath,7.008420
42,0.5M,500000,bathroom,10.386571
42,0.5M,500000,bathtub,10.417953
42,0.5M,500000,be,4.390554
42,0.5M,500000,beach,7.746270
42,0.5M,500000,beads,10.147018
42,0.5M,500000,beans,9.227883
42,0.5M,500000,bear,6.815631
42,0.5M,500000,because,6.186666
42,0.5M,500000,bed,7.532450
42,0.5M,500000,bedroom,7.994857
42,0.5M,500000,bee,7.542494
42,0.5M,500000,before,7.602898
42,0.5M,500000,behind,7.428260
42,0.5M,500000,belly,6.552433
42,0.5M,500000,belt,8.636503
42,0.5M,500000,bench,10.951298
42,0.5M,500000,beside,10.217637
42,0.5M,500000,better,6.502755
42,0.5M,500000,bib,9.651556
42,0.5M,500000,bicycle,8.602001
42,0.5M,500000,big,5.856569
42,0.5M,500000,bird,7.530853
42,0.5M,500000,bite,7.794773
42,0.5M,500000,black,6.042147
42,0.5M,500000,blanket,8.476337
42,0.5M,500000,block,8.731181
42,0.5M,500000,blow,9.090085
42,0.5M,500000,blue,6.108479
42,0.5M,500000,boat,6.904067
42,0.5M,500000,book,5.090029
42,0.5M,500000,boots,9.919125
42,0.5M,500000,bottle,7.903638
42,0.5M,500000,bowl,7.519275
42,0.5M,500000,box,5.415185
42,0.5M,500000,boy,5.959734
42,0.5M,500000,bread,7.133297
42,0.5M,500000,break,6.684986
42,0.5M,500000,breakfast,6.349472
42,0.5M,500000,bring,7.161997
42,0.5M,500000,broken,8.527100
42,0.5M,500000,broom,10.217539
42,0.5M,500000,brother,8.269502
42,0.5M,500000,brown,9.329005
42,0.5M,500000,brush,9.034555
42,0.5M,500000,bubbles,8.520147
42,0.5M,500000,bucket,8.888920
42,0.5M,500000,bug,6.420873
42,0.5M,500000,build,7.321652
42,0.5M,500000,bump,8.406315
42,0.5M,500000,bunny,7.259376
42,0.5M,500000,bus,6.934067
42,0.5M,500000,but,4.939711
42,0.5M,500000,butter,7.451119
