seed,n_fit,kappa_med,iqr_lo,iqr_hi,metric
0,563,1.0516189819365254,0.7029898486335968,1.6311852949194918,perword_kappa_dev_axis
1,580,1.1013912920241666,0.7157670198577273,1.6179255428554593,perword_kappa_dev_axis
2,580,1.161813261433557,0.7197774283279486,1.8351525811370004,perword_kappa_dev_axis
3,569,1.1677414396968748,0.762356990470458,1.7755636991202022,perword_kappa_dev_axis
4,590,1.2277909762108052,0.8250871103477402,1.8201028220135416,perword_kappa_dev_axis
5,573,1.383443017123846,0.8857055813928526,2.0694112807926897,perword_kappa_dev_axis
7,578,1.3148188921421697,0.8164180262399535,2.00054952314866,perword_kappa_dev_axis
42,581,1.1759794057033415,0.6930616315003157,1.8962855283820867,perword_kappa_dev_axis
99,576,1.1150196458034003,0.7456324842479228,1.6636620595896878,perword_kappa_dev_axis
123,579,1.217388010276632,0.8228346526141441,1.9643183049881294,perword_kappa_dev_axis
0,NA,-0.9054672268913853,NA,NA,linear_dev_slope
1,NA,-0.8903028103148645,NA,NA,linear_dev_slope
2,NA,-0.8684292249754919,NA,NA,linear_dev_slope
3,NA,-0.8676323996436115,NA,NA,linear_dev_slope
4,NA,-0.8949430762755681,NA,NA,linear_dev_slope
5,NA,-0.8976167842099242,NA,NA,linear_dev_slope
7,NA,-0.8954020840614076,NA,NA,linear_dev_slope
42,NA,-0.8682948929847741,NA,NA,linear_dev_slope
99,NA,-0.8582270655291466,NA,NA,linear_dev_slope
123,NA,-0.8713716965239909,NA,NA,linear_dev_slope
